; Candidate 9548
; ADRP+ADD at VM 0xfffffff008a72058 (fileoff 0x1a6e058): page=0x186d000 add_imm=0xd78

0xfffffff008a71fd8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008a71fdc: ff830191  add	sp, sp, #0x60
0xfffffff008a71fe0: ff0f5fd6  retab	
0xfffffff008a71fe4: 9aafcb97  bl	#0xfffffff007d5de4c
0xfffffff008a71fe8: 7f2303d5  pacibsp	
0xfffffff008a71fec: ffc303d1  sub	sp, sp, #0xf0
0xfffffff008a71ff0: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff008a71ff4: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff008a71ff8: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff008a71ffc: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff008a72000: fd830391  add	x29, sp, #0xe0
0xfffffff008a72004: f60303aa  mov	x22, x3
0xfffffff008a72008: f50302aa  mov	x21, x2
0xfffffff008a7200c: f40301aa  mov	x20, x1
0xfffffff008a72010: f30300aa  mov	x19, x0
0xfffffff008a72014: 3ffc0171  cmp	w1, #0x7f
0xfffffff008a72018: 0c010054  b.gt	#0xfffffff008a72038
0xfffffff008a7201c: 9faa0171  cmp	w20, #0x6a
0xfffffff008a72020: 800c0054  b.eq	#0xfffffff008a721b0
0xfffffff008a72024: 9fc20171  cmp	w20, #0x70
0xfffffff008a72028: 20140054  b.eq	#0xfffffff008a722ac
0xfffffff008a7202c: 9ff20171  cmp	w20, #0x7c
0xfffffff008a72030: 80060054  b.eq	#0xfffffff008a72100
0xfffffff008a72034: 68010014  b	#0xfffffff008a725d4
0xfffffff008a72038: 9f020271  cmp	w20, #0x80
0xfffffff008a7203c: 20060054  b.eq	#0xfffffff008a72100
0xfffffff008a72040: 9f0a0271  cmp	w20, #0x82
0xfffffff008a72044: c0180054  b.eq	#0xfffffff008a7235c
0xfffffff008a72048: 9f3a0271  cmp	w20, #0x8e
0xfffffff008a7204c: 412c0054  b.ne	#0xfffffff008a725d4
0xfffffff008a72050: 68224239  ldrb	w8, [x19, #0x88]
0xfffffff008a72054: 88202036  tbz	w8, #4, #0xfffffff008a72464
0xfffffff008a72058: 60c300b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7205c: 00e03591  add	x0, x0, #0xd78
0xfffffff008a72060: 3ecae197  bl	#0xfffffff0082e4958
0xfffffff008a72064: f70300aa  mov	x23, x0
0xfffffff008a72068: 700240f9  ldr	x16, [x19]
0xfffffff008a7206c: f10313aa  mov	x17, x19
0xfffffff008a72070: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a72074: 301ac1da  autda	x16, x17
0xfffffff008a72078: 116e80d2  mov	x17, #0x370
0xfffffff008a7207c: 1002118b  add	x16, x16, x17
0xfffffff008a72080: 080240f9  ldr	x8, [x16]
0xfffffff008a72084: e90310aa  mov	x9, x16
0xfffffff008a72088: e00313aa  mov	x0, x19
0xfffffff008a7208c: f10309aa  mov	x17, x9
0xfffffff008a72090: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a72094: 11093fd7  blraa	x8, x17
0xfffffff008a72098: 001d00b4  cbz	x0, #0xfffffff008a72438
0xfffffff008a7209c: 700240f9  ldr	x16, [x19]
0xfffffff008a720a0: f10313aa  mov	x17, x19
0xfffffff008a720a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a720a8: 301ac1da  autda	x16, x17
0xfffffff008a720ac: 116e80d2  mov	x17, #0x370
0xfffffff008a720b0: 1002118b  add	x16, x16, x17
0xfffffff008a720b4: 080240f9  ldr	x8, [x16]
0xfffffff008a720b8: e90310aa  mov	x9, x16
0xfffffff008a720bc: e00313aa  mov	x0, x19
0xfffffff008a720c0: f10309aa  mov	x17, x9
0xfffffff008a720c4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a720c8: 11093fd7  blraa	x8, x17
0xfffffff008a720cc: 100040f9  ldr	x16, [x0]
0xfffffff008a720d0: f10300aa  mov	x17, x0
0xfffffff008a720d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
