; Candidate 9925
; ADRP+ADD at VM 0xfffffff008bc999c (fileoff 0x1bc599c): page=0x1fe767000 add_imm=0xdf3

0xfffffff008bc991c: 0c815ff8  ldur	x12, [x8, #-8]
0xfffffff008bc9920: 8d4140b9  ldr	w13, [x12, #0x40]
0xfffffff008bc9924: 6c010dab  adds	x12, x11, x13
0xfffffff008bc9928: 42010054  b.hs	#0xfffffff008bc9950
0xfffffff008bc992c: 9f0109eb  cmp	x12, x9
0xfffffff008bc9930: c8000054  b.hi	#0xfffffff008bc9948
0xfffffff008bc9934: 08610091  add	x8, x8, #0x18
0xfffffff008bc9938: eb030caa  mov	x11, x12
0xfffffff008bc993c: 4a6100f1  subs	x10, x10, #0x18
0xfffffff008bc9940: e1feff54  b.ne	#0xfffffff008bc991c
0xfffffff008bc9944: 03000014  b	#0xfffffff008bc9950
0xfffffff008bc9948: 29010beb  subs	x9, x9, x11
0xfffffff008bc994c: a2000054  b.hs	#0xfffffff008bc9960
0xfffffff008bc9950: 000080d2  mov	x0, #0
0xfffffff008bc9954: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008bc9958: ffc30091  add	sp, sp, #0x30
0xfffffff008bc995c: ff0f5fd6  retab	
0xfffffff008bc9960: 3f010deb  cmp	x9, x13
0xfffffff008bc9964: a2000054  b.hs	#0xfffffff008bc9978
0xfffffff008bc9968: 080140f9  ldr	x8, [x8]
0xfffffff008bc996c: 0a058052  mov	w10, #0x28
0xfffffff008bc9970: 20210a9b  madd	x0, x9, x10, x8
0xfffffff008bc9974: f8ffff17  b	#0xfffffff008bc9954
0xfffffff008bc9978: 283bfff0  adrp	x8, #0xfffffff007330000
0xfffffff008bc997c: 08e13c91  add	x8, x8, #0xf38
0xfffffff008bc9980: 293bfff0  adrp	x9, #0xfffffff007330000
0xfffffff008bc9984: 29a53c91  add	x9, x9, #0xf29
0xfffffff008bc9988: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008bc998c: 283bfff0  adrp	x8, #0xfffffff007330000
0xfffffff008bc9990: 08493891  add	x8, x8, #0xe12
0xfffffff008bc9994: 093f8052  mov	w9, #0x1f8
0xfffffff008bc9998: e82700a9  stp	x8, x9, [sp]
0xfffffff008bc999c: 203bfff0  adrp	x0, #0xfffffff007330000
0xfffffff008bc99a0: 00cc3791  add	x0, x0, #0xdf3
0xfffffff008bc99a4: ace0ff97  bl	#0xfffffff008bc1c54
0xfffffff008bc99a8: 7f2303d5  pacibsp	
0xfffffff008bc99ac: ff8300d1  sub	sp, sp, #0x20
0xfffffff008bc99b0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bc99b4: fd430091  add	x29, sp, #0x10
0xfffffff008bc99b8: e00700a9  stp	x0, x1, [sp]
0xfffffff008bc99bc: e0030091  mov	x0, sp
0xfffffff008bc99c0: e10302aa  mov	x1, x2
0xfffffff008bc99c4: 04000094  bl	#0xfffffff008bc99d4
0xfffffff008bc99c8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008bc99cc: ff830091  add	sp, sp, #0x20
0xfffffff008bc99d0: ff0f5fd6  retab	
0xfffffff008bc99d4: 7f2303d5  pacibsp	
0xfffffff008bc99d8: ff8300d1  sub	sp, sp, #0x20
0xfffffff008bc99dc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bc99e0: fd430091  add	x29, sp, #0x10
0xfffffff008bc99e4: e80300aa  mov	x8, x0
0xfffffff008bc99e8: 000040f9  ldr	x0, [x0]
0xfffffff008bc99ec: e00400b4  cbz	x0, #0xfffffff008bc9a88
0xfffffff008bc99f0: 080540f9  ldr	x8, [x8, #8]
0xfffffff008bc99f4: 880100b4  cbz	x8, #0xfffffff008bc9a24
0xfffffff008bc99f8: 010300b4  cbz	x1, #0xfffffff008bc9a58
0xfffffff008bc99fc: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff008bc9a00: 08f17dd3  lsl	x8, x8, #3
0xfffffff008bc9a04: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff008bc9a08: 3f0101eb  cmp	x9, x1
0xfffffff008bc9a0c: e0030054  b.eq	#0xfffffff008bc9a88
0xfffffff008bc9a10: 00600091  add	x0, x0, #0x18
0xfffffff008bc9a14: 086100f1  subs	x8, x8, #0x18
0xfffffff008bc9a18: 61ffff54  b.ne	#0xfffffff008bc9a04
