; Candidate 814
; ADRP+ADD at VM 0xfffffff0080bdc60 (fileoff 0x10b9c60): page=0x1fefce000 add_imm=0xd5e

0xfffffff0080bdbe0: 3f0d0071  cmp	w9, #3
0xfffffff0080bdbe4: a1000054  b.ne	#0xfffffff0080bdbf8
0xfffffff0080bdbe8: c0028052  mov	w0, #0x16
0xfffffff0080bdbec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0080bdbf0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0080bdbf4: ff0f5fd6  retab	
0xfffffff0080bdbf8: f30300aa  mov	x19, x0
0xfffffff0080bdbfc: 092140f9  ldr	x9, [x8, #0x40]
0xfffffff0080bdc00: 291d4939  ldrb	w9, [x9, #0x247]
0xfffffff0080bdc04: 09011037  tbnz	w9, #2, #0xfffffff0080bdc24
0xfffffff0080bdc08: 09c141b9  ldr	w9, [x8, #0x1c0]
0xfffffff0080bdc0c: 3f110071  cmp	w9, #4
0xfffffff0080bdc10: 60000054  b.eq	#0xfffffff0080bdc1c
0xfffffff0080bdc14: 09d141b9  ldr	w9, [x8, #0x1d0]
0xfffffff0080bdc18: 69000034  cbz	w9, #0xfffffff0080bdc24
0xfffffff0080bdc1c: 20058052  mov	w0, #0x29
0xfffffff0080bdc20: f3ffff17  b	#0xfffffff0080bdbec
0xfffffff0080bdc24: 141940f9  ldr	x20, [x8, #0x30]
0xfffffff0080bdc28: d3cbff97  bl	#0xfffffff0080b0b74
0xfffffff0080bdc2c: 740100b4  cbz	x20, #0xfffffff0080bdc58
0xfffffff0080bdc30: e00314aa  mov	x0, x20
0xfffffff0080bdc34: a1068052  mov	w1, #0x35
0xfffffff0080bdc38: 75ccff97  bl	#0xfffffff0080b0e0c
0xfffffff0080bdc3c: 684e42b9  ldr	w8, [x19, #0x24c]
0xfffffff0080bdc40: 1f010071  cmp	w8, #0
0xfffffff0080bdc44: ed000054  b.le	#0xfffffff0080bdc60
0xfffffff0080bdc48: 00008052  mov	w0, #0
0xfffffff0080bdc4c: 08050051  sub	w8, w8, #1
0xfffffff0080bdc50: 684e02b9  str	w8, [x19, #0x24c]
0xfffffff0080bdc54: e6ffff17  b	#0xfffffff0080bdbec
0xfffffff0080bdc58: 00008052  mov	w0, #0
0xfffffff0080bdc5c: e4ffff17  b	#0xfffffff0080bdbec
0xfffffff0080bdc60: 607effd0  adrp	x0, #0xfffffff00708b000
0xfffffff0080bdc64: 00783591  add	x0, x0, #0xd5e
0xfffffff0080bdc68: c17dff90  adrp	x1, #0xfffffff007075000
0xfffffff0080bdc6c: 21600091  add	x1, x1, #0x18
0xfffffff0080bdc70: c2a78052  mov	w2, #0x53e
0xfffffff0080bdc74: e8860f94  bl	#0xfffffff00849f814
0xfffffff0080bdc78: 7f2303d5  pacibsp	
0xfffffff0080bdc7c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0080bdc80: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0080bdc84: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0080bdc88: fd830091  add	x29, sp, #0x20
0xfffffff0080bdc8c: 150840f9  ldr	x21, [x0, #0x10]
0xfffffff0080bdc90: 950000b4  cbz	x21, #0xfffffff0080bdca0
0xfffffff0080bdc94: a88a40b9  ldr	w8, [x21, #0x88]
0xfffffff0080bdc98: 1f0d0071  cmp	w8, #3
0xfffffff0080bdc9c: e1000054  b.ne	#0xfffffff0080bdcb8
0xfffffff0080bdca0: d4028052  mov	w20, #0x16
0xfffffff0080bdca4: e00314aa  mov	x0, x20
0xfffffff0080bdca8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080bdcac: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080bdcb0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0080bdcb4: ff0f5fd6  retab	
0xfffffff0080bdcb8: f40301aa  mov	x20, x1
0xfffffff0080bdcbc: b31a40f9  ldr	x19, [x21, #0x30]
0xfffffff0080bdcc0: adcbff97  bl	#0xfffffff0080b0b74
0xfffffff0080bdcc4: a81e4179  ldrh	w8, [x21, #0x8e]
0xfffffff0080bdcc8: c8050034  cbz	w8, #0xfffffff0080bdd80
0xfffffff0080bdccc: 480a0190  adrp	x8, #0xfffffff00a205000
0xfffffff0080bdcd0: 08096239  ldrb	w8, [x8, #0x882]
0xfffffff0080bdcd4: 88000036  tbz	w8, #0, #0xfffffff0080bdce4
0xfffffff0080bdcd8: e00313aa  mov	x0, x19
0xfffffff0080bdcdc: 21008052  mov	w1, #1
