; Candidate 728
; ADRP+ADD at VM 0xfffffff00805e4b4 (fileoff 0x105a4b4): page=0x1ff919000 add_imm=0xdf0

0xfffffff00805e434: 29050c32  orr	w9, w9, #0x300000
0xfffffff00805e438: 2909c05a  rev	w9, w9
0xfffffff00805e43c: 090100b9  str	w9, [x8]
0xfffffff00805e440: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00805e444: ff0f5fd6  retab	
0xfffffff00805e448: 090080d2  mov	x9, #0
0xfffffff00805e44c: 29210091  add	x9, x9, #8
0xfffffff00805e450: a6ffff17  b	#0xfffffff00805e2e8
0xfffffff00805e454: 290140f9  ldr	x9, [x9]
0xfffffff00805e458: 99ffff17  b	#0xfffffff00805e2bc
0xfffffff00805e45c: 207fffb0  adrp	x0, #0xfffffff007043000
0xfffffff00805e460: 00401191  add	x0, x0, #0x450
0xfffffff00805e464: 8180ff90  adrp	x1, #0xfffffff00706e000
0xfffffff00805e468: 21dc1991  add	x1, x1, #0x677
0xfffffff00805e46c: 42618052  mov	w2, #0x30a
0xfffffff00805e470: e9041194  bl	#0xfffffff00849f814
0xfffffff00805e474: 5f2403d5  bti	c
0xfffffff00805e478: e10300aa  mov	x1, x0
0xfffffff00805e47c: c0c8ffb0  adrp	x0, #0xfffffff007977000
0xfffffff00805e480: 00c03891  add	x0, x0, #0xe30
0xfffffff00805e484: e2adf617  b	#0xfffffff007e09c0c
0xfffffff00805e488: 7f2303d5  pacibsp	
0xfffffff00805e48c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00805e490: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00805e494: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00805e498: fd830091  add	x29, sp, #0x20
0xfffffff00805e49c: 5f200071  cmp	w2, #8
0xfffffff00805e4a0: 41030054  b.ne	#0xfffffff00805e508
0xfffffff00805e4a4: f50303aa  mov	x21, x3
0xfffffff00805e4a8: f30301aa  mov	x19, x1
0xfffffff00805e4ac: f40300aa  mov	x20, x0
0xfffffff00805e4b0: 61001e32  orr	w1, w3, #4
0xfffffff00805e4b4: c0c8ffb0  adrp	x0, #0xfffffff007977000
0xfffffff00805e4b8: 00c03791  add	x0, x0, #0xdf0
0xfffffff00805e4bc: 8622f597  bl	#0xfffffff007da6ed4
0xfffffff00805e4c0: 55007837  tbnz	w21, #0xf, #0xfffffff00805e4c8
0xfffffff00805e4c4: 400200b4  cbz	x0, #0xfffffff00805e50c
0xfffffff00805e4c8: 1f0840f2  tst	x0, #7
0xfffffff00805e4cc: 81020054  b.ne	#0xfffffff00805e51c
0xfffffff00805e4d0: 13300079  strh	w19, [x0, #0x18]
0xfffffff00805e4d4: 08018052  mov	w8, #8
0xfffffff00805e4d8: 08340079  strh	w8, [x0, #0x1a]
0xfffffff00805e4dc: 141c00b9  str	w20, [x0, #0x1c]
0xfffffff00805e4e0: 08a00091  add	x8, x0, #0x28
0xfffffff00805e4e4: 080800f9  str	x8, [x0, #0x10]
0xfffffff00805e4e8: 1f1000f9  str	xzr, [x0, #0x20]
0xfffffff00805e4ec: f103142a  mov	w17, w20
0xfffffff00805e4f0: 713e60b3  bfi	x17, x19, #0x20, #0x10
0xfffffff00805e4f4: 7002142a  orr	w16, w19, w20
0xfffffff00805e4f8: f08ee7f2  movk	x16, #0x3c77, lsl #48
0xfffffff00805e4fc: 110ac1da  pacda	x17, x16
0xfffffff00805e500: 110000f9  str	x17, [x0]
0xfffffff00805e504: 02000014  b	#0xfffffff00805e50c
0xfffffff00805e508: 000080d2  mov	x0, #0
0xfffffff00805e50c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00805e510: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00805e514: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00805e518: ff0f5fd6  retab	
0xfffffff00805e51c: 6081ff90  adrp	x0, #0xfffffff00708a000
0xfffffff00805e520: 00942691  add	x0, x0, #0x9a5
0xfffffff00805e524: 8180ff90  adrp	x1, #0xfffffff00706e000
0xfffffff00805e528: 21dc1991  add	x1, x1, #0x677
0xfffffff00805e52c: c2678052  mov	w2, #0x33e
0xfffffff00805e530: b9041194  bl	#0xfffffff00849f814
