; Candidate 6607
; ADRP+ADD at VM 0xfffffff008835518 (fileoff 0x1831518): page=0x1fe9b4000 add_imm=0xe80

0xfffffff008835498: 08c50091  add	x8, x8, #0x31
0xfffffff00883549c: e9468052  mov	w9, #0x237
0xfffffff0088354a0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088354a4: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff0088354a8: 08990691  add	x8, x8, #0x1a6
0xfffffff0088354ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088354b0: 280f8052  mov	w8, #0x79
0xfffffff0088354b4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088354b8: a04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088354bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088354c0: 818efff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088354c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088354c8: c350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff0088354cc: 63303c91  add	x3, x3, #0xf0c
0xfffffff0088354d0: 02008052  mov	w2, #0
0xfffffff0088354d4: 17f7eb97  bl	#0xfffffff008333130
0xfffffff0088354d8: 547e8012  mov	w20, #-0x3f3
0xfffffff0088354dc: 18000014  b	#0xfffffff00883553c
0xfffffff0088354e0: 33fb0194  bl	#0xfffffff0088b41ac
0xfffffff0088354e4: f40300aa  mov	x20, x0
0xfffffff0088354e8: 80008052  mov	w0, #4
0xfffffff0088354ec: d9180194  bl	#0xfffffff00887b850
0xfffffff0088354f0: 684fffb0  adrp	x8, #0xfffffff007222000
0xfffffff0088354f4: 08313d91  add	x8, x8, #0xf4c
0xfffffff0088354f8: 69468052  mov	w9, #0x233
0xfffffff0088354fc: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff008835500: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008835504: 08990691  add	x8, x8, #0x1a6
0xfffffff008835508: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883550c: 280f8052  mov	w8, #0x79
0xfffffff008835510: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008835514: f40300f9  str	x20, [sp]
0xfffffff008835518: a04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883551c: 00003a91  add	x0, x0, #0xe80
0xfffffff008835520: 818efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008835524: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008835528: c350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff00883552c: 63743b91  add	x3, x3, #0xedd
0xfffffff008835530: 02008052  mov	w2, #0
0xfffffff008835534: fff6eb97  bl	#0xfffffff008333130
0xfffffff008835538: 147d8012  mov	w20, #-0x3e9
0xfffffff00883553c: 200f8052  mov	w0, #0x79
0xfffffff008835540: e1008052  mov	w1, #7
0xfffffff008835544: a3180194  bl	#0xfffffff00887b7d0
0xfffffff008835548: c0040034  cbz	w0, #0xfffffff0088355e0
0xfffffff00883554c: 200f8052  mov	w0, #0x79
0xfffffff008835550: b2180194  bl	#0xfffffff00887b818
0xfffffff008835554: f60300aa  mov	x22, x0
0xfffffff008835558: 15fb0194  bl	#0xfffffff0088b41ac
0xfffffff00883555c: f50300aa  mov	x21, x0
0xfffffff008835560: e0008052  mov	w0, #7
0xfffffff008835564: bb180194  bl	#0xfffffff00887b850
0xfffffff008835568: 76010034  cbz	w22, #0xfffffff008835594
0xfffffff00883556c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008835570: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008835574: 08990691  add	x8, x8, #0x1a6
0xfffffff008835578: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883557c: 280f8052  mov	w8, #0x79
0xfffffff008835580: f52300a9  stp	x21, x8, [sp]
0xfffffff008835584: 004fff90  adrp	x0, #0xfffffff007215000
0xfffffff008835588: 00a81591  add	x0, x0, #0x56a
0xfffffff00883558c: b507d697  bl	#0xfffffff007db7460
0xfffffff008835590: 14000014  b	#0xfffffff0088355e0
0xfffffff008835594: 06fb0194  bl	#0xfffffff0088b41ac
