; Candidate 13435
; ADRP+ADD at VM 0xfffffff0092d0984 (fileoff 0x22cc984): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d0904: 400300b4  cbz	x0, #0xfffffff0092d096c
0xfffffff0092d0908: 700240f9  ldr	x16, [x19]
0xfffffff0092d090c: f10313aa  mov	x17, x19
0xfffffff0092d0910: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0914: 301ac1da  autda	x16, x17
0xfffffff0092d0918: 116e80d2  mov	x17, #0x370
0xfffffff0092d091c: 1002118b  add	x16, x16, x17
0xfffffff0092d0920: 080240f9  ldr	x8, [x16]
0xfffffff0092d0924: e90310aa  mov	x9, x16
0xfffffff0092d0928: e00313aa  mov	x0, x19
0xfffffff0092d092c: f10309aa  mov	x17, x9
0xfffffff0092d0930: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d0934: 11093fd7  blraa	x8, x17
0xfffffff0092d0938: 100040f9  ldr	x16, [x0]
0xfffffff0092d093c: f10300aa  mov	x17, x0
0xfffffff0092d0940: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0944: 301ac1da  autda	x16, x17
0xfffffff0092d0948: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d094c: 1002118b  add	x16, x16, x17
0xfffffff0092d0950: 080240f9  ldr	x8, [x16]
0xfffffff0092d0954: e90310aa  mov	x9, x16
0xfffffff0092d0958: 010080d2  mov	x1, #0
0xfffffff0092d095c: f10309aa  mov	x17, x9
0xfffffff0092d0960: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0964: 11093fd7  blraa	x8, x17
0xfffffff0092d0968: 03000014  b	#0xfffffff0092d0974
0xfffffff0092d096c: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0970: 00102191  add	x0, x0, #0x844
0xfffffff0092d0974: a8024079  ldrh	w8, [x21]
0xfffffff0092d0978: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d097c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0980: f60300f9  str	x22, [sp]
0xfffffff0092d0984: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0988: 00983891  add	x0, x0, #0xe26
0xfffffff0092d098c: a519c297  bl	#0xfffffff008357020
0xfffffff0092d0990: 75ca3a91  add	x21, x19, #0xeb2
0xfffffff0092d0994: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0998: 94a63691  add	x20, x20, #0xda9
0xfffffff0092d099c: e00314aa  mov	x0, x20
0xfffffff0092d09a0: e10315aa  mov	x1, x21
0xfffffff0092d09a4: 42008052  mov	w2, #2
0xfffffff0092d09a8: 8471c697  bl	#0xfffffff00846cfb8
0xfffffff0092d09ac: c0070034  cbz	w0, #0xfffffff0092d0aa4
0xfffffff0092d09b0: 700240f9  ldr	x16, [x19]
0xfffffff0092d09b4: f10313aa  mov	x17, x19
0xfffffff0092d09b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d09bc: 301ac1da  autda	x16, x17
0xfffffff0092d09c0: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d09c4: 1002118b  add	x16, x16, x17
0xfffffff0092d09c8: 080240f9  ldr	x8, [x16]
0xfffffff0092d09cc: e90310aa  mov	x9, x16
0xfffffff0092d09d0: e00313aa  mov	x0, x19
0xfffffff0092d09d4: 010080d2  mov	x1, #0
0xfffffff0092d09d8: f10309aa  mov	x17, x9
0xfffffff0092d09dc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d09e0: 11093fd7  blraa	x8, x17
0xfffffff0092d09e4: f60300aa  mov	x22, x0
0xfffffff0092d09e8: 700240f9  ldr	x16, [x19]
0xfffffff0092d09ec: f10313aa  mov	x17, x19
0xfffffff0092d09f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d09f4: 301ac1da  autda	x16, x17
0xfffffff0092d09f8: 116e80d2  mov	x17, #0x370
0xfffffff0092d09fc: 1002118b  add	x16, x16, x17
0xfffffff0092d0a00: 080240f9  ldr	x8, [x16]
