; Candidate 16342
; ADRP+ADD at VM 0xfffffff009e66560 (fileoff 0x2e62560): page=0x1fd9cb000 add_imm=0xe82

0xfffffff009e664e0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e664e4: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff009e664e8: 820400b4  cbz	x2, #0xfffffff009e66578
0xfffffff009e664ec: f30303aa  mov	x19, x3
0xfffffff009e664f0: f40302aa  mov	x20, x2
0xfffffff009e664f4: f60301aa  mov	x22, x1
0xfffffff009e664f8: f50300aa  mov	x21, x0
0xfffffff009e664fc: 5f0000f9  str	xzr, [x2]
0xfffffff009e66500: f8830091  add	x24, sp, #0x20
0xfffffff009e66504: e1830091  add	x1, sp, #0x20
0xfffffff009e66508: e00316aa  mov	x0, x22
0xfffffff009e6650c: cd329397  bl	#0xfffffff008333040
0xfffffff009e66510: 772b00d0  adrp	x23, #0xfffffff00a3d4000
0xfffffff009e66514: f7021891  add	x23, x23, #0x600
0xfffffff009e66518: e00240f9  ldr	x0, [x23]
0xfffffff009e6651c: 6c157d97  bl	#0xfffffff007dabacc
0xfffffff009e66520: f70a40f9  ldr	x23, [x23, #0x10]
0xfffffff009e66524: 570100b4  cbz	x23, #0xfffffff009e6654c
0xfffffff009e66528: e0220091  add	x0, x23, #8
0xfffffff009e6652c: e10316aa  mov	x1, x22
0xfffffff009e66530: 7e319397  bl	#0xfffffff008332b28
0xfffffff009e66534: 80000035  cbnz	w0, #0xfffffff009e66544
0xfffffff009e66538: e82240b9  ldr	w8, [x23, #0x20]
0xfffffff009e6653c: 1f01136b  cmp	w8, w19
0xfffffff009e66540: 40030054  b.eq	#0xfffffff009e665a8
0xfffffff009e66544: f70240f9  ldr	x23, [x23]
0xfffffff009e66548: 17ffffb5  cbnz	x23, #0xfffffff009e66528
0xfffffff009e6654c: f84f01a9  stp	x24, x19, [sp, #0x10]
0xfffffff009e66550: 48cefef0  adrp	x8, #0xfffffff007831000
0xfffffff009e66554: 08913991  add	x8, x8, #0xe64
0xfffffff009e66558: c95f8652  mov	w9, #0x32fe
0xfffffff009e6655c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e66560: 40cefef0  adrp	x0, #0xfffffff007831000
0xfffffff009e66564: 00083a91  add	x0, x0, #0xe82
0xfffffff009e66568: b6640094  bl	#0xfffffff009e7f840
0xfffffff009e6656c: 682b00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e66570: 000143f9  ldr	x0, [x8, #0x600]
0xfffffff009e66574: 72187d97  bl	#0xfffffff007dac73c
0xfffffff009e66578: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff009e6657c: 49f6fe90  adrp	x9, #0xfffffff007d2e000
0xfffffff009e66580: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e66584: 290140f9  ldr	x9, [x9]
0xfffffff009e66588: 3f0108eb  cmp	x9, x8
0xfffffff009e6658c: 81080054  b.ne	#0xfffffff009e6669c
0xfffffff009e66590: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009e66594: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009e66598: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009e6659c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009e665a0: ff430291  add	sp, sp, #0x90
0xfffffff009e665a4: ff0f5fd6  retab	
0xfffffff009e665a8: 80f6fe90  adrp	x0, #0xfffffff007d36000
0xfffffff009e665ac: 00601591  add	x0, x0, #0x558
0xfffffff009e665b0: d1bf9397  bl	#0xfffffff0083564f4
0xfffffff009e665b4: c00100b4  cbz	x0, #0xfffffff009e665ec
0xfffffff009e665b8: f60300aa  mov	x22, x0
0xfffffff009e665bc: 782b00d0  adrp	x24, #0xfffffff00a3d4000
0xfffffff009e665c0: 18232a91  add	x24, x24, #0xa88
0xfffffff009e665c4: 080b8052  mov	w8, #0x58
0xfffffff009e665c8: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009e665cc: e00e40f9  ldr	x0, [x23, #0x18]
0xfffffff009e665d0: c5738397  bl	#0xfffffff007f434e4
0xfffffff009e665d4: e003002a  mov	w0, w0
0xfffffff009e665d8: b50100b4  cbz	x21, #0xfffffff009e6660c
0xfffffff009e665dc: a80245b9  ldr	w8, [x21, #0x500]
