; Candidate 7123
; ADRP+ADD at VM 0xfffffff008858f68 (fileoff 0x1854f68): page=0x1fe991000 add_imm=0xe80

0xfffffff008858ee8: 6c1cff97  bl	#0xfffffff008820098
0xfffffff008858eec: 887640b9  ldr	w8, [x20, #0x74]
0xfffffff008858ef0: 08050011  add	w8, w8, #1
0xfffffff008858ef4: 887600b9  str	w8, [x20, #0x74]
0xfffffff008858ef8: 24000014  b	#0xfffffff008858f88
0xfffffff008858efc: ac6c0194  bl	#0xfffffff0088b41ac
0xfffffff008858f00: fb0300aa  mov	x27, x0
0xfffffff008858f04: 80008052  mov	w0, #4
0xfffffff008858f08: 528a0094  bl	#0xfffffff00887b850
0xfffffff008858f0c: e8031aaa  mov	x8, x26
0xfffffff008858f10: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008858f14: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008858f18: cb5a40b9  ldr	w11, [x22, #0x58]
0xfffffff008858f1c: ecc640b9  ldr	w12, [x23, #0xc4]
0xfffffff008858f20: ec2307a9  stp	x12, x8, [sp, #0x70]
0xfffffff008858f24: eb5f06a9  stp	x11, x23, [sp, #0x60]
0xfffffff008858f28: ea5b05a9  stp	x10, x22, [sp, #0x50]
0xfffffff008858f2c: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff008858f30: c84dff90  adrp	x8, #0xfffffff007210000
0xfffffff008858f34: 08b92791  add	x8, x8, #0x9ee
0xfffffff008858f38: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008858f3c: 48388152  mov	w8, #0x9c2
0xfffffff008858f40: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff008858f44: 29ad3491  add	x9, x9, #0xd2b
0xfffffff008858f48: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008858f4c: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff008858f50: 08811191  add	x8, x8, #0x460
0xfffffff008858f54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008858f58: 880c8052  mov	w8, #0x64
0xfffffff008858f5c: e34fff90  adrp	x3, #0xfffffff007254000
0xfffffff008858f60: 63a81591  add	x3, x3, #0x56a
0xfffffff008858f64: fb2300a9  stp	x27, x8, [sp]
0xfffffff008858f68: 804cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008858f6c: 00003a91  add	x0, x0, #0xe80
0xfffffff008858f70: 818dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008858f74: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008858f78: 02008052  mov	w2, #0
0xfffffff008858f7c: 6d68eb97  bl	#0xfffffff008333130
0xfffffff008858f80: 9c0e8052  mov	w28, #0x74
0xfffffff008858f84: dc74a572  movk	w28, #0x2ba6, lsl #16
0xfffffff008858f88: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008858f8c: 08014039  ldrb	w8, [x8]
0xfffffff008858f90: 08010034  cbz	w8, #0xfffffff008858fb0
0xfffffff008858f94: c15a40b9  ldr	w1, [x22, #0x58]
0xfffffff008858f98: e2c640b9  ldr	w2, [x23, #0xc4]
0xfffffff008858f9c: 80130011  add	w0, w28, #4
0xfffffff008858fa0: e30318aa  mov	x3, x24
0xfffffff008858fa4: e40319aa  mov	x4, x25
0xfffffff008858fa8: 050080d2  mov	x5, #0
0xfffffff008858fac: d693e497  bl	#0xfffffff00817df04
0xfffffff008858fb0: 5fd70f31  cmn	w26, #0x3f5
0xfffffff008858fb4: 60a8ff54  b.eq	#0xfffffff0088584c0
0xfffffff008858fb8: e00314aa  mov	x0, x20
0xfffffff008858fbc: e10315aa  mov	x1, x21
0xfffffff008858fc0: 9a000035  cbnz	w26, #0xfffffff008858fd0
0xfffffff008858fc4: 42008052  mov	w2, #2
0xfffffff008858fc8: 9f7ffe97  bl	#0xfffffff0087f8e44
0xfffffff008858fcc: 3dfdff17  b	#0xfffffff0088584c0
0xfffffff008858fd0: 02008012  mov	w2, #-1
0xfffffff008858fd4: 3a80fe97  bl	#0xfffffff0087f90bc
0xfffffff008858fd8: e00314aa  mov	x0, x20
0xfffffff008858fdc: e10315aa  mov	x1, x21
0xfffffff008858fe0: 3c83fe97  bl	#0xfffffff0087f9cd0
0xfffffff008858fe4: 37fdff17  b	#0xfffffff0088584c0
