; Candidate 16595
; ADRP+ADD at VM 0xfffffff009efc5bc (fileoff 0x2ef85bc): page=0x1fd955000 add_imm=0xe10

0xfffffff009efc53c: 15008052  mov	w21, #0
0xfffffff009efc540: 010080d2  mov	x1, #0
0xfffffff009efc544: 16008052  mov	w22, #0
0xfffffff009efc548: d0ffff17  b	#0xfffffff009efc488
0xfffffff009efc54c: e00314aa  mov	x0, x20
0xfffffff009efc550: 22ebfc97  bl	#0xfffffff009e371d8
0xfffffff009efc554: 03001232  orr	w3, w0, #0x4000
0xfffffff009efc558: e00313aa  mov	x0, x19
0xfffffff009efc55c: e10314aa  mov	x1, x20
0xfffffff009efc560: e20319aa  mov	x2, x25
0xfffffff009efc564: 040080d2  mov	x4, #0
0xfffffff009efc568: 5beefc97  bl	#0xfffffff009e37ed4
0xfffffff009efc56c: e00313aa  mov	x0, x19
0xfffffff009efc570: 21008052  mov	w1, #1
0xfffffff009efc574: e2031aaa  mov	x2, x26
0xfffffff009efc578: e30319aa  mov	x3, x25
0xfffffff009efc57c: 0ab4ff97  bl	#0xfffffff009ee95a4
0xfffffff009efc580: 20030034  cbz	w0, #0xfffffff009efc5e4
0xfffffff009efc584: fb0300aa  mov	x27, x0
0xfffffff009efc588: 083e8452  mov	w8, #0x21f0
0xfffffff009efc58c: 6802088b  add	x8, x19, x8
0xfffffff009efc590: 490740f9  ldr	x9, [x26, #8]
0xfffffff009efc594: ea4b40f9  ldr	x10, [sp, #0x90]
0xfffffff009efc598: 4a0540f9  ldr	x10, [x10, #8]
0xfffffff009efc59c: ab035af8  ldur	x11, [x29, #-0x60]
0xfffffff009efc5a0: 6b2140f9  ldr	x11, [x11, #0x40]
0xfffffff009efc5a4: ebef02a9  stp	x11, x27, [sp, #0x28]
0xfffffff009efc5a8: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009efc5ac: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009efc5b0: a8cafeb0  adrp	x8, #0xfffffff007851000
0xfffffff009efc5b4: 084d3391  add	x8, x8, #0xcd3
0xfffffff009efc5b8: c9078852  mov	w9, #0x403e
0xfffffff009efc5bc: a0cafeb0  adrp	x0, #0xfffffff007851000
0xfffffff009efc5c0: 00403891  add	x0, x0, #0xe10
0xfffffff009efc5c4: e82700a9  stp	x8, x9, [sp]
0xfffffff009efc5c8: 9e0cfe97  bl	#0xfffffff009e7f840
0xfffffff009efc5cc: 1c008052  mov	w28, #0
0xfffffff009efc5d0: 14008052  mov	w20, #0
0xfffffff009efc5d4: 19008052  mov	w25, #0
0xfffffff009efc5d8: e85740f9  ldr	x8, [sp, #0xa8]
0xfffffff009efc5dc: 1b0100b9  str	w27, [x8]
0xfffffff009efc5e0: 21000014  b	#0xfffffff009efc664
0xfffffff009efc5e4: e14740f9  ldr	x1, [sp, #0x88]
0xfffffff009efc5e8: 28a84139  ldrb	w8, [x1, #0x6a]
0xfffffff009efc5ec: 68001837  tbnz	w8, #3, #0xfffffff009efc5f8
0xfffffff009efc5f0: 03008052  mov	w3, #0
0xfffffff009efc5f4: 11000014  b	#0xfffffff009efc638
0xfffffff009efc5f8: 28104179  ldrh	w8, [x1, #0x88]
0xfffffff009efc5fc: 080d1412  and	w8, w8, #0xf000
0xfffffff009efc600: 1f114071  cmp	w8, #4, lsl #12
0xfffffff009efc604: 61000054  b.ne	#0xfffffff009efc610
0xfffffff009efc608: 23008052  mov	w3, #1
0xfffffff009efc60c: 0b000014  b	#0xfffffff009efc638
0xfffffff009efc610: bf0314b8  stur	wzr, [x29, #-0xc0]
0xfffffff009efc614: a20303d1  sub	x2, x29, #0xc0
0xfffffff009efc618: e00313aa  mov	x0, x19
0xfffffff009efc61c: 030080d2  mov	x3, #0
0xfffffff009efc620: 01ebfc97  bl	#0xfffffff009e37224
0xfffffff009efc624: 1f000071  cmp	w0, #0
0xfffffff009efc628: e8179f1a  cset	w8, eq
0xfffffff009efc62c: a90354b8  ldur	w9, [x29, #-0xc0]
0xfffffff009efc630: 29011812  and	w9, w9, #0x100
0xfffffff009efc634: 0321490a  and	w3, w8, w9, lsr #8
0xfffffff009efc638: e00313aa  mov	x0, x19
