; Candidate 10071
; ADRP+ADD at VM 0xfffffff008c945b8 (fileoff 0x1c905b8): page=0x1fe6b8000 add_imm=0xe74

0xfffffff008c94538: 697e4fb9  ldr	w9, [x19, #0xf7c]
0xfffffff008c9453c: e82700a9  stp	x8, x9, [sp]
0xfffffff008c94540: e035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c94544: 00140e91  add	x0, x0, #0x385
0xfffffff008c94548: b60adb97  bl	#0xfffffff008357020
0xfffffff008c9454c: e035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c94550: 00500f91  add	x0, x0, #0x3d4
0xfffffff008c94554: 010080d2  mov	x1, #0
0xfffffff008c94558: 02008052  mov	w2, #0
0xfffffff008c9455c: 9762df97  bl	#0xfffffff00846cfb8
0xfffffff008c94560: 00010034  cbz	w0, #0xfffffff008c94580
0xfffffff008c94564: 28008052  mov	w8, #1
0xfffffff008c94568: 08ef0739  strb	w8, [x24, #0x1fb]
0xfffffff008c9456c: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008c94570: e80300f9  str	x8, [sp]
0xfffffff008c94574: e035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c94578: 00ac0f91  add	x0, x0, #0x3eb
0xfffffff008c9457c: a90adb97  bl	#0xfffffff008357020
0xfffffff008c94580: a035fff0  adrp	x0, #0xfffffff00734b000
0xfffffff008c94584: 00242e91  add	x0, x0, #0xb89
0xfffffff008c94588: 010080d2  mov	x1, #0
0xfffffff008c9458c: 02008052  mov	w2, #0
0xfffffff008c94590: 8a62df97  bl	#0xfffffff00846cfb8
0xfffffff008c94594: 00010034  cbz	w0, #0xfffffff008c945b4
0xfffffff008c94598: 28008052  mov	w8, #1
0xfffffff008c9459c: 68563d39  strb	w8, [x19, #0xf55]
0xfffffff008c945a0: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008c945a4: e80300f9  str	x8, [sp]
0xfffffff008c945a8: e035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c945ac: 00341191  add	x0, x0, #0x44d
0xfffffff008c945b0: 9c0adb97  bl	#0xfffffff008357020
0xfffffff008c945b4: 7ff23c39  strb	wzr, [x19, #0xf3c]
0xfffffff008c945b8: c035ff90  adrp	x0, #0xfffffff00734c000
0xfffffff008c945bc: 00d03991  add	x0, x0, #0xe74
0xfffffff008c945c0: 010080d2  mov	x1, #0
0xfffffff008c945c4: ead8db97  bl	#0xfffffff00838a96c
0xfffffff008c945c8: f60300aa  mov	x22, x0
0xfffffff008c945cc: 01809cd2  mov	x1, #0xe400
0xfffffff008c945d0: 6181aaf2  movk	x1, #0x540b, lsl #16
0xfffffff008c945d4: 4100c0f2  movk	x1, #2, lsl #32
0xfffffff008c945d8: edd5db97  bl	#0xfffffff008389d8c
0xfffffff008c945dc: f70300aa  mov	x23, x0
0xfffffff008c945e0: 600b00b4  cbz	x0, #0xfffffff008c9474c
0xfffffff008c945e4: f00240f9  ldr	x16, [x23]
0xfffffff008c945e8: f10317aa  mov	x17, x23
0xfffffff008c945ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c945f0: 301ac1da  autda	x16, x17
0xfffffff008c945f4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c945f8: e90310aa  mov	x9, x16
0xfffffff008c945fc: e00317aa  mov	x0, x23
0xfffffff008c94600: f10309aa  mov	x17, x9
0xfffffff008c94604: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c94608: 11093fd7  blraa	x8, x17
0xfffffff008c9460c: 760100b4  cbz	x22, #0xfffffff008c94638
0xfffffff008c94610: d00240f9  ldr	x16, [x22]
0xfffffff008c94614: f10316aa  mov	x17, x22
0xfffffff008c94618: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c9461c: 301ac1da  autda	x16, x17
0xfffffff008c94620: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c94624: e90310aa  mov	x9, x16
0xfffffff008c94628: e00316aa  mov	x0, x22
0xfffffff008c9462c: f10309aa  mov	x17, x9
0xfffffff008c94630: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c94634: 11093fd7  blraa	x8, x17
