; Candidate 521
; ADRP+ADD at VM 0xfffffff007f52418 (fileoff 0xf4e418): page=0x22eb000 add_imm=0xe90

0xfffffff007f52398: 391100b5  cbnz	x25, #0xfffffff007f525bc
0xfffffff007f5239c: 8d000014  b	#0xfffffff007f525d0
0xfffffff007f523a0: 1b008052  mov	w27, #0
0xfffffff007f523a4: 8b000014  b	#0xfffffff007f525d0
0xfffffff007f523a8: 401701f0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f523ac: 00403a91  add	x0, x0, #0xe90
0xfffffff007f523b0: d66df997  bl	#0xfffffff007dadb08
0xfffffff007f523b4: 200b40b9  ldr	w0, [x25, #8]
0xfffffff007f523b8: 01038052  mov	w1, #0x18
0xfffffff007f523bc: a2679852  mov	w2, #0xc33d
0xfffffff007f523c0: 0cfaff97  bl	#0xfffffff007f50bf0
0xfffffff007f523c4: f92b00f9  str	x25, [sp, #0x50]
0xfffffff007f523c8: a00b00b4  cbz	x0, #0xfffffff007f5253c
0xfffffff007f523cc: f00300aa  mov	x16, x0
0xfffffff007f523d0: f033c1da  autiza	x16
0xfffffff007f523d4: f10310aa  mov	x17, x16
0xfffffff007f523d8: f143c1da  xpaci	x17
0xfffffff007f523dc: 1f0211eb  cmp	x16, x17
0xfffffff007f523e0: 40000054  b.eq	#0xfffffff007f523e8
0xfffffff007f523e4: 008e38d4  brk	#0xc470
0xfffffff007f523e8: b16798d2  mov	x17, #0xc33d
0xfffffff007f523ec: 3002c1da  pacia	x16, x17
0xfffffff007f523f0: 700a00b4  cbz	x16, #0xfffffff007f5253c
0xfffffff007f523f4: 581701f0  adrp	x24, #0xfffffff00a23d000
0xfffffff007f523f8: 18433a91  add	x24, x24, #0xe90
0xfffffff007f523fc: e00318aa  mov	x0, x24
0xfffffff007f52400: 8a70f997  bl	#0xfffffff007dae628
0xfffffff007f52404: 1f040071  cmp	w0, #1
0xfffffff007f52408: e1270054  b.ne	#0xfffffff007f52904
0xfffffff007f5240c: e92340f9  ldr	x9, [sp, #0x40]
0xfffffff007f52410: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff007f52414: e8a70aa9  stp	x8, x9, [sp, #0xa8]
0xfffffff007f52418: 401701f0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f5241c: 00403a91  add	x0, x0, #0xe90
0xfffffff007f52420: ba6df997  bl	#0xfffffff007dadb08
0xfffffff007f52424: 200b40b9  ldr	w0, [x25, #8]
0xfffffff007f52428: 01028052  mov	w1, #0x10
0xfffffff007f5242c: 62508752  mov	w2, #0x3a83
0xfffffff007f52430: f0f9ff97  bl	#0xfffffff007f50bf0
0xfffffff007f52434: 600200b4  cbz	x0, #0xfffffff007f52480
0xfffffff007f52438: e80300aa  mov	x8, x0
0xfffffff007f5243c: f00300aa  mov	x16, x0
0xfffffff007f52440: f033c1da  autiza	x16
0xfffffff007f52444: f10310aa  mov	x17, x16
0xfffffff007f52448: f143c1da  xpaci	x17
0xfffffff007f5244c: 1f0211eb  cmp	x16, x17
0xfffffff007f52450: 40000054  b.eq	#0xfffffff007f52458
0xfffffff007f52454: 008e38d4  brk	#0xc470
0xfffffff007f52458: 715087d2  mov	x17, #0x3a83
0xfffffff007f5245c: 3002c1da  pacia	x16, x17
0xfffffff007f52460: 100100b4  cbz	x16, #0xfffffff007f52480
0xfffffff007f52464: 891501b0  adrp	x9, #0xfffffff00a203000
0xfffffff007f52468: 21a945f9  ldr	x1, [x9, #0xb50]
0xfffffff007f5246c: e3c30291  add	x3, sp, #0xb0
0xfffffff007f52470: e4a30291  add	x4, sp, #0xa8
0xfffffff007f52474: e00316aa  mov	x0, x22
0xfffffff007f52478: e20319aa  mov	x2, x25
0xfffffff007f5247c: 1f093fd6  blraaz	x8
0xfffffff007f52480: 581701f0  adrp	x24, #0xfffffff00a23d000
0xfffffff007f52484: 18433a91  add	x24, x24, #0xe90
0xfffffff007f52488: e00318aa  mov	x0, x24
0xfffffff007f5248c: 6770f997  bl	#0xfffffff007dae628
0xfffffff007f52490: 1f040071  cmp	w0, #1
0xfffffff007f52494: a1230054  b.ne	#0xfffffff007f52908
