; Candidate 915
; ADRP+ADD at VM 0xfffffff008102558 (fileoff 0x10fe558): page=0x1ff876000 add_imm=0xeb0

0xfffffff0081024d8: 083403b9  str	w8, [x0, #0x334]
0xfffffff0081024dc: c00240f9  ldr	x0, [x22]
0xfffffff0081024e0: 01008052  mov	w1, #0
0xfffffff0081024e4: 77830194  bl	#0xfffffff0081632c0
0xfffffff0081024e8: 00008052  mov	w0, #0
0xfffffff0081024ec: d30200f9  str	x19, [x22]
0xfffffff0081024f0: eeffff17  b	#0xfffffff0081024a8
0xfffffff0081024f4: e00f40b9  ldr	w0, [sp, #0xc]
0xfffffff0081024f8: ecffff17  b	#0xfffffff0081024a8
0xfffffff0081024fc: 7f2303d5  pacibsp	
0xfffffff008102500: ffc300d1  sub	sp, sp, #0x30
0xfffffff008102504: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008102508: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00810250c: fd830091  add	x29, sp, #0x20
0xfffffff008102510: 600300b4  cbz	x0, #0xfffffff00810257c
0xfffffff008102514: f30300aa  mov	x19, x0
0xfffffff008102518: 01bc40f9  ldr	x1, [x0, #0x178]
0xfffffff00810251c: 610200b4  cbz	x1, #0xfffffff008102568
0xfffffff008102520: 200040f9  ldr	x0, [x1]
0xfffffff008102524: c00000b4  cbz	x0, #0xfffffff00810253c
0xfffffff008102528: 01008052  mov	w1, #0
0xfffffff00810252c: 65830194  bl	#0xfffffff0081632c0
0xfffffff008102530: 68be40f9  ldr	x8, [x19, #0x178]
0xfffffff008102534: 1f0100f9  str	xzr, [x8]
0xfffffff008102538: 61be40f9  ldr	x1, [x19, #0x178]
0xfffffff00810253c: 200440f9  ldr	x0, [x1, #8]
0xfffffff008102540: c00000b4  cbz	x0, #0xfffffff008102558
0xfffffff008102544: 01008052  mov	w1, #0
0xfffffff008102548: 5e830194  bl	#0xfffffff0081632c0
0xfffffff00810254c: 68be40f9  ldr	x8, [x19, #0x178]
0xfffffff008102550: 1f0500f9  str	xzr, [x8, #8]
0xfffffff008102554: 61be40f9  ldr	x1, [x19, #0x178]
0xfffffff008102558: a0c3ffd0  adrp	x0, #0xfffffff007978000
0xfffffff00810255c: 00c03a91  add	x0, x0, #0xeb0
0xfffffff008102560: ab1df497  bl	#0xfffffff007e09c0c
0xfffffff008102564: 7fbe00f9  str	xzr, [x19, #0x178]
0xfffffff008102568: 00008052  mov	w0, #0
0xfffffff00810256c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008102570: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008102574: ffc30091  add	sp, sp, #0x30
0xfffffff008102578: ff0f5fd6  retab	
0xfffffff00810257c: a87bfff0  adrp	x8, #0xfffffff007079000
0xfffffff008102580: 08d13691  add	x8, x8, #0xdb4
0xfffffff008102584: 09df8052  mov	w9, #0x6f8
0xfffffff008102588: e82700a9  stp	x8, x9, [sp]
0xfffffff00810258c: c07bff90  adrp	x0, #0xfffffff00707a000
0xfffffff008102590: 00180191  add	x0, x0, #0x46
0xfffffff008102594: de470e94  bl	#0xfffffff00849450c
0xfffffff008102598: 7f2303d5  pacibsp	
0xfffffff00810259c: ff8301d1  sub	sp, sp, #0x60
0xfffffff0081025a0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0081025a4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0081025a8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0081025ac: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0081025b0: fd430191  add	x29, sp, #0x50
0xfffffff0081025b4: 801600b4  cbz	x0, #0xfffffff008102884
0xfffffff0081025b8: f30300aa  mov	x19, x0
0xfffffff0081025bc: 099040f9  ldr	x9, [x0, #0x120]
0xfffffff0081025c0: 291600b4  cbz	x9, #0xfffffff008102884
0xfffffff0081025c4: 28854039  ldrb	w8, [x9, #0x21]
0xfffffff0081025c8: 29854239  ldrb	w9, [x9, #0xa1]
0xfffffff0081025cc: 1f01096b  cmp	w8, w9
0xfffffff0081025d0: 81160054  b.ne	#0xfffffff0081028a0
0xfffffff0081025d4: 1f790071  cmp	w8, #0x1e
