; Candidate 5263
; ADRP+ADD at VM 0xfffffff0087e3494 (fileoff 0x17df494): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e3414: 659a536d  ldp	d5, d6, [x19, #0x138]
0xfffffff0087e3418: a504421f  fmadd	d5, d5, d2, d1
0xfffffff0087e341c: 8404421f  fmadd	d4, d4, d2, d1
0xfffffff0087e3420: c604421f  fmadd	d6, d6, d2, d1
0xfffffff0087e3424: 67a640fd  ldr	d7, [x19, #0x148]
0xfffffff0087e3428: e104421f  fmadd	d1, d7, d2, d1
0xfffffff0087e342c: 0800781e  fcvtzs	w8, d0
0xfffffff0087e3430: 6900781e  fcvtzs	w9, d3
0xfffffff0087e3434: aa00781e  fcvtzs	w10, d5
0xfffffff0087e3438: 8b00781e  fcvtzs	w11, d4
0xfffffff0087e343c: cc00781e  fcvtzs	w12, d6
0xfffffff0087e3440: 2d00781e  fcvtzs	w13, d1
0xfffffff0087e3444: 8e51ff90  adrp	x14, #0xfffffff007213000
0xfffffff0087e3448: ced92791  add	x14, x14, #0x9f6
0xfffffff0087e344c: ee3705a9  stp	x14, x13, [sp, #0x50]
0xfffffff0087e3450: 8d51ff90  adrp	x13, #0xfffffff007213000
0xfffffff0087e3454: ad752791  add	x13, x13, #0x9dd
0xfffffff0087e3458: 8e51ff90  adrp	x14, #0xfffffff007213000
0xfffffff0087e345c: ce0d2791  add	x14, x14, #0x9c3
0xfffffff0087e3460: 8f51ff90  adrp	x15, #0xfffffff007213000
0xfffffff0087e3464: efa52691  add	x15, x15, #0x9a9
0xfffffff0087e3468: 9051ff90  adrp	x16, #0xfffffff007213000
0xfffffff0087e346c: 103a2691  add	x16, x16, #0x98e
0xfffffff0087e3470: ed3304a9  stp	x13, x12, [sp, #0x40]
0xfffffff0087e3474: 8c51ff90  adrp	x12, #0xfffffff007213000
0xfffffff0087e3478: 8c012691  add	x12, x12, #0x980
0xfffffff0087e347c: ee2f03a9  stp	x14, x11, [sp, #0x30]
0xfffffff0087e3480: ef2b02a9  stp	x15, x10, [sp, #0x20]
0xfffffff0087e3484: f02701a9  stp	x16, x9, [sp, #0x10]
0xfffffff0087e3488: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e348c: 63b42891  add	x3, x3, #0xa2d
0xfffffff0087e3490: ec2300a9  stp	x12, x8, [sp]
0xfffffff0087e3494: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3498: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e349c: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e34a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e34a4: 02008052  mov	w2, #0
0xfffffff0087e34a8: 223fed97  bl	#0xfffffff008333130
0xfffffff0087e34ac: 14008052  mov	w20, #0
0xfffffff0087e34b0: 92ffff17  b	#0xfffffff0087e32f8
0xfffffff0087e34b4: 7f2303d5  pacibsp	
0xfffffff0087e34b8: ffc304d1  sub	sp, sp, #0x130
0xfffffff0087e34bc: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff0087e34c0: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff0087e34c4: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff0087e34c8: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff0087e34cc: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff0087e34d0: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff0087e34d4: fd830491  add	x29, sp, #0x120
0xfffffff0087e34d8: f40301aa  mov	x20, x1
0xfffffff0087e34dc: f30300aa  mov	x19, x0
0xfffffff0087e34e0: 2891ffb0  adrp	x8, #0xfffffff007a08000
0xfffffff0087e34e4: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff0087e34e8: 080140f9  ldr	x8, [x8]
0xfffffff0087e34ec: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff0087e34f0: 600e8052  mov	w0, #0x73
0xfffffff0087e34f4: c1008052  mov	w1, #6
0xfffffff0087e34f8: b6600294  bl	#0xfffffff00887b7d0
0xfffffff0087e34fc: 80020034  cbz	w0, #0xfffffff0087e354c
0xfffffff0087e3500: 600e8052  mov	w0, #0x73
0xfffffff0087e3504: c5600294  bl	#0xfffffff00887b818
0xfffffff0087e3508: f60300aa  mov	x22, x0
0xfffffff0087e350c: 28430394  bl	#0xfffffff0088b41ac
0xfffffff0087e3510: f50300aa  mov	x21, x0
