; Candidate 10348
; ADRP+ADD at VM 0xfffffff008d12a48 (fileoff 0x1d0ea48): page=0x1fe668000 add_imm=0xd1d

0xfffffff008d129c8: 6b7d0a1b  mul	w11, w11, w10
0xfffffff008d129cc: 8a1641b9  ldr	w10, [x20, #0x114]
0xfffffff008d129d0: 8c1a41b9  ldr	w12, [x20, #0x118]
0xfffffff008d129d4: 8a7d0a1b  mul	w10, w12, w10
0xfffffff008d129d8: 8c1e41b9  ldr	w12, [x20, #0x11c]
0xfffffff008d129dc: 4c7d0c1b  mul	w12, w10, w12
0xfffffff008d129e0: 8a0241b9  ldr	w10, [x20, #0x100]
0xfffffff008d129e4: 7f010c6b  cmp	w11, w12
0xfffffff008d129e8: 63020054  b.lo	#0xfffffff008d12a34
0xfffffff008d129ec: 5f1d0071  cmp	w10, #7
0xfffffff008d129f0: 23020054  b.lo	#0xfffffff008d12a34
0xfffffff008d129f4: 1f110071  cmp	w8, #4
0xfffffff008d129f8: e3010054  b.lo	#0xfffffff008d12a34
0xfffffff008d129fc: 3f090071  cmp	w9, #2
0xfffffff008d12a00: a3010054  b.lo	#0xfffffff008d12a34
0xfffffff008d12a04: 887a41b9  ldr	w8, [x20, #0x178]
0xfffffff008d12a08: 1f110071  cmp	w8, #4
0xfffffff008d12a0c: 43010054  b.lo	#0xfffffff008d12a34
0xfffffff008d12a10: 887e41b9  ldr	w8, [x20, #0x17c]
0xfffffff008d12a14: 1f090071  cmp	w8, #2
0xfffffff008d12a18: e3000054  b.lo	#0xfffffff008d12a34
0xfffffff008d12a1c: 882a41b9  ldr	w8, [x20, #0x128]
0xfffffff008d12a20: 087d0d53  lsr	w8, w8, #0xd
0xfffffff008d12a24: 88000035  cbnz	w8, #0xfffffff008d12a34
0xfffffff008d12a28: 882e41b9  ldr	w8, [x20, #0x12c]
0xfffffff008d12a2c: 1f094071  cmp	w8, #2, lsl #12
0xfffffff008d12a30: c3030054  b.lo	#0xfffffff008d12aa8
0xfffffff008d12a34: 88fe40b9  ldr	w8, [x20, #0xfc]
0xfffffff008d12a38: 5533ff90  adrp	x21, #0xfffffff00737a000
0xfffffff008d12a3c: b5aa3a91  add	x21, x21, #0xeaa
0xfffffff008d12a40: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008d12a44: f50300f9  str	x21, [sp]
0xfffffff008d12a48: 4033ff90  adrp	x0, #0xfffffff00737a000
0xfffffff008d12a4c: 00743491  add	x0, x0, #0xd1d
0xfffffff008d12a50: 6b760094  bl	#0xfffffff008d303fc
0xfffffff008d12a54: 880641b9  ldr	w8, [x20, #0x104]
0xfffffff008d12a58: 890a41b9  ldr	w9, [x20, #0x108]
0xfffffff008d12a5c: 8a7a41b9  ldr	w10, [x20, #0x178]
0xfffffff008d12a60: 8b7e41b9  ldr	w11, [x20, #0x17c]
0xfffffff008d12a64: 8c2a41b9  ldr	w12, [x20, #0x128]
0xfffffff008d12a68: 8d2e41b9  ldr	w13, [x20, #0x12c]
0xfffffff008d12a6c: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff008d12a70: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008d12a74: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d12a78: 4033ff90  adrp	x0, #0xfffffff00737a000
0xfffffff008d12a7c: 00443691  add	x0, x0, #0xd91
0xfffffff008d12a80: f50300f9  str	x21, [sp]
0xfffffff008d12a84: 5e760094  bl	#0xfffffff008d303fc
0xfffffff008d12a88: e00313aa  mov	x0, x19
0xfffffff008d12a8c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008d12a90: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008d12a94: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008d12a98: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008d12a9c: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008d12aa0: ff430291  add	sp, sp, #0x90
0xfffffff008d12aa4: ff0f5fd6  retab	
0xfffffff008d12aa8: e05e40f9  ldr	x0, [x23, #0xb8]
0xfffffff008d12aac: 100040f9  ldr	x16, [x0]
0xfffffff008d12ab0: f10300aa  mov	x17, x0
0xfffffff008d12ab4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d12ab8: 301ac1da  autda	x16, x17
0xfffffff008d12abc: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008d12ac0: e90310aa  mov	x9, x16
0xfffffff008d12ac4: 10000090  adrp	x16, #0xfffffff008d12000
