; Candidate 4543
; ADRP+ADD at VM 0xfffffff0087ba088 (fileoff 0x17b6088): page=0x1fe977000 add_imm=0xd90

0xfffffff0087ba008: e80300a9  stp	x8, x0, [sp]
0xfffffff0087ba00c: a04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087ba010: 00403691  add	x0, x0, #0xd90
0xfffffff0087ba014: 0192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ba018: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ba01c: 834cffd0  adrp	x3, #0xfffffff00714c000
0xfffffff0087ba020: 631c3d91  add	x3, x3, #0xf47
0xfffffff0087ba024: 02008052  mov	w2, #0
0xfffffff0087ba028: 42e4ed97  bl	#0xfffffff008333130
0xfffffff0087ba02c: ecfcff17  b	#0xfffffff0087b93dc
0xfffffff0087ba030: 88ca8052  mov	w8, #0x654
0xfffffff0087ba034: a94cffd0  adrp	x9, #0xfffffff007150000
0xfffffff0087ba038: 29f90591  add	x9, x9, #0x17e
0xfffffff0087ba03c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087ba040: a04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087ba044: 00403691  add	x0, x0, #0xd90
0xfffffff0087ba048: 0192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ba04c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ba050: 834cffd0  adrp	x3, #0xfffffff00714c000
0xfffffff0087ba054: 63a42d91  add	x3, x3, #0xb69
0xfffffff0087ba058: 02008052  mov	w2, #0
0xfffffff0087ba05c: 35e4ed97  bl	#0xfffffff008333130
0xfffffff0087ba060: dffcff17  b	#0xfffffff0087b93dc
0xfffffff0087ba064: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087ba068: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff0087ba06c: 080140b9  ldr	w8, [x8]
0xfffffff0087ba070: 1f050071  cmp	w8, #1
0xfffffff0087ba074: a0010054  b.eq	#0xfffffff0087ba0a8
0xfffffff0087ba078: 48cd8052  mov	w8, #0x66a
0xfffffff0087ba07c: a94cffd0  adrp	x9, #0xfffffff007150000
0xfffffff0087ba080: 29f90591  add	x9, x9, #0x17e
0xfffffff0087ba084: e92300a9  stp	x9, x8, [sp]
0xfffffff0087ba088: a04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087ba08c: 00403691  add	x0, x0, #0xd90
0xfffffff0087ba090: 0192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ba094: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ba098: 834cffd0  adrp	x3, #0xfffffff00714c000
0xfffffff0087ba09c: 63082f91  add	x3, x3, #0xbc2
0xfffffff0087ba0a0: 02008052  mov	w2, #0
0xfffffff0087ba0a4: 23e4ed97  bl	#0xfffffff008333130
0xfffffff0087ba0a8: 880240b9  ldr	w8, [x20]
0xfffffff0087ba0ac: 1f010071  cmp	w8, #0
0xfffffff0087ba0b0: 4d0f0054  b.le	#0xfffffff0087ba298
0xfffffff0087ba0b4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087ba0b8: 01e10191  add	x1, x8, #0x78
0xfffffff0087ba0bc: e20314aa  mov	x2, x20
0xfffffff0087ba0c0: 7cfbff97  bl	#0xfffffff0087b8eb0
0xfffffff0087ba0c4: 884a47b9  ldr	w8, [x20, #0x748]
0xfffffff0087ba0c8: 1f010071  cmp	w8, #0
0xfffffff0087ba0cc: e8179f1a  cset	w8, eq
0xfffffff0087ba0d0: 68923cb9  str	w8, [x19, #0x3c90]
0xfffffff0087ba0d4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087ba0d8: 1f9101b9  str	wzr, [x8, #0x190]
0xfffffff0087ba0dc: 1f8d01b9  str	wzr, [x8, #0x18c]
0xfffffff0087ba0e0: 29008052  mov	w9, #1
0xfffffff0087ba0e4: 098500b9  str	w9, [x8, #0x84]
0xfffffff0087ba0e8: 89ee43b9  ldr	w9, [x20, #0x3ec]
0xfffffff0087ba0ec: 8997ff34  cbz	w9, #0xfffffff0087b93dc
0xfffffff0087ba0f0: 69927cb9  ldr	w9, [x19, #0x3c90]
0xfffffff0087ba0f4: 49000034  cbz	w9, #0xfffffff0087ba0fc
0xfffffff0087ba0f8: 9fee03b9  str	wzr, [x20, #0x3ec]
0xfffffff0087ba0fc: 81d20f91  add	x1, x20, #0x3f4
0xfffffff0087ba100: 00e12391  add	x0, x8, #0x8f8
0xfffffff0087ba104: 82518052  mov	w2, #0x28c
