; Candidate 3131
; ADRP+ADD at VM 0xfffffff008715598 (fileoff 0x1711598): page=0x1fea1c000 add_imm=0xd90

0xfffffff008715518: 400501ad  stp	q0, q1, [x10, #0x20]
0xfffffff00871551c: 08050091  add	x8, x8, #1
0xfffffff008715520: 4a0101d1  sub	x10, x10, #0x40
0xfffffff008715524: 3f0108eb  cmp	x9, x8
0xfffffff008715528: e1feff54  b.ne	#0xfffffff008715504
0xfffffff00871552c: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff008715530: 1711c05a  clz	w23, w8
0xfffffff008715534: 57040034  cbz	w23, #0xfffffff0087155bc
0xfffffff008715538: e1060011  add	w1, w23, #1
0xfffffff00871553c: e00314aa  mov	x0, x20
0xfffffff008715540: 02008052  mov	w2, #0
0xfffffff008715544: e8fcff97  bl	#0xfffffff0087148e4
0xfffffff008715548: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871554c: e903174b  neg	w9, w23
0xfffffff008715550: 1325c91a  lsr	w19, w8, w9
0xfffffff008715554: e00314aa  mov	x0, x20
0xfffffff008715558: e10317aa  mov	x1, x23
0xfffffff00871555c: 02008052  mov	w2, #0
0xfffffff008715560: e1fcff97  bl	#0xfffffff0087148e4
0xfffffff008715564: 08008012  mov	w8, #-1
0xfffffff008715568: 0821d71a  lsl	w8, w8, w23
0xfffffff00871556c: e803282a  mvn	w8, w8
0xfffffff008715570: 6802080b  add	w8, w19, w8
0xfffffff008715574: 09168152  mov	w9, #0x8b0
0xfffffff008715578: c972099b  madd	x9, x22, x9, x28
0xfffffff00871557c: 28090839  strb	w8, [x9, #0x202]
0xfffffff008715580: 081d0012  and	w8, w8, #0xff
0xfffffff008715584: 1f350071  cmp	w8, #0xd
0xfffffff008715588: 83020054  b.lo	#0xfffffff0087155d8
0xfffffff00871558c: 0852ff90  adrp	x8, #0xfffffff007155000
0xfffffff008715590: 08f51391  add	x8, x8, #0x4fd
0xfffffff008715594: e80300f9  str	x8, [sp]
0xfffffff008715598: e050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871559c: 00403691  add	x0, x0, #0xd90
0xfffffff0087155a0: 4197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087155a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087155a8: 0351fff0  adrp	x3, #0xfffffff007138000
0xfffffff0087155ac: 63441291  add	x3, x3, #0x491
0xfffffff0087155b0: 02008052  mov	w2, #0
0xfffffff0087155b4: df76f097  bl	#0xfffffff008333130
0xfffffff0087155b8: f5000014  b	#0xfffffff00871598c
0xfffffff0087155bc: e00314aa  mov	x0, x20
0xfffffff0087155c0: 21008052  mov	w1, #1
0xfffffff0087155c4: 02008052  mov	w2, #0
0xfffffff0087155c8: c7fcff97  bl	#0xfffffff0087148e4
0xfffffff0087155cc: 08168152  mov	w8, #0x8b0
0xfffffff0087155d0: c872089b  madd	x8, x22, x8, x28
0xfffffff0087155d4: 1f090839  strb	wzr, [x8, #0x202]
0xfffffff0087155d8: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff0087155dc: 1711c05a  clz	w23, w8
0xfffffff0087155e0: 77050034  cbz	w23, #0xfffffff00871568c
0xfffffff0087155e4: e1060011  add	w1, w23, #1
0xfffffff0087155e8: e00314aa  mov	x0, x20
0xfffffff0087155ec: 02008052  mov	w2, #0
0xfffffff0087155f0: bdfcff97  bl	#0xfffffff0087148e4
0xfffffff0087155f4: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff0087155f8: e903174b  neg	w9, w23
0xfffffff0087155fc: 1325c91a  lsr	w19, w8, w9
0xfffffff008715600: e00314aa  mov	x0, x20
0xfffffff008715604: e10317aa  mov	x1, x23
0xfffffff008715608: 02008052  mov	w2, #0
0xfffffff00871560c: b6fcff97  bl	#0xfffffff0087148e4
0xfffffff008715610: 08008012  mov	w8, #-1
0xfffffff008715614: 0821d71a  lsl	w8, w8, w23
