; Candidate 16411
; ADRP+ADD at VM 0xfffffff009e96eb8 (fileoff 0x2e92eb8): page=0x1fd9a6000 add_imm=0xd2f

0xfffffff009e96e38: 7b1b00b4  cbz	x27, #0xfffffff009e971a4
0xfffffff009e96e3c: d71bf8b7  tbnz	x23, #0x3f, #0xfffffff009e971b4
0xfffffff009e96e40: e00313aa  mov	x0, x19
0xfffffff009e96e44: f8030aaa  mov	x24, x10
0xfffffff009e96e48: 7694ff97  bl	#0xfffffff009e7c020
0xfffffff009e96e4c: ea0318aa  mov	x10, x24
0xfffffff009e96e50: 4068ff34  cbz	w0, #0xfffffff009e95b58
0xfffffff009e96e54: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff009e96e58: 30e68297  bl	#0xfffffff007f50718
0xfffffff009e96e5c: e8070132  mov	w8, #-0x7fffffff
0xfffffff009e96e60: 1f00086b  cmp	w0, w8
0xfffffff009e96e64: c11a0054  b.ne	#0xfffffff009e971bc
0xfffffff009e96e68: e00313aa  mov	x0, x19
0xfffffff009e96e6c: 41008052  mov	w1, #2
0xfffffff009e96e70: 02008052  mov	w2, #0
0xfffffff009e96e74: e30317aa  mov	x3, x23
0xfffffff009e96e78: e4031baa  mov	x4, x27
0xfffffff009e96e7c: 050080d2  mov	x5, #0
0xfffffff009e96e80: e3270194  bl	#0xfffffff009ee0e0c
0xfffffff009e96e84: ea0318aa  mov	x10, x24
0xfffffff009e96e88: 60fbff35  cbnz	w0, #0xfffffff009e96df4
0xfffffff009e96e8c: 33fbff17  b	#0xfffffff009e95b58
0xfffffff009e96e90: 36008052  mov	w22, #1
0xfffffff009e96e94: b6c317b8  stur	w22, [x29, #-0x84]
0xfffffff009e96e98: a7ffff17  b	#0xfffffff009e96d34
0xfffffff009e96e9c: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e96ea0: e89740f9  ldr	x8, [sp, #0x128]
0xfffffff009e96ea4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e96ea8: 69ba8552  mov	w9, #0x2dd3
0xfffffff009e96eac: 28cdfed0  adrp	x8, #0xfffffff00783c000
0xfffffff009e96eb0: 08813591  add	x8, x8, #0xd60
0xfffffff009e96eb4: e82700a9  stp	x8, x9, [sp]
0xfffffff009e96eb8: 20cdfed0  adrp	x0, #0xfffffff00783c000
0xfffffff009e96ebc: 00bc3491  add	x0, x0, #0xd2f
0xfffffff009e96ec0: 81a2ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e96ec4: c8028052  mov	w8, #0x16
0xfffffff009e96ec8: a8c317b8  stur	w8, [x29, #-0x84]
0xfffffff009e96ecc: 0c000014  b	#0xfffffff009e96efc
0xfffffff009e96ed0: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e96ed4: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff009e96ed8: e99740f9  ldr	x9, [sp, #0x128]
0xfffffff009e96edc: 88bd8552  mov	w8, #0x2dec
0xfffffff009e96ee0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e96ee4: 28cdfed0  adrp	x8, #0xfffffff00783c000
0xfffffff009e96ee8: 08813591  add	x8, x8, #0xd60
0xfffffff009e96eec: e80300f9  str	x8, [sp]
0xfffffff009e96ef0: 00cdfe90  adrp	x0, #0xfffffff007836000
0xfffffff009e96ef4: 00842291  add	x0, x0, #0x8a1
0xfffffff009e96ef8: 73a2ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e96efc: 36008052  mov	w22, #1
0xfffffff009e96f00: 8effff17  b	#0xfffffff009e96d38
0xfffffff009e96f04: 36008052  mov	w22, #1
0xfffffff009e96f08: f9031aaa  mov	x25, x26
0xfffffff009e96f0c: 8bffff17  b	#0xfffffff009e96d38
0xfffffff009e96f10: 00028052  mov	w0, #0x10
0xfffffff009e96f14: b8ffff17  b	#0xfffffff009e96df4
0xfffffff009e96f18: 60080035  cbnz	w0, #0xfffffff009e97024
0xfffffff009e96f1c: 96010034  cbz	w22, #0xfffffff009e96f4c
0xfffffff009e96f20: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e96f24: e8db01a9  stp	x8, x22, [sp, #0x18]
0xfffffff009e96f28: e99740f9  ldr	x9, [sp, #0x128]
0xfffffff009e96f2c: 08f38552  mov	w8, #0x2f98
0xfffffff009e96f30: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e96f34: 28cdfed0  adrp	x8, #0xfffffff00783c000
