; Candidate 2161
; ADRP+ADD at VM 0xfffffff008593c90 (fileoff 0x158fc90): page=0x1d43000 add_imm=0xdf0

0xfffffff008593c10: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008593c14: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008593c18: ff2303d5  autibsp	
0xfffffff008593c1c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008593c20: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008593c28
0xfffffff008593c24: 208e38d4  brk	#0xc471
0xfffffff008593c28: f10301aa  mov	x17, x1
0xfffffff008593c2c: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff008593c30: 110a1fd7  braa	x16, x17
0xfffffff008593c34: 5f2403d5  bti	c
0xfffffff008593c38: af42f517  b	#0xfffffff0082e46f4
0xfffffff008593c3c: 7f2303d5  pacibsp	
0xfffffff008593c40: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008593c44: fd030091  mov	x29, sp
0xfffffff008593c48: 00ea00f0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008593c4c: 00c03791  add	x0, x0, #0xdf0
0xfffffff008593c50: c15aff90  adrp	x1, #0xfffffff0070eb000
0xfffffff008593c54: 21d42e91  add	x1, x1, #0xbb5
0xfffffff008593c58: a2a0ffb0  adrp	x2, #0xfffffff0079a8000
0xfffffff008593c5c: 42d445f9  ldr	x2, [x2, #0xba8]
0xfffffff008593c60: 038a8552  mov	w3, #0x2c50
0xfffffff008593c64: b53ff597  bl	#0xfffffff0082e3b38
0xfffffff008593c68: b0a0ffd0  adrp	x16, #0xfffffff0079a9000
0xfffffff008593c6c: 10c22891  add	x16, x16, #0xa30
0xfffffff008593c70: 10420091  add	x16, x16, #0x10
0xfffffff008593c74: f10300aa  mov	x17, x0
0xfffffff008593c78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008593c7c: 300ac1da  pacda	x16, x17
0xfffffff008593c80: 100000f9  str	x16, [x0]
0xfffffff008593c84: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008593c88: ff0f5fd6  retab	
0xfffffff008593c8c: 5f2403d5  bti	c
0xfffffff008593c90: 00ea00f0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008593c94: 00c03791  add	x0, x0, #0xdf0
0xfffffff008593c98: 9742f517  b	#0xfffffff0082e46f4
0xfffffff008593c9c: 7f2303d5  pacibsp	
0xfffffff008593ca0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008593ca4: fd030091  mov	x29, sp
0xfffffff008593ca8: c15affb0  adrp	x1, #0xfffffff0070ec000
0xfffffff008593cac: 21d00791  add	x1, x1, #0x1f4
0xfffffff008593cb0: a2a0ffb0  adrp	x2, #0xfffffff0079a8000
0xfffffff008593cb4: 42d445f9  ldr	x2, [x2, #0xba8]
0xfffffff008593cb8: 030e8052  mov	w3, #0x70
0xfffffff008593cbc: 9f3ff597  bl	#0xfffffff0082e3b38
0xfffffff008593cc0: b0a0ffd0  adrp	x16, #0xfffffff0079a9000
0xfffffff008593cc4: 10622d91  add	x16, x16, #0xb58
0xfffffff008593cc8: 10420091  add	x16, x16, #0x10
0xfffffff008593ccc: f10300aa  mov	x17, x0
0xfffffff008593cd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008593cd4: 300ac1da  pacda	x16, x17
0xfffffff008593cd8: 100000f9  str	x16, [x0]
0xfffffff008593cdc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008593ce0: ff0f5fd6  retab	
0xfffffff008593ce4: 5f2403d5  bti	c
0xfffffff008593ce8: 8342f517  b	#0xfffffff0082e46f4
0xfffffff008593cec: 7f2303d5  pacibsp	
0xfffffff008593cf0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008593cf4: fd030091  mov	x29, sp
0xfffffff008593cf8: 9d4ef597  bl	#0xfffffff0082e776c
0xfffffff008593cfc: b0a0ffd0  adrp	x16, #0xfffffff0079a9000
0xfffffff008593d00: 10222b91  add	x16, x16, #0xac8
0xfffffff008593d04: 10420091  add	x16, x16, #0x10
0xfffffff008593d08: f10300aa  mov	x17, x0
0xfffffff008593d0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
