; Candidate 16777
; ADRP+ADD at VM 0xfffffff009f55aa0 (fileoff 0x2f51aa0): page=0x1fd90f000 add_imm=0xdf6

0xfffffff009f55a20: e9878052  mov	w9, #0x43f
0xfffffff009f55a24: 60c8fef0  adrp	x0, #0xfffffff007864000
0xfffffff009f55a28: 001c3691  add	x0, x0, #0xd87
0xfffffff009f55a2c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f55a30: a5a7fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f55a34: 686a40b9  ldr	w8, [x19, #0x68]
0xfffffff009f55a38: e803282a  mvn	w8, w8
0xfffffff009f55a3c: 1f0564f2  tst	x8, #0x30000000
0xfffffff009f55a40: 61030054  b.ne	#0xfffffff009f55aac
0xfffffff009f55a44: e00314aa  mov	x0, x20
0xfffffff009f55a48: e10313aa  mov	x1, x19
0xfffffff009f55a4c: e20315aa  mov	x2, x21
0xfffffff009f55a50: a004ff97  bl	#0xfffffff009f16cd0
0xfffffff009f55a54: 1f781e72  tst	w0, #0xfffffffd
0xfffffff009f55a58: a0020054  b.eq	#0xfffffff009f55aac
0xfffffff009f55a5c: 083e8452  mov	w8, #0x21f0
0xfffffff009f55a60: 8802088b  add	x8, x20, x8
0xfffffff009f55a64: 690640f9  ldr	x9, [x19, #8]
0xfffffff009f55a68: 1fa80171  cmp	w0, #0x6a
0xfffffff009f55a6c: a8000054  b.hi	#0xfffffff009f55a80
0xfffffff009f55a70: eaeefef0  adrp	x10, #0xfffffff007d34000
0xfffffff009f55a74: 4a011191  add	x10, x10, #0x440
0xfffffff009f55a78: 4a5960f8  ldr	x10, [x10, w0, uxtw #3]
0xfffffff009f55a7c: 03000014  b	#0xfffffff009f55a88
0xfffffff009f55a80: aac7feb0  adrp	x10, #0xfffffff00784a000
0xfffffff009f55a84: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009f55a88: ea0302a9  stp	x10, x0, [sp, #0x20]
0xfffffff009f55a8c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f55a90: 68c8fef0  adrp	x8, #0xfffffff007864000
0xfffffff009f55a94: 08213791  add	x8, x8, #0xdc8
0xfffffff009f55a98: 49898052  mov	w9, #0x44a
0xfffffff009f55a9c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f55aa0: 60c8fef0  adrp	x0, #0xfffffff007864000
0xfffffff009f55aa4: 00d83791  add	x0, x0, #0xdf6
0xfffffff009f55aa8: 87a7fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f55aac: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009f55ab0: 08c14039  ldrb	w8, [x8, #0x30]
0xfffffff009f55ab4: 680b1036  tbz	w8, #2, #0xfffffff009f55c20
0xfffffff009f55ab8: 68124179  ldrh	w8, [x19, #0x88]
0xfffffff009f55abc: 080d1412  and	w8, w8, #0xf000
0xfffffff009f55ac0: 1f214071  cmp	w8, #8, lsl #12
0xfffffff009f55ac4: e10a0054  b.ne	#0xfffffff009f55c20
0xfffffff009f55ac8: 68a24139  ldrb	w8, [x19, #0x68]
0xfffffff009f55acc: a80a2036  tbz	w8, #4, #0xfffffff009f55c20
0xfffffff009f55ad0: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff009f55ad4: 612240f9  ldr	x1, [x19, #0x40]
0xfffffff009f55ad8: 620640f9  ldr	x2, [x19, #8]
0xfffffff009f55adc: e3030191  add	x3, sp, #0x40
0xfffffff009f55ae0: e00314aa  mov	x0, x20
0xfffffff009f55ae4: e604fc97  bl	#0xfffffff009e56e7c
0xfffffff009f55ae8: f62340f9  ldr	x22, [sp, #0x40]
0xfffffff009f55aec: 40090035  cbnz	w0, #0xfffffff009f55c14
0xfffffff009f55af0: e00316aa  mov	x0, x22
0xfffffff009f55af4: 090c4378  ldrh	w9, [x0, #0x30]!
0xfffffff009f55af8: 290300b4  cbz	x9, #0xfffffff009f55b5c
0xfffffff009f55afc: c81e40f9  ldr	x8, [x22, #0x38]
0xfffffff009f55b00: 290500d1  sub	x9, x9, #1
0xfffffff009f55b04: 18454038  ldrb	w24, [x8], #4
0xfffffff009f55b08: 1f0b0071  cmp	w24, #2
0xfffffff009f55b0c: f7179f1a  cset	w23, eq
0xfffffff009f55b10: 241940fa  ccmp	x9, #0, #4, ne
0xfffffff009f55b14: 290500d1  sub	x9, x9, #1
0xfffffff009f55b18: 61ffff54  b.ne	#0xfffffff009f55b04
0xfffffff009f55b1c: a3e300d1  sub	x3, x29, #0x38
