; Candidate 3293
; ADRP+ADD at VM 0xfffffff008728ca0 (fileoff 0x1724ca0): page=0x1fea09000 add_imm=0xd90

0xfffffff008728c20: 40fdff17  b	#0xfffffff008728120
0xfffffff008728c24: 6851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008728c28: 08851291  add	x8, x8, #0x4a1
0xfffffff008728c2c: ff5702a9  stp	xzr, x21, [sp, #0x20]
0xfffffff008728c30: e86301a9  stp	x8, x24, [sp, #0x10]
0xfffffff008728c34: e8de8152  mov	w8, #0xef7
0xfffffff008728c38: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728c3c: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728c40: e92300a9  stp	x9, x8, [sp]
0xfffffff008728c44: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728c48: 00403691  add	x0, x0, #0xd90
0xfffffff008728c4c: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728c50: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728c54: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728c58: 63b40e91  add	x3, x3, #0x3ad
0xfffffff008728c5c: 02008052  mov	w2, #0
0xfffffff008728c60: 3429f097  bl	#0xfffffff008333130
0xfffffff008728c64: 00008052  mov	w0, #0
0xfffffff008728c68: 6efbff17  b	#0xfffffff008727a20
0xfffffff008728c6c: 6a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008728c70: 4a890b91  add	x10, x10, #0x2e2
0xfffffff008728c74: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff008728c78: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728c7c: 29710b91  add	x9, x9, #0x2dc
0xfffffff008728c80: 6b51ffd0  adrp	x11, #0xfffffff007156000
0xfffffff008728c84: 6b1d1091  add	x11, x11, #0x407
0xfffffff008728c88: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008728c8c: 48d88152  mov	w8, #0xec2
0xfffffff008728c90: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728c94: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728c98: e8af00a9  stp	x8, x11, [sp, #8]
0xfffffff008728c9c: e90300f9  str	x9, [sp]
0xfffffff008728ca0: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728ca4: 00403691  add	x0, x0, #0xd90
0xfffffff008728ca8: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728cac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728cb0: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728cb4: 63a00891  add	x3, x3, #0x228
0xfffffff008728cb8: 02008052  mov	w2, #0
0xfffffff008728cbc: 1d29f097  bl	#0xfffffff008333130
0xfffffff008728cc0: 00008052  mov	w0, #0
0xfffffff008728cc4: 57fbff17  b	#0xfffffff008727a20
0xfffffff008728cc8: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008728ccc: 6851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008728cd0: 08890b91  add	x8, x8, #0x2e2
0xfffffff008728cd4: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728cd8: 29710b91  add	x9, x9, #0x2dc
0xfffffff008728cdc: 6a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008728ce0: 4a4d1091  add	x10, x10, #0x413
0xfffffff008728ce4: f92302a9  stp	x25, x8, [sp, #0x20]
0xfffffff008728ce8: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008728cec: 68d88152  mov	w8, #0xec3
0xfffffff008728cf0: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728cf4: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728cf8: e92300a9  stp	x9, x8, [sp]
0xfffffff008728cfc: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728d00: 00403691  add	x0, x0, #0xd90
0xfffffff008728d04: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728d08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728d0c: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728d10: 639c0991  add	x3, x3, #0x267
0xfffffff008728d14: 02008052  mov	w2, #0
0xfffffff008728d18: 0629f097  bl	#0xfffffff008333130
0xfffffff008728d1c: 00008052  mov	w0, #0
