; Candidate 3475
; ADRP+ADD at VM 0xfffffff008740fd8 (fileoff 0x173cfd8): page=0x1fe9f1000 add_imm=0xd90

0xfffffff008740f58: e1031aaa  mov	x1, x26
0xfffffff008740f5c: fbbc0194  bl	#0xfffffff0087b0348
0xfffffff008740f60: f4031aaa  mov	x20, x26
0xfffffff008740f64: 09000014  b	#0xfffffff008740f88
0xfffffff008740f68: faa300a9  stp	x26, x8, [sp, #8]
0xfffffff008740f6c: f90300f9  str	x25, [sp]
0xfffffff008740f70: e00315aa  mov	x0, x21
0xfffffff008740f74: e10316aa  mov	x1, x22
0xfffffff008740f78: 02008052  mov	w2, #0
0xfffffff008740f7c: e34fff90  adrp	x3, #0xfffffff00713c000
0xfffffff008740f80: 63643b91  add	x3, x3, #0xed9
0xfffffff008740f84: 6bc8ef97  bl	#0xfffffff008333130
0xfffffff008740f88: 000340f9  ldr	x0, [x24]
0xfffffff008740f8c: e1030291  add	x1, sp, #0x80
0xfffffff008740f90: 32350094  bl	#0xfffffff00874e458
0xfffffff008740f94: a0f3ff34  cbz	w0, #0xfffffff008740e08
0xfffffff008740f98: 080340f9  ldr	x8, [x24]
0xfffffff008740f9c: 000540f9  ldr	x0, [x8, #8]
0xfffffff008740fa0: 8bd8ff97  bl	#0xfffffff0087371cc
0xfffffff008740fa4: fa0319aa  mov	x26, x25
0xfffffff008740fa8: fb2f40b9  ldr	w27, [sp, #0x2c]
0xfffffff008740fac: d400f836  tbz	w20, #0x1f, #0xfffffff008740fc4
0xfffffff008740fb0: 9f070031  cmn	w28, #1
0xfffffff008740fb4: 000b0054  b.eq	#0xfffffff008741114
0xfffffff008740fb8: 9f830071  cmp	w28, #0x20
0xfffffff008740fbc: ca0a0054  b.ge	#0xfffffff008741114
0xfffffff008740fc0: f4031caa  mov	x20, x28
0xfffffff008740fc4: 3b0c0034  cbz	w27, #0xfffffff008741148
0xfffffff008740fc8: 080340f9  ldr	x8, [x24]
0xfffffff008740fcc: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff008740fd0: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff008740fd4: fa0300f9  str	x26, [sp]
0xfffffff008740fd8: 804fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008740fdc: 00403691  add	x0, x0, #0xd90
0xfffffff008740fe0: e195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008740fe4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008740fe8: e34fff90  adrp	x3, #0xfffffff00713c000
0xfffffff008740fec: 63643d91  add	x3, x3, #0xf59
0xfffffff008740ff0: 02008052  mov	w2, #0
0xfffffff008740ff4: 4fc8ef97  bl	#0xfffffff008333130
0xfffffff008740ff8: 080340f9  ldr	x8, [x24]
0xfffffff008740ffc: 1f1100b9  str	wzr, [x8, #0x10]
0xfffffff008741000: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff008741004: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008741008: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00874100c: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008741010: e0c30091  add	x0, sp, #0x30
0xfffffff008741014: 01008052  mov	w1, #0
0xfffffff008741018: 02098052  mov	w2, #0x48
0xfffffff00874101c: e92ed897  bl	#0xfffffff007d4cbc0
0xfffffff008741020: 685240f9  ldr	x8, [x19, #0xa0]
0xfffffff008741024: 08d974f8  ldr	x8, [x8, w20, sxtw #3]
0xfffffff008741028: e81b00f9  str	x8, [sp, #0x30]
0xfffffff00874102c: f43b00b9  str	w20, [sp, #0x38]
0xfffffff008741030: e0e5002f  movi	d0, #0x000000ffffffff
0xfffffff008741034: e02b00fd  str	d0, [sp, #0x50]
0xfffffff008741038: 000340f9  ldr	x0, [x24]
0xfffffff00874103c: e1c30091  add	x1, sp, #0x30
0xfffffff008741040: 04320094  bl	#0xfffffff00874d850
0xfffffff008741044: 1f080071  cmp	w0, #2
0xfffffff008741048: a8000054  b.hi	#0xfffffff00874105c
0xfffffff00874104c: a851ffb0  adrp	x8, #0xfffffff007176000
0xfffffff008741050: 08810191  add	x8, x8, #0x60
0xfffffff008741054: 14d960b8  ldr	w20, [x8, w0, sxtw #2]
