; Candidate 2184
; ADRP+ADD at VM 0xfffffff0085a9d2c (fileoff 0x15a5d2c): page=0x1ff40f000 add_imm=0xd30

0xfffffff0085a9cac: 10a20d91  add	x16, x16, #0x368
0xfffffff0085a9cb0: 10420091  add	x16, x16, #0x10
0xfffffff0085a9cb4: f10300aa  mov	x17, x0
0xfffffff0085a9cb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085a9cbc: 300ac1da  pacda	x16, x17
0xfffffff0085a9cc0: 100000f9  str	x16, [x0]
0xfffffff0085a9cc4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085a9cc8: ff0f5fd6  retab	
0xfffffff0085a9ccc: 5f2403d5  bti	c
0xfffffff0085a9cd0: 62e8ff17  b	#0xfffffff0085a3e58
0xfffffff0085a9cd4: 5f2403d5  bti	c
0xfffffff0085a9cd8: 60e8ff17  b	#0xfffffff0085a3e58
0xfffffff0085a9cdc: 7f2303d5  pacibsp	
0xfffffff0085a9ce0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085a9ce4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085a9ce8: fd430091  add	x29, sp, #0x10
0xfffffff0085a9cec: f30300aa  mov	x19, x0
0xfffffff0085a9cf0: 5ae8ff97  bl	#0xfffffff0085a3e58
0xfffffff0085a9cf4: 60a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085a9cf8: 00c03491  add	x0, x0, #0xd30
0xfffffff0085a9cfc: e10313aa  mov	x1, x19
0xfffffff0085a9d00: 022f8052  mov	w2, #0x178
0xfffffff0085a9d04: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085a9d08: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085a9d0c: ff2303d5  autibsp	
0xfffffff0085a9d10: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0085a9d14: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0085a9d1c
0xfffffff0085a9d18: 208e38d4  brk	#0xc471
0xfffffff0085a9d1c: 60f6f417  b	#0xfffffff0082e769c
0xfffffff0085a9d20: 5f2403d5  bti	c
0xfffffff0085a9d24: e20301aa  mov	x2, x1
0xfffffff0085a9d28: e10300aa  mov	x1, x0
0xfffffff0085a9d2c: 60a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085a9d30: 00c03491  add	x0, x0, #0xd30
0xfffffff0085a9d34: 5af6f417  b	#0xfffffff0082e769c
0xfffffff0085a9d38: 5f2403d5  bti	c
0xfffffff0085a9d3c: 60e900d0  adrp	x0, #0xfffffff00a2d7000
0xfffffff0085a9d40: 00600e91  add	x0, x0, #0x398
0xfffffff0085a9d44: c0035fd6  ret	
0xfffffff0085a9d48: 7f2303d5  pacibsp	
0xfffffff0085a9d4c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085a9d50: fd030091  mov	x29, sp
0xfffffff0085a9d54: 615aff90  adrp	x1, #0xfffffff0070f5000
0xfffffff0085a9d58: 21cc2f91  add	x1, x1, #0xbf3
0xfffffff0085a9d5c: 62e900d0  adrp	x2, #0xfffffff00a2d7000
0xfffffff0085a9d60: 42000a91  add	x2, x2, #0x280
0xfffffff0085a9d64: 032f8052  mov	w3, #0x178
0xfffffff0085a9d68: 74e7f497  bl	#0xfffffff0082e3b38
0xfffffff0085a9d6c: 50a0ff90  adrp	x16, #0xfffffff0079b1000
0xfffffff0085a9d70: 10822991  add	x16, x16, #0xa60
0xfffffff0085a9d74: 10420091  add	x16, x16, #0x10
0xfffffff0085a9d78: f10300aa  mov	x17, x0
0xfffffff0085a9d7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085a9d80: 300ac1da  pacda	x16, x17
0xfffffff0085a9d84: 100000f9  str	x16, [x0]
0xfffffff0085a9d88: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085a9d8c: ff0f5fd6  retab	
0xfffffff0085a9d90: 7f2303d5  pacibsp	
0xfffffff0085a9d94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085a9d98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085a9d9c: fd430091  add	x29, sp, #0x10
0xfffffff0085a9da0: 60a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085a9da4: 00c03491  add	x0, x0, #0xd30
0xfffffff0085a9da8: 012f8052  mov	w1, #0x178
