; Candidate 12569
; ADRP+ADD at VM 0xfffffff0090be4b4 (fileoff 0x20ba4b4): page=0x1fe39b000 add_imm=0xe24

0xfffffff0090be434: 750700b4  cbz	x21, #0xfffffff0090be520
0xfffffff0090be438: 540700b4  cbz	x20, #0xfffffff0090be520
0xfffffff0090be43c: 08018052  mov	w8, #8
0xfffffff0090be440: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0090be444: e2c30091  add	x2, sp, #0x30
0xfffffff0090be448: e3a30091  add	x3, sp, #0x28
0xfffffff0090be44c: e00318aa  mov	x0, x24
0xfffffff0090be450: e10313aa  mov	x1, x19
0xfffffff0090be454: 4758ff97  bl	#0xfffffff009094570
0xfffffff0090be458: 40080035  cbnz	w0, #0xfffffff0090be560
0xfffffff0090be45c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0090be460: 1f2100f1  cmp	x8, #8
0xfffffff0090be464: e1090054  b.ne	#0xfffffff0090be5a0
0xfffffff0090be468: e3c30091  add	x3, sp, #0x30
0xfffffff0090be46c: e00317aa  mov	x0, x23
0xfffffff0090be470: 61038052  mov	w1, #0x1b
0xfffffff0090be474: 02008052  mov	w2, #0
0xfffffff0090be478: 04018052  mov	w4, #8
0xfffffff0090be47c: e50315aa  mov	x5, x21
0xfffffff0090be480: e60314aa  mov	x6, x20
0xfffffff0090be484: 519081d2  mov	x17, #0xc82
0xfffffff0090be488: d10a3fd7  blraa	x22, x17
0xfffffff0090be48c: f30300aa  mov	x19, x0
0xfffffff0090be490: 600a0035  cbnz	w0, #0xfffffff0090be5dc
0xfffffff0090be494: 48018052  mov	w8, #0xa
0xfffffff0090be498: 69034039  ldrb	w9, [x27]
0xfffffff0090be49c: 1f01096b  cmp	w8, w9
0xfffffff0090be4a0: 03010054  b.lo	#0xfffffff0090be4c0
0xfffffff0090be4a4: e80313aa  mov	x8, x19
0xfffffff0090be4a8: 087d4093  sxtw	x8, w8
0xfffffff0090be4ac: fa6700a9  stp	x26, x25, [sp]
0xfffffff0090be4b0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090be4b4: c01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090be4b8: 00903891  add	x0, x0, #0xe24
0xfffffff0090be4bc: d962ca97  bl	#0xfffffff008357020
0xfffffff0090be4c0: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0090be4c4: 4954fff0  adrp	x9, #0xfffffff007b49000
0xfffffff0090be4c8: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090be4cc: 290140f9  ldr	x9, [x9]
0xfffffff0090be4d0: 3f0108eb  cmp	x9, x8
0xfffffff0090be4d4: 410a0054  b.ne	#0xfffffff0090be61c
0xfffffff0090be4d8: e00313aa  mov	x0, x19
0xfffffff0090be4dc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0090be4e0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0090be4e4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0090be4e8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0090be4ec: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0090be4f0: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0090be4f4: ff830291  add	sp, sp, #0xa0
0xfffffff0090be4f8: ff0f5fd6  retab	
0xfffffff0090be4fc: 28988052  mov	w8, #0x4c1
0xfffffff0090be500: 491dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090be504: 29693f91  add	x9, x9, #0xfda
0xfffffff0090be508: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090be50c: c81cfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090be510: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090be514: 4a1dffd0  adrp	x10, #0xfffffff007468000
0xfffffff0090be518: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090be51c: 09000014  b	#0xfffffff0090be540
0xfffffff0090be520: 48988052  mov	w8, #0x4c2
0xfffffff0090be524: 491dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090be528: 29693f91  add	x9, x9, #0xfda
0xfffffff0090be52c: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090be530: c81cfff0  adrp	x8, #0xfffffff007459000
