; Candidate 8252
; ADRP+ADD at VM 0xfffffff00889f080 (fileoff 0x189b080): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889f000: 63bc3e91  add	x3, x3, #0xfaf
0xfffffff00889f004: 4b50ea97  bl	#0xfffffff008333130
0xfffffff00889f008: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff00889f00c: 29b381b9  ldrsw	x9, [x25, #0x1b0]
0xfffffff00889f010: 2a13098b  add	x10, x25, x9, lsl #4
0xfffffff00889f014: 48dd00f9  str	x8, [x10, #0x1b8]
0xfffffff00889f018: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff00889f01c: 48c101b9  str	w8, [x10, #0x1c0]
0xfffffff00889f020: 882a40b9  ldr	w8, [x20, #0x28]
0xfffffff00889f024: 48c501b9  str	w8, [x10, #0x1c4]
0xfffffff00889f028: 28050011  add	w8, w9, #1
0xfffffff00889f02c: 28b301b9  str	w8, [x25, #0x1b0]
0xfffffff00889f030: f7060091  add	x23, x23, #1
0xfffffff00889f034: 883a80b9  ldrsw	x8, [x20, #0x38]
0xfffffff00889f038: ff0208eb  cmp	x23, x8
0xfffffff00889f03c: 2bf5ff54  b.lt	#0xfffffff00889eee0
0xfffffff00889f040: 15008052  mov	w21, #0
0xfffffff00889f044: 8a000014  b	#0xfffffff00889f26c
0xfffffff00889f048: 59540094  bl	#0xfffffff0088b41ac
0xfffffff00889f04c: f50300aa  mov	x21, x0
0xfffffff00889f050: e0008052  mov	w0, #7
0xfffffff00889f054: ff71ff97  bl	#0xfffffff00887b850
0xfffffff00889f058: 680240b9  ldr	w8, [x19]
0xfffffff00889f05c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00889f060: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f064: 08213e91  add	x8, x8, #0xf88
0xfffffff00889f068: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889f06c: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f070: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f074: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889f078: a80f8052  mov	w8, #0x7d
0xfffffff00889f07c: f52300a9  stp	x21, x8, [sp]
0xfffffff00889f080: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f084: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f088: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f08c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f090: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f094: 63e83b91  add	x3, x3, #0xefa
0xfffffff00889f098: 02008052  mov	w2, #0
0xfffffff00889f09c: 2550ea97  bl	#0xfffffff008333130
0xfffffff00889f0a0: d4f0ffb5  cbnz	x20, #0xfffffff00889eeb8
0xfffffff00889f0a4: a00f8052  mov	w0, #0x7d
0xfffffff00889f0a8: 81008052  mov	w1, #4
0xfffffff00889f0ac: c971ff97  bl	#0xfffffff00887b7d0
0xfffffff00889f0b0: c00d0034  cbz	w0, #0xfffffff00889f268
0xfffffff00889f0b4: a00f8052  mov	w0, #0x7d
0xfffffff00889f0b8: d871ff97  bl	#0xfffffff00887b818
0xfffffff00889f0bc: f60300aa  mov	x22, x0
0xfffffff00889f0c0: 3b540094  bl	#0xfffffff0088b41ac
0xfffffff00889f0c4: f50300aa  mov	x21, x0
0xfffffff00889f0c8: 80008052  mov	w0, #4
0xfffffff00889f0cc: e171ff97  bl	#0xfffffff00887b850
0xfffffff00889f0d0: 36060034  cbz	w22, #0xfffffff00889f194
0xfffffff00889f0d4: 680240b9  ldr	w8, [x19]
0xfffffff00889f0d8: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f0dc: 29511691  add	x9, x9, #0x594
0xfffffff00889f0e0: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00889f0e4: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00889f0e8: 086b8052  mov	w8, #0x358
0xfffffff00889f0ec: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f0f0: 29213e91  add	x9, x9, #0xf88
0xfffffff00889f0f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889f0f8: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f0fc: 08e93191  add	x8, x8, #0xc7a
