; Candidate 3728
; ADRP+ADD at VM 0xfffffff008754f98 (fileoff 0x1750f98): page=0x1fe9dd000 add_imm=0xd90

0xfffffff008754f18: 8095ff90  adrp	x0, #0xfffffff007a04000
0xfffffff008754f1c: 00a02891  add	x0, x0, #0xa28
0xfffffff008754f20: 7505f097  bl	#0xfffffff0083564f4
0xfffffff008754f24: 01008052  mov	w1, #0
0xfffffff008754f28: e20314aa  mov	x2, x20
0xfffffff008754f2c: 119efe97  bl	#0xfffffff0086fc770
0xfffffff008754f30: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff008754f34: a00100b5  cbnz	x0, #0xfffffff008754f68
0xfffffff008754f38: 88018052  mov	w8, #0xc
0xfffffff008754f3c: 2950ffb0  adrp	x9, #0xfffffff007159000
0xfffffff008754f40: 29210591  add	x9, x9, #0x148
0xfffffff008754f44: e92300a9  stp	x9, x8, [sp]
0xfffffff008754f48: e04effb0  adrp	x0, #0xfffffff007131000
0xfffffff008754f4c: 00403691  add	x0, x0, #0xd90
0xfffffff008754f50: 4195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008754f54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008754f58: 634fffb0  adrp	x3, #0xfffffff007141000
0xfffffff008754f5c: 63680891  add	x3, x3, #0x21a
0xfffffff008754f60: 02008052  mov	w2, #0
0xfffffff008754f64: 7378ef97  bl	#0xfffffff008333130
0xfffffff008754f68: 08008252  mov	w8, #0x1000
0xfffffff008754f6c: 689600f9  str	x8, [x19, #0x128]
0xfffffff008754f70: 8095fff0  adrp	x0, #0xfffffff007a07000
0xfffffff008754f74: 00601491  add	x0, x0, #0x518
0xfffffff008754f78: 01008852  mov	w1, #0x4000
0xfffffff008754f7c: 9507f097  bl	#0xfffffff008356dd0
0xfffffff008754f80: 609200f9  str	x0, [x19, #0x120]
0xfffffff008754f84: a00100b5  cbnz	x0, #0xfffffff008754fb8
0xfffffff008754f88: 48028052  mov	w8, #0x12
0xfffffff008754f8c: 2950ffb0  adrp	x9, #0xfffffff007159000
0xfffffff008754f90: 29210591  add	x9, x9, #0x148
0xfffffff008754f94: e92300a9  stp	x9, x8, [sp]
0xfffffff008754f98: e04effb0  adrp	x0, #0xfffffff007131000
0xfffffff008754f9c: 00403691  add	x0, x0, #0xd90
0xfffffff008754fa0: 4195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008754fa4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008754fa8: 634fffb0  adrp	x3, #0xfffffff007141000
0xfffffff008754fac: 63340991  add	x3, x3, #0x24d
0xfffffff008754fb0: 02008052  mov	w2, #0
0xfffffff008754fb4: 5f78ef97  bl	#0xfffffff008333130
0xfffffff008754fb8: 14268052  mov	w20, #0x130
0xfffffff008754fbc: 60d242f9  ldr	x0, [x19, #0x5a0]
0xfffffff008754fc0: 6302148b  add	x3, x19, x20
0xfffffff008754fc4: 01288352  mov	w1, #0x1940
0xfffffff008754fc8: 8100a072  movk	w1, #4, lsl #16
0xfffffff008754fcc: 22008052  mov	w2, #1
0xfffffff008754fd0: 27c1ff97  bl	#0xfffffff00874546c
0xfffffff008754fd4: 94220291  add	x20, x20, #0x88
0xfffffff008754fd8: 9fc215f1  cmp	x20, #0x570
0xfffffff008754fdc: 01ffff54  b.ne	#0xfffffff008754fbc
0xfffffff008754fe0: 48008052  mov	w8, #2
0xfffffff008754fe4: 68ba05b9  str	w8, [x19, #0x5b8]
0xfffffff008754fe8: e00313aa  mov	x0, x19
0xfffffff008754fec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008754ff0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008754ff4: ffc30091  add	sp, sp, #0x30
0xfffffff008754ff8: ff0f5fd6  retab	
0xfffffff008754ffc: 5f2403d5  bti	c
0xfffffff008755000: b7ffff17  b	#0xfffffff008754edc
0xfffffff008755004: 5f2403d5  bti	c
0xfffffff008755008: 7788ff17  b	#0xfffffff0087371e4
0xfffffff00875500c: 5f2403d5  bti	c
0xfffffff008755010: 7588ff17  b	#0xfffffff0087371e4
0xfffffff008755014: 7f2303d5  pacibsp	
