; Candidate 12810
; ADRP+ADD at VM 0xfffffff00915df98 (fileoff 0x2159f98): page=0x1fe32d000 add_imm=0xd1c

0xfffffff00915df18: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00915df1c: e90310aa  mov	x9, x16
0xfffffff00915df20: f10309aa  mov	x17, x9
0xfffffff00915df24: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00915df28: 11093fd7  blraa	x8, x17
0xfffffff00915df2c: 7f7a00f9  str	xzr, [x19, #0xf0]
0xfffffff00915df30: 28034039  ldrb	w8, [x25]
0xfffffff00915df34: 48040036  tbz	w8, #0, #0xfffffff00915dfbc
0xfffffff00915df38: c88d0090  adrp	x8, #0xfffffff00a315000
0xfffffff00915df3c: 08611e91  add	x8, x8, #0x798
0xfffffff00915df40: 08014039  ldrb	w8, [x8]
0xfffffff00915df44: 08030034  cbz	w8, #0xfffffff00915dfa4
0xfffffff00915df48: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915df4c: 085d3591  add	x8, x8, #0xd57
0xfffffff00915df50: e80300f9  str	x8, [sp]
0xfffffff00915df54: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915df58: 00503791  add	x0, x0, #0xdd4
0xfffffff00915df5c: 4165b197  bl	#0xfffffff007db7460
0xfffffff00915df60: 17000014  b	#0xfffffff00915dfbc
0xfffffff00915df64: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915df68: 085d3591  add	x8, x8, #0xd57
0xfffffff00915df6c: e80300f9  str	x8, [sp]
0xfffffff00915df70: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915df74: 00703491  add	x0, x0, #0xd1c
0xfffffff00915df78: 7645cc97  bl	#0xfffffff00846f550
0xfffffff00915df7c: 68024039  ldrb	w8, [x19]
0xfffffff00915df80: 28030836  tbz	w8, #1, #0xfffffff00915dfe4
0xfffffff00915df84: c6bfb597  bl	#0xfffffff007ecde9c
0xfffffff00915df88: 00030034  cbz	w0, #0xfffffff00915dfe8
0xfffffff00915df8c: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915df90: 085d3591  add	x8, x8, #0xd57
0xfffffff00915df94: e80300f9  str	x8, [sp]
0xfffffff00915df98: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915df9c: 00703491  add	x0, x0, #0xd1c
0xfffffff00915dfa0: 10000014  b	#0xfffffff00915dfe0
0xfffffff00915dfa4: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915dfa8: 085d3591  add	x8, x8, #0xd57
0xfffffff00915dfac: e80300f9  str	x8, [sp]
0xfffffff00915dfb0: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915dfb4: 00503791  add	x0, x0, #0xdd4
0xfffffff00915dfb8: 6645cc97  bl	#0xfffffff00846f550
0xfffffff00915dfbc: 28034039  ldrb	w8, [x25]
0xfffffff00915dfc0: 28010836  tbz	w8, #1, #0xfffffff00915dfe4
0xfffffff00915dfc4: b6bfb597  bl	#0xfffffff007ecde9c
0xfffffff00915dfc8: 00010034  cbz	w0, #0xfffffff00915dfe8
0xfffffff00915dfcc: 6819ffb0  adrp	x8, #0xfffffff00748a000
0xfffffff00915dfd0: 085d3591  add	x8, x8, #0xd57
0xfffffff00915dfd4: e80300f9  str	x8, [sp]
0xfffffff00915dfd8: 6019ffb0  adrp	x0, #0xfffffff00748a000
0xfffffff00915dfdc: 00503791  add	x0, x0, #0xdd4
0xfffffff00915dfe0: 10e4c797  bl	#0xfffffff008357020
0xfffffff00915dfe4: 00008052  mov	w0, #0
0xfffffff00915dfe8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00915dfec: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00915dff0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00915dff4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00915dff8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00915dffc: ff830191  add	sp, sp, #0x60
0xfffffff00915e000: ff0f5fd6  retab	
0xfffffff00915e004: 7f2303d5  pacibsp	
0xfffffff00915e008: ffc300d1  sub	sp, sp, #0x30
0xfffffff00915e00c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00915e010: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00915e014: fd830091  add	x29, sp, #0x20
