; Candidate 16469
; ADRP+ADD at VM 0xfffffff009eba684 (fileoff 0x2eb6684): page=0x1fd986000 add_imm=0xcf6

0xfffffff009eba604: 080133f8  ldadd	x19, x8, [x8]
0xfffffff009eba608: 78031a8b  add	x24, x27, x26
0xfffffff009eba60c: 5f1300f1  cmp	x26, #4
0xfffffff009eba610: a8060054  b.hi	#0xfffffff009eba6e4
0xfffffff009eba614: 7f0318eb  cmp	x27, x24
0xfffffff009eba618: 62060054  b.hs	#0xfffffff009eba6e4
0xfffffff009eba61c: 130080d2  mov	x19, #0
0xfffffff009eba620: 7703138b  add	x23, x27, x19
0xfffffff009eba624: 806640f9  ldr	x0, [x20, #0xc8]
0xfffffff009eba628: 086842f9  ldr	x8, [x0, #0x4d0]
0xfffffff009eba62c: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff009eba630: e10317aa  mov	x1, x23
0xfffffff009eba634: 22008052  mov	w2, #1
0xfffffff009eba638: e3031caa  mov	x3, x28
0xfffffff009eba63c: 040080d2  mov	x4, #0
0xfffffff009eba640: 25008052  mov	w5, #1
0xfffffff009eba644: 51699fd2  mov	x17, #0xfb4a
0xfffffff009eba648: 11093fd7  blraa	x8, x17
0xfffffff009eba64c: 20020034  cbz	w0, #0xfffffff009eba690
0xfffffff009eba650: 88ccfe90  adrp	x8, #0xfffffff00784a000
0xfffffff009eba654: 089d0691  add	x8, x8, #0x1a7
0xfffffff009eba658: 1fa80171  cmp	w0, #0x6a
0xfffffff009eba65c: 88000054  b.hi	#0xfffffff009eba66c
0xfffffff009eba660: c8f3fed0  adrp	x8, #0xfffffff007d34000
0xfffffff009eba664: 08011191  add	x8, x8, #0x440
0xfffffff009eba668: 085960f8  ldr	x8, [x8, w0, uxtw #3]
0xfffffff009eba66c: 896640f9  ldr	x9, [x20, #0xc8]
0xfffffff009eba670: 298942f9  ldr	x9, [x9, #0x510]
0xfffffff009eba674: e02302a9  stp	x0, x8, [sp, #0x20]
0xfffffff009eba678: e96f01a9  stp	x9, x27, [sp, #0x10]
0xfffffff009eba67c: 488b8152  mov	w8, #0xc5a
0xfffffff009eba680: f52300a9  stp	x21, x8, [sp]
0xfffffff009eba684: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba688: 00d83391  add	x0, x0, #0xcf6
0xfffffff009eba68c: 12000014  b	#0xfffffff009eba6d4
0xfffffff009eba690: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009eba694: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009eba698: 892b4329  ldp	w9, w10, [x28, #0x18]
0xfffffff009eba69c: 3f491872  tst	w9, #0x7ffff00
0xfffffff009eba6a0: e0000054  b.eq	#0xfffffff009eba6bc
0xfffffff009eba6a4: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009eba6a8: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009eba6ac: f56700a9  stp	x21, x25, [sp]
0xfffffff009eba6b0: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba6b4: 00843491  add	x0, x0, #0xd21
0xfffffff009eba6b8: 07000014  b	#0xfffffff009eba6d4
0xfffffff009eba6bc: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009eba6c0: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009eba6c4: 488c8152  mov	w8, #0xc62
0xfffffff009eba6c8: f52300a9  stp	x21, x8, [sp]
0xfffffff009eba6cc: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba6d0: 00f43591  add	x0, x0, #0xd7d
0xfffffff009eba6d4: 7c14ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba6d8: 73060091  add	x19, x19, #1
0xfffffff009eba6dc: 5f0313eb  cmp	x26, x19
0xfffffff009eba6e0: 01faff54  b.ne	#0xfffffff009eba620
0xfffffff009eba6e4: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009eba6e8: 081e00b4  cbz	x8, #0xfffffff009ebaaa8
0xfffffff009eba6ec: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009eba6f0: 098942f9  ldr	x9, [x8, #0x510]
0xfffffff009eba6f4: fbeb01a9  stp	x27, x26, [sp, #0x18]
0xfffffff009eba6f8: 888d8152  mov	w8, #0xc6c
0xfffffff009eba6fc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009eba700: 28ccfed0  adrp	x8, #0xfffffff007840000
