; Candidate 6920
; ADRP+ADD at VM 0xfffffff00884a310 (fileoff 0x1846310): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884a290: ebb707a9  stp	x11, x13, [sp, #0x78]
0xfffffff00884a294: eca306a9  stp	x12, x8, [sp, #0x68]
0xfffffff00884a298: e9e305a9  stp	x9, x24, [sp, #0x58]
0xfffffff00884a29c: f9ab04a9  stp	x25, x10, [sp, #0x48]
0xfffffff00884a2a0: f1d303a9  stp	x17, x20, [sp, #0x38]
0xfffffff00884a2a4: f3c302a9  stp	x19, x16, [sp, #0x28]
0xfffffff00884a2a8: a8288052  mov	w8, #0x145
0xfffffff00884a2ac: e81300f9  str	x8, [sp, #0x20]
0xfffffff00884a2b0: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a2b4: 08c91c91  add	x8, x8, #0x732
0xfffffff00884a2b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884a2bc: 28098052  mov	w8, #0x49
0xfffffff00884a2c0: c04efff0  adrp	x0, #0xfffffff007225000
0xfffffff00884a2c4: 00081d91  add	x0, x0, #0x742
0xfffffff00884a2c8: f52300a9  stp	x21, x8, [sp]
0xfffffff00884a2cc: 65b4d597  bl	#0xfffffff007db7460
0xfffffff00884a2d0: 00008052  mov	w0, #0
0xfffffff00884a2d4: 30000014  b	#0xfffffff00884a394
0xfffffff00884a2d8: b5a70194  bl	#0xfffffff0088b41ac
0xfffffff00884a2dc: f30300aa  mov	x19, x0
0xfffffff00884a2e0: 80008052  mov	w0, #4
0xfffffff00884a2e4: 5bc50094  bl	#0xfffffff00887b850
0xfffffff00884a2e8: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a2ec: 08f11791  add	x8, x8, #0x5fc
0xfffffff00884a2f0: 89248052  mov	w9, #0x124
0xfffffff00884a2f4: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00884a2f8: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a2fc: 08c91c91  add	x8, x8, #0x732
0xfffffff00884a300: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a304: 28098052  mov	w8, #0x49
0xfffffff00884a308: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a30c: f30300f9  str	x19, [sp]
0xfffffff00884a310: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a314: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a318: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a31c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a320: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a324: 63781791  add	x3, x3, #0x5de
0xfffffff00884a328: 02008052  mov	w2, #0
0xfffffff00884a32c: 81a3eb97  bl	#0xfffffff008333130
0xfffffff00884a330: 007d8012  mov	w0, #-0x3e9
0xfffffff00884a334: 18000014  b	#0xfffffff00884a394
0xfffffff00884a338: 9da70194  bl	#0xfffffff0088b41ac
0xfffffff00884a33c: f40300aa  mov	x20, x0
0xfffffff00884a340: 80008052  mov	w0, #4
0xfffffff00884a344: 43c50094  bl	#0xfffffff00887b850
0xfffffff00884a348: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a34c: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884a350: e9248052  mov	w9, #0x127
0xfffffff00884a354: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00884a358: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a35c: 08c91c91  add	x8, x8, #0x732
0xfffffff00884a360: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a364: 28098052  mov	w8, #0x49
0xfffffff00884a368: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a36c: f40300f9  str	x20, [sp]
0xfffffff00884a370: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a374: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a378: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a37c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a380: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a384: 63341891  add	x3, x3, #0x60d
0xfffffff00884a388: 02008052  mov	w2, #0
0xfffffff00884a38c: 69a3eb97  bl	#0xfffffff008333130
