; Candidate 2866
; ADRP+ADD at VM 0xfffffff0086f2098 (fileoff 0x16ee098): page=0x1fea3f000 add_imm=0xd90

0xfffffff0086f2018: 164bfe97  bl	#0xfffffff008684c70
0xfffffff0086f201c: c0821ff8  stur	x0, [x22, #-8]
0xfffffff0086f2020: 600300b4  cbz	x0, #0xfffffff0086f208c
0xfffffff0086f2024: a853ffb0  adrp	x8, #0xfffffff007167000
0xfffffff0086f2028: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff0086f202c: e20314aa  mov	x2, x20
0xfffffff0086f2030: 400c03fc  str	d0, [x2, #0x30]!
0xfffffff0086f2034: 550400f9  str	x21, [x2, #8]
0xfffffff0086f2038: 100040f9  ldr	x16, [x0]
0xfffffff0086f203c: f10300aa  mov	x17, x0
0xfffffff0086f2040: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086f2044: 301ac1da  autda	x16, x17
0xfffffff0086f2048: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0086f204c: e90310aa  mov	x9, x16
0xfffffff0086f2050: 21008052  mov	w1, #1
0xfffffff0086f2054: e30316aa  mov	x3, x22
0xfffffff0086f2058: f10309aa  mov	x17, x9
0xfffffff0086f205c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff0086f2060: 11093fd7  blraa	x8, x17
0xfffffff0086f2064: a0020034  cbz	w0, #0xfffffff0086f20b8
0xfffffff0086f2068: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f206c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f2070: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f2074: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f2078: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f207c: 63841691  add	x3, x3, #0x5a1
0xfffffff0086f2080: 02008052  mov	w2, #0
0xfffffff0086f2084: 2b04f197  bl	#0xfffffff008333130
0xfffffff0086f2088: 0c000014  b	#0xfffffff0086f20b8
0xfffffff0086f208c: e852ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086f2090: 08813891  add	x8, x8, #0xe20
0xfffffff0086f2094: e80300f9  str	x8, [sp]
0xfffffff0086f2098: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f209c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f20a0: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f20a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f20a8: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f20ac: 639c1591  add	x3, x3, #0x567
0xfffffff0086f20b0: 02008052  mov	w2, #0
0xfffffff0086f20b4: 1f04f197  bl	#0xfffffff008333130
0xfffffff0086f20b8: 932e00f9  str	x19, [x20, #0x58]
0xfffffff0086f20bc: e00314aa  mov	x0, x20
0xfffffff0086f20c0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0086f20c4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0086f20c8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0086f20cc: ff030191  add	sp, sp, #0x40
0xfffffff0086f20d0: ff0f5fd6  retab	
0xfffffff0086f20d4: 5f2403d5  bti	c
0xfffffff0086f20d8: 9effff17  b	#0xfffffff0086f1f50
0xfffffff0086f20dc: 7f2303d5  pacibsp	
0xfffffff0086f20e0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086f20e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086f20e8: fd430091  add	x29, sp, #0x10
0xfffffff0086f20ec: f30300aa  mov	x19, x0
0xfffffff0086f20f0: 5098fff0  adrp	x16, #0xfffffff0079fd000
0xfffffff0086f20f4: 10c22e91  add	x16, x16, #0xbb0
0xfffffff0086f20f8: 10420091  add	x16, x16, #0x10
0xfffffff0086f20fc: f10300aa  mov	x17, x0
0xfffffff0086f2100: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0086f2104: 300ac1da  pacda	x16, x17
0xfffffff0086f2108: 100000f9  str	x16, [x0]
0xfffffff0086f210c: 002840f9  ldr	x0, [x0, #0x50]
0xfffffff0086f2110: 600100b4  cbz	x0, #0xfffffff0086f213c
0xfffffff0086f2114: 100040f9  ldr	x16, [x0]
