; Candidate 3735
; ADRP+ADD at VM 0xfffffff0087563dc (fileoff 0x17523dc): page=0x1fe9db000 add_imm=0xd90

0xfffffff00875635c: ca020034  cbz	w10, #0xfffffff0087563b4
0xfffffff008756360: 1f01096b  cmp	w8, w9
0xfffffff008756364: 0831891a  csel	w8, w8, w9, lo
0xfffffff008756368: df020071  cmp	w22, #0
0xfffffff00875636c: 0019407a  ccmp	w8, #0, #0, ne
0xfffffff008756370: 08159f1a  csinc	w8, w8, wzr, ne
0xfffffff008756374: 89021012  and	w9, w20, #0x10000
0xfffffff008756378: 0801092a  orr	w8, w8, w9
0xfffffff00875637c: 2b000014  b	#0xfffffff008756428
0xfffffff008756380: 00008052  mov	w0, #0
0xfffffff008756384: e0ffff17  b	#0xfffffff008756304
0xfffffff008756388: 0cec6eb9  ldr	w12, [x0, #0x2eec]
0xfffffff00875638c: 4c050034  cbz	w12, #0xfffffff008756434
0xfffffff008756390: 2a1540f9  ldr	x10, [x9, #0x28]
0xfffffff008756394: 0b9457f9  ldr	x11, [x0, #0x2f28]
0xfffffff008756398: 5f010beb  cmp	x10, x11
0xfffffff00875639c: 40c8ff54  b.eq	#0xfffffff008755ca4
0xfffffff0087563a0: 0a9417f9  str	x10, [x0, #0x2f28]
0xfffffff0087563a4: 292140b9  ldr	w9, [x9, #0x20]
0xfffffff0087563a8: 09202fb9  str	w9, [x0, #0x2f20]
0xfffffff0087563ac: 8900a052  mov	w9, #0x40000
0xfffffff0087563b0: 3afeff17  b	#0xfffffff008755c98
0xfffffff0087563b4: 0a008052  mov	w10, #0
0xfffffff0087563b8: 9400a837  tbnz	w20, #0x15, #0xfffffff0087563c8
0xfffffff0087563bc: df020071  cmp	w22, #0
0xfffffff0087563c0: 2905891a  cinc	w9, w9, ne
0xfffffff0087563c4: 12000014  b	#0xfffffff00875640c
0xfffffff0087563c8: 36020034  cbz	w22, #0xfffffff00875640c
0xfffffff0087563cc: 09020035  cbnz	w9, #0xfffffff00875640c
0xfffffff0087563d0: 0850fff0  adrp	x8, #0xfffffff007159000
0xfffffff0087563d4: 08150a91  add	x8, x8, #0x285
0xfffffff0087563d8: e80300f9  str	x8, [sp]
0xfffffff0087563dc: c04efff0  adrp	x0, #0xfffffff007131000
0xfffffff0087563e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087563e4: 2195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087563e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087563ec: 434ffff0  adrp	x3, #0xfffffff007141000
0xfffffff0087563f0: 63b81091  add	x3, x3, #0x42e
0xfffffff0087563f4: 02008052  mov	w2, #0
0xfffffff0087563f8: 4e73ef97  bl	#0xfffffff008333130
0xfffffff0087563fc: 68aa43b9  ldr	w8, [x19, #0x3a8]
0xfffffff008756400: 69b243b9  ldr	w9, [x19, #0x3b0]
0xfffffff008756404: 2a111012  and	w10, w9, #0x1f0000
0xfffffff008756408: 29008052  mov	w9, #1
0xfffffff00875640c: 3f01086b  cmp	w9, w8
0xfffffff008756410: 2831881a  csel	w8, w9, w8, lo
0xfffffff008756414: 0a250a33  bfi	w10, w8, #0x16, #0xa
0xfffffff008756418: 897e1453  lsr	w9, w20, #0x14
0xfffffff00875641c: 883e0012  and	w8, w20, #0xffff
0xfffffff008756420: 4801082a  orr	w8, w10, w8
0xfffffff008756424: 28010b33  bfi	w8, w9, #0x15, #1
0xfffffff008756428: 00008052  mov	w0, #0
0xfffffff00875642c: 68b203b9  str	w8, [x19, #0x3b0]
0xfffffff008756430: b5ffff17  b	#0xfffffff008756304
0xfffffff008756434: 4ae11791  add	x10, x10, #0x5f8
0xfffffff008756438: 291540f9  ldr	x9, [x9, #0x28]
0xfffffff00875643c: 099417f9  str	x9, [x0, #0x2f28]
0xfffffff008756440: 0b202fb9  str	w11, [x0, #0x2f20]
0xfffffff008756444: 29008052  mov	w9, #1
0xfffffff008756448: 09ec2eb9  str	w9, [x0, #0x2eec]
0xfffffff00875644c: 690640b9  ldr	w9, [x19, #4]
0xfffffff008756450: 29010e32  orr	w9, w9, #0x40000
0xfffffff008756454: 690600b9  str	w9, [x19, #4]
0xfffffff008756458: 490140f9  ldr	x9, [x10]
