; Candidate 732
; ADRP+ADD at VM 0xfffffff00806171c (fileoff 0x105d71c): page=0x1ff00d000 add_imm=0xe87

0xfffffff00806169c: 6b822191  add	x11, x19, #0x860
0xfffffff0080616a0: 0f000014  b	#0xfffffff0080616dc
0xfffffff0080616a4: 80a109b9  str	w0, [x12, #0x9a0]
0xfffffff0080616a8: 808906b9  str	w0, [x12, #0x688]
0xfffffff0080616ac: 808105b9  str	w0, [x12, #0x580]
0xfffffff0080616b0: 897904b9  str	w9, [x12, #0x478]
0xfffffff0080616b4: 897103b9  str	w9, [x12, #0x370]
0xfffffff0080616b8: 8d610191  add	x13, x12, #0x58
0xfffffff0080616bc: 8a6101b9  str	w10, [x12, #0x160]
0xfffffff0080616c0: 809908b9  str	w0, [x12, #0x898]
0xfffffff0080616c4: 809107b9  str	w0, [x12, #0x790]
0xfffffff0080616c8: 896902b9  str	w9, [x12, #0x268]
0xfffffff0080616cc: aa0100b9  str	w10, [x13]
0xfffffff0080616d0: 08210091  add	x8, x8, #8
0xfffffff0080616d4: 1f0102f1  cmp	x8, #0x80
0xfffffff0080616d8: 20010054  b.eq	#0xfffffff0080616fc
0xfffffff0080616dc: 6c6968f8  ldr	x12, [x11, x8]
0xfffffff0080616e0: 8cffffb4  cbz	x12, #0xfffffff0080616d0
0xfffffff0080616e4: 6d366039  ldrb	w13, [x19, #0x80d]
0xfffffff0080616e8: edfd0736  tbz	w13, #0, #0xfffffff0080616a4
0xfffffff0080616ec: 8d810591  add	x13, x12, #0x160
0xfffffff0080616f0: f4ffff17  b	#0xfffffff0080616c0
0xfffffff0080616f4: 68326039  ldrb	w8, [x19, #0x80c]
0xfffffff0080616f8: 880600b9  str	w8, [x20, #4]
0xfffffff0080616fc: 00008052  mov	w0, #0
0xfffffff008061700: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008061704: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008061708: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00806170c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008061710: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008061714: ffc30191  add	sp, sp, #0x70
0xfffffff008061718: ff0f5fd6  retab	
0xfffffff00806171c: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff008061720: 001c3a91  add	x0, x0, #0xe87
0xfffffff008061724: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061728: 21142a91  add	x1, x1, #0xa85
0xfffffff00806172c: 62ae8052  mov	w2, #0x573
0xfffffff008061730: 39f81094  bl	#0xfffffff00849f814
0xfffffff008061734: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff008061738: 00e03991  add	x0, x0, #0xe78
0xfffffff00806173c: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061740: 21142a91  add	x1, x1, #0xa85
0xfffffff008061744: c29d8052  mov	w2, #0x4ee
0xfffffff008061748: 33f81094  bl	#0xfffffff00849f814
0xfffffff00806174c: b8000000  udf	#0xb8
0xfffffff008061750: 0c000000  udf	#0xc
0xfffffff008061754: a8000000  udf	#0xa8
0xfffffff008061758: c8000000  udf	#0xc8
0xfffffff00806175c: 78010000  udf	#0x178
0xfffffff008061760: 7f2303d5  pacibsp	
0xfffffff008061764: ffc300d1  sub	sp, sp, #0x30
0xfffffff008061768: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00806176c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008061770: fd830091  add	x29, sp, #0x20
0xfffffff008061774: f30300aa  mov	x19, x0
0xfffffff008061778: 000040f9  ldr	x0, [x0]
0xfffffff00806177c: 862cf597  bl	#0xfffffff007dac994
0xfffffff008061780: 613244f9  ldr	x1, [x19, #0x860]
0xfffffff008061784: 610000b4  cbz	x1, #0xfffffff008061790
0xfffffff008061788: e00313aa  mov	x0, x19
0xfffffff00806178c: 84020094  bl	#0xfffffff00806219c
0xfffffff008061790: 613644f9  ldr	x1, [x19, #0x868]
0xfffffff008061794: 610000b4  cbz	x1, #0xfffffff0080617a0
0xfffffff008061798: e00313aa  mov	x0, x19
