; Candidate 12565
; ADRP+ADD at VM 0xfffffff0090bc3ac (fileoff 0x20b83ac): page=0x1fe39d000 add_imm=0xe24

0xfffffff0090bc32c: ff1600b1  cmn	x23, #5
0xfffffff0090bc330: e383979a  csel	x3, xzr, x23, hi
0xfffffff0090bc334: e10318aa  mov	x1, x24
0xfffffff0090bc338: e20317aa  mov	x2, x23
0xfffffff0090bc33c: 458eb797  bl	#0xfffffff007e9fc50
0xfffffff0090bc340: e00316aa  mov	x0, x22
0xfffffff0090bc344: 41038052  mov	w1, #0x1a
0xfffffff0090bc348: 02008052  mov	w2, #0
0xfffffff0090bc34c: e3031baa  mov	x3, x27
0xfffffff0090bc350: e4031aaa  mov	x4, x26
0xfffffff0090bc354: e50314aa  mov	x5, x20
0xfffffff0090bc358: e60313aa  mov	x6, x19
0xfffffff0090bc35c: 519081d2  mov	x17, #0xc82
0xfffffff0090bc360: b10a3fd7  blraa	x21, x17
0xfffffff0090bc364: f30300aa  mov	x19, x0
0xfffffff0090bc368: 9f030091  mov	sp, x28
0xfffffff0090bc36c: 1f000071  cmp	w0, #0
0xfffffff0090bc370: c8088052  mov	w8, #0x46
0xfffffff0090bc374: 49018052  mov	w9, #0xa
0xfffffff0090bc378: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090bc37c: 7a1dff90  adrp	x26, #0xfffffff007468000
0xfffffff0090bc380: 5ae31291  add	x26, x26, #0x4b8
0xfffffff0090bc384: 1b1dffb0  adrp	x27, #0xfffffff00745d000
0xfffffff0090bc388: 7b433c91  add	x27, x27, #0xf10
0xfffffff0090bc38c: 9c9200f0  adrp	x28, #0xfffffff00a30f000
0xfffffff0090bc390: 9c430c91  add	x28, x28, #0x310
0xfffffff0090bc394: 89034039  ldrb	w9, [x28]
0xfffffff0090bc398: 1f01096b  cmp	w8, w9
0xfffffff0090bc39c: 03010054  b.lo	#0xfffffff0090bc3bc
0xfffffff0090bc3a0: 687e4093  sxtw	x8, w19
0xfffffff0090bc3a4: fb6bbea9  stp	x27, x26, [sp, #-0x20]!
0xfffffff0090bc3a8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bc3ac: e01cffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090bc3b0: 00903891  add	x0, x0, #0xe24
0xfffffff0090bc3b4: 1b6bca97  bl	#0xfffffff008357020
0xfffffff0090bc3b8: ff830091  add	sp, sp, #0x20
0xfffffff0090bc3bc: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0090bc3c0: 6954ffb0  adrp	x9, #0xfffffff007b49000
0xfffffff0090bc3c4: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090bc3c8: 290140f9  ldr	x9, [x9]
0xfffffff0090bc3cc: 3f0108eb  cmp	x9, x8
0xfffffff0090bc3d0: c1040054  b.ne	#0xfffffff0090bc468
0xfffffff0090bc3d4: e00313aa  mov	x0, x19
0xfffffff0090bc3d8: bf4301d1  sub	sp, x29, #0x50
0xfffffff0090bc3dc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090bc3e0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090bc3e4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090bc3e8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0090bc3ec: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0090bc3f0: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0090bc3f4: ff0f5fd6  retab	
0xfffffff0090bc3f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090bc3fc: 282c8052  mov	w8, #0x161
0xfffffff0090bc400: 491dfff0  adrp	x9, #0xfffffff007467000
0xfffffff0090bc404: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bc408: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bc40c: e81cffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090bc410: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bc414: 6a1dff90  adrp	x10, #0xfffffff007468000
0xfffffff0090bc418: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090bc41c: 0a000014  b	#0xfffffff0090bc444
0xfffffff0090bc420: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090bc424: 482c8052  mov	w8, #0x162
0xfffffff0090bc428: 491dfff0  adrp	x9, #0xfffffff007467000
