; Candidate 10960
; ADRP+ADD at VM 0xfffffff008deedcc (fileoff 0x1deadcc): page=0x1fe5d6000 add_imm=0xe15

0xfffffff008deed4c: f50300aa  mov	x21, x0
0xfffffff008deed50: a02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deed54: 00d81091  add	x0, x0, #0x436
0xfffffff008deed58: a32effb0  adrp	x3, #0xfffffff0073c3000
0xfffffff008deed5c: 63e43591  add	x3, x3, #0xd79
0xfffffff008deed60: a52effd0  adrp	x5, #0xfffffff0073c4000
0xfffffff008deed64: a5c01291  add	x5, x5, #0x4b0
0xfffffff008deed68: e10315aa  mov	x1, x21
0xfffffff008deed6c: 82148052  mov	w2, #0xa4
0xfffffff008deed70: 64218052  mov	w4, #0x10b
0xfffffff008deed74: acdfff97  bl	#0xfffffff008de6c24
0xfffffff008deed78: 88108052  mov	w8, #0x84
0xfffffff008deed7c: 0effff17  b	#0xfffffff008dee9b4
0xfffffff008deed80: e8198052  mov	w8, #0xcf
0xfffffff008deed84: a92effb0  adrp	x9, #0xfffffff0073c3000
0xfffffff008deed88: 29e53591  add	x9, x9, #0xd79
0xfffffff008deed8c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deed90: a82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deed94: 08493991  add	x8, x8, #0xe52
0xfffffff008deed98: aa2effd0  adrp	x10, #0xfffffff0073c4000
0xfffffff008deed9c: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008deeda0: 99ffff17  b	#0xfffffff008deec04
0xfffffff008deeda4: 08248052  mov	w8, #0x120
0xfffffff008deeda8: a92effb0  adrp	x9, #0xfffffff0073c3000
0xfffffff008deedac: 29e53591  add	x9, x9, #0xd79
0xfffffff008deedb0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008deedb4: a82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deedb8: 08493991  add	x8, x8, #0xe52
0xfffffff008deedbc: aa2effb0  adrp	x10, #0xfffffff0073c3000
0xfffffff008deedc0: 4a2d0f91  add	x10, x10, #0x3cb
0xfffffff008deedc4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008deedc8: ea0300f9  str	x10, [sp]
0xfffffff008deedcc: a02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deedd0: 00543891  add	x0, x0, #0xe15
0xfffffff008deedd4: 93a0d597  bl	#0xfffffff008357020
0xfffffff008deedd8: 60008012  mov	w0, #-4
0xfffffff008deeddc: fefeff17  b	#0xfffffff008dee9d4
0xfffffff008deede0: c8000000  udf	#0xc8
0xfffffff008deede4: 10010000  udf	#0x110
0xfffffff008deede8: 58010000  udf	#0x158
0xfffffff008deedec: 0c000000  udf	#0xc
0xfffffff008deedf0: 0c000000  udf	#0xc
0xfffffff008deedf4: 0c000000  udf	#0xc
0xfffffff008deedf8: a0010000  udf	#0x1a0
0xfffffff008deedfc: 0c000000  udf	#0xc
0xfffffff008deee00: e8010000  udf	#0x1e8
0xfffffff008deee04: 30020000  udf	#0x230
0xfffffff008deee08: 78020000  udf	#0x278
0xfffffff008deee0c: 80000000  udf	#0x80
0xfffffff008deee10: b8020000  udf	#0x2b8
0xfffffff008deee14: 0c000000  udf	#0xc
0xfffffff008deee18: 80000000  udf	#0x80
0xfffffff008deee1c: 0c000000  udf	#0xc
0xfffffff008deee20: f8020000  udf	#0x2f8
0xfffffff008deee24: 40030000  udf	#0x340
0xfffffff008deee28: 0c000000  udf	#0xc
0xfffffff008deee2c: 88030000  udf	#0x388
0xfffffff008deee30: d0030000  udf	#0x3d0
0xfffffff008deee34: 0c000000  udf	#0xc
0xfffffff008deee38: 0c000000  udf	#0xc
0xfffffff008deee3c: 7f2303d5  pacibsp	
0xfffffff008deee40: ffc301d1  sub	sp, sp, #0x70
0xfffffff008deee44: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008deee48: f65704a9  stp	x22, x21, [sp, #0x40]
