; Candidate 10602
; ADRP+ADD at VM 0xfffffff008ddf438 (fileoff 0x1ddb438): page=0x1fe5e5000 add_imm=0xe15

0xfffffff008ddf3b8: 00002d91  add	x0, x0, #0xb40
0xfffffff008ddf3bc: e10313aa  mov	x1, x19
0xfffffff008ddf3c0: d3dcd597  bl	#0xfffffff00835670c
0xfffffff008ddf3c4: 13008052  mov	w19, #0
0xfffffff008ddf3c8: 48018052  mov	w8, #0xa
0xfffffff008ddf3cc: 29034039  ldrb	w9, [x25]
0xfffffff008ddf3d0: 1f01096b  cmp	w8, w9
0xfffffff008ddf3d4: e3000054  b.lo	#0xfffffff008ddf3f0
0xfffffff008ddf3d8: 687e4093  sxtw	x8, w19
0xfffffff008ddf3dc: f85f00a9  stp	x24, x23, [sp]
0xfffffff008ddf3e0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008ddf3e4: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf3e8: 00503591  add	x0, x0, #0xd54
0xfffffff008ddf3ec: 0ddfd597  bl	#0xfffffff008357020
0xfffffff008ddf3f0: e00313aa  mov	x0, x19
0xfffffff008ddf3f4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008ddf3f8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008ddf3fc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008ddf400: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008ddf404: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008ddf408: ff030291  add	sp, sp, #0x80
0xfffffff008ddf40c: ff0f5fd6  retab	
0xfffffff008ddf410: c8138052  mov	w8, #0x9e
0xfffffff008ddf414: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf418: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf41c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddf420: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf424: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf428: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf42c: 4ab51491  add	x10, x10, #0x52d
0xfffffff008ddf430: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf434: ea0300f9  str	x10, [sp]
0xfffffff008ddf438: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf43c: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf440: f8ded597  bl	#0xfffffff008357020
0xfffffff008ddf444: 53faffb5  cbnz	x19, #0xfffffff008ddf38c
0xfffffff008ddf448: 0e000014  b	#0xfffffff008ddf480
0xfffffff008ddf44c: e8138052  mov	w8, #0x9f
0xfffffff008ddf450: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf454: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf458: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddf45c: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf460: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf464: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf468: 4add1491  add	x10, x10, #0x537
0xfffffff008ddf46c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf470: ea0300f9  str	x10, [sp]
0xfffffff008ddf474: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf478: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf47c: e9ded597  bl	#0xfffffff008357020
0xfffffff008ddf480: c8088052  mov	w8, #0x46
0xfffffff008ddf484: 53008012  mov	w19, #-3
0xfffffff008ddf488: d1ffff17  b	#0xfffffff008ddf3cc
0xfffffff008ddf48c: 087c4093  sxtw	x8, w0
0xfffffff008ddf490: 69148052  mov	w9, #0xa3
0xfffffff008ddf494: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf498: 4a490d91  add	x10, x10, #0x352
0xfffffff008ddf49c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ddf4a0: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddf4a4: 29493991  add	x9, x9, #0xe52
0xfffffff008ddf4a8: 2b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ddf4ac: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ddf4b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddf4b4: eb0300f9  str	x11, [sp]
