; Candidate 12589
; ADRP+ADD at VM 0xfffffff0090c20e8 (fileoff 0x20be0e8): page=0x1fe397000 add_imm=0xe24

0xfffffff0090c2068: e12340f9  ldr	x1, [sp, #0x40]
0xfffffff0090c206c: e0430191  add	x0, sp, #0x50
0xfffffff0090c2070: e2e30091  add	x2, sp, #0x38
0xfffffff0090c2074: e3c30091  add	x3, sp, #0x30
0xfffffff0090c2078: e4bf0091  add	x4, sp, #0x2f
0xfffffff0090c207c: 8a4eff97  bl	#0xfffffff009095aa4
0xfffffff0090c2080: e00b0035  cbnz	w0, #0xfffffff0090c21fc
0xfffffff0090c2084: 880240f9  ldr	x8, [x20]
0xfffffff0090c2088: e21b40f9  ldr	x2, [sp, #0x30]
0xfffffff0090c208c: 1f0102eb  cmp	x8, x2
0xfffffff0090c2090: 630d0054  b.lo	#0xfffffff0090c223c
0xfffffff0090c2094: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff0090c2098: 010f00b4  cbz	x1, #0xfffffff0090c2278
0xfffffff0090c209c: e00315aa  mov	x0, x21
0xfffffff0090c20a0: 3c2ab297  bl	#0xfffffff007d4c990
0xfffffff0090c20a4: 16008052  mov	w22, #0
0xfffffff0090c20a8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0090c20ac: 880200f9  str	x8, [x20]
0xfffffff0090c20b0: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff0090c20b4: 68020039  strb	w8, [x19]
0xfffffff0090c20b8: 48018052  mov	w8, #0xa
0xfffffff0090c20bc: 69034039  ldrb	w9, [x27]
0xfffffff0090c20c0: 1f01096b  cmp	w8, w9
0xfffffff0090c20c4: 83010054  b.lo	#0xfffffff0090c20f4
0xfffffff0090c20c8: e80316aa  mov	x8, x22
0xfffffff0090c20cc: 087d4093  sxtw	x8, w8
0xfffffff0090c20d0: 291dfff0  adrp	x9, #0xfffffff007469000
0xfffffff0090c20d4: 2a350b91  add	x10, x9, #0x2cd
0xfffffff0090c20d8: c91cfff0  adrp	x9, #0xfffffff00745d000
0xfffffff0090c20dc: 29413c91  add	x9, x9, #0xf10
0xfffffff0090c20e0: e92b00a9  stp	x9, x10, [sp]
0xfffffff0090c20e4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c20e8: a01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090c20ec: 00903891  add	x0, x0, #0xe24
0xfffffff0090c20f0: cc53ca97  bl	#0xfffffff008357020
0xfffffff0090c20f4: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0090c20f8: 2954fff0  adrp	x9, #0xfffffff007b49000
0xfffffff0090c20fc: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090c2100: 290140f9  ldr	x9, [x9]
0xfffffff0090c2104: 3f0108eb  cmp	x9, x8
0xfffffff0090c2108: 810f0054  b.ne	#0xfffffff0090c22f8
0xfffffff0090c210c: e00316aa  mov	x0, x22
0xfffffff0090c2110: fd7b59a9  ldp	x29, x30, [sp, #0x190]
0xfffffff0090c2114: f44f58a9  ldp	x20, x19, [sp, #0x180]
0xfffffff0090c2118: f65757a9  ldp	x22, x21, [sp, #0x170]
0xfffffff0090c211c: f85f56a9  ldp	x24, x23, [sp, #0x160]
0xfffffff0090c2120: fa6755a9  ldp	x26, x25, [sp, #0x150]
0xfffffff0090c2124: fc6f54a9  ldp	x28, x27, [sp, #0x140]
0xfffffff0090c2128: ff830691  add	sp, sp, #0x1a0
0xfffffff0090c212c: ff0f5fd6  retab	
0xfffffff0090c2130: 88058152  mov	w8, #0x82c
0xfffffff0090c2134: 291dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090c2138: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c213c: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c2140: a81cfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090c2144: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c2148: 0a1dff90  adrp	x10, #0xfffffff007462000
0xfffffff0090c214c: 4a6d2c91  add	x10, x10, #0xb1b
0xfffffff0090c2150: 62000014  b	#0xfffffff0090c22d8
0xfffffff0090c2154: a8058152  mov	w8, #0x82d
0xfffffff0090c2158: 291dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090c215c: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c2160: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c2164: a81cfff0  adrp	x8, #0xfffffff007459000
