; Candidate 6815
; ADRP+ADD at VM 0xfffffff008843e38 (fileoff 0x183fe38): page=0x1fe9a6000 add_imm=0xe80

0xfffffff008843db8: 19020034  cbz	w25, #0xfffffff008843df8
0xfffffff008843dbc: e8031aaa  mov	x8, x26
0xfffffff008843dc0: e86304a9  stp	x8, x24, [sp, #0x40]
0xfffffff008843dc4: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff008843dc8: 684effd0  adrp	x8, #0xfffffff007211000
0xfffffff008843dcc: 08252591  add	x8, x8, #0x949
0xfffffff008843dd0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008843dd4: 084fff90  adrp	x8, #0xfffffff007223000
0xfffffff008843dd8: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008843ddc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008843de0: 480a8052  mov	w8, #0x52
0xfffffff008843de4: 604effd0  adrp	x0, #0xfffffff007211000
0xfffffff008843de8: 00502591  add	x0, x0, #0x954
0xfffffff008843dec: f72300a9  stp	x23, x8, [sp]
0xfffffff008843df0: 9ccdd597  bl	#0xfffffff007db7460
0xfffffff008843df4: 19000014  b	#0xfffffff008843e58
0xfffffff008843df8: edc00194  bl	#0xfffffff0088b41ac
0xfffffff008843dfc: f70300aa  mov	x23, x0
0xfffffff008843e00: e0008052  mov	w0, #7
0xfffffff008843e04: 93de0094  bl	#0xfffffff00887b850
0xfffffff008843e08: e80318aa  mov	x8, x24
0xfffffff008843e0c: e9031aaa  mov	x9, x26
0xfffffff008843e10: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008843e14: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff008843e18: 684effd0  adrp	x8, #0xfffffff007211000
0xfffffff008843e1c: 08252591  add	x8, x8, #0x949
0xfffffff008843e20: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008843e24: 084fff90  adrp	x8, #0xfffffff007223000
0xfffffff008843e28: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008843e2c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008843e30: 480a8052  mov	w8, #0x52
0xfffffff008843e34: f72300a9  stp	x23, x8, [sp]
0xfffffff008843e38: 204dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008843e3c: 00003a91  add	x0, x0, #0xe80
0xfffffff008843e40: 218effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008843e44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008843e48: 6350ffb0  adrp	x3, #0xfffffff007250000
0xfffffff008843e4c: 63000891  add	x3, x3, #0x200
0xfffffff008843e50: 02008052  mov	w2, #0
0xfffffff008843e54: b7bceb97  bl	#0xfffffff008333130
0xfffffff008843e58: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008843e5c: 298effb0  adrp	x9, #0xfffffff007a08000
0xfffffff008843e60: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008843e64: 290140f9  ldr	x9, [x9]
0xfffffff008843e68: 3f0108eb  cmp	x9, x8
0xfffffff008843e6c: 61010054  b.ne	#0xfffffff008843e98
0xfffffff008843e70: e00318aa  mov	x0, x24
0xfffffff008843e74: fd7b57a9  ldp	x29, x30, [sp, #0x170]
0xfffffff008843e78: f44f56a9  ldp	x20, x19, [sp, #0x160]
0xfffffff008843e7c: f65755a9  ldp	x22, x21, [sp, #0x150]
0xfffffff008843e80: f85f54a9  ldp	x24, x23, [sp, #0x140]
0xfffffff008843e84: fa6753a9  ldp	x26, x25, [sp, #0x130]
0xfffffff008843e88: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff008843e8c: ff030691  add	sp, sp, #0x180
0xfffffff008843e90: ff0f5fd6  retab	
0xfffffff008843e94: 77080294  bl	#0xfffffff0088c6070
0xfffffff008843e98: ed67d497  bl	#0xfffffff007d5de4c
0xfffffff008843e9c: 7f2303d5  pacibsp	
0xfffffff008843ea0: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008843ea4: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff008843ea8: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008843eac: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008843eb0: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008843eb4: fd7b09a9  stp	x29, x30, [sp, #0x90]
