; Candidate 5093
; ADRP+ADD at VM 0xfffffff0087d8760 (fileoff 0x17d4760): page=0x1fea11000 add_imm=0xe80

0xfffffff0087d86e0: 98270034  cbz	w24, #0xfffffff0087d8bd0
0xfffffff0087d86e4: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087d86e8: c951ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d86ec: 29b92791  add	x9, x9, #0x9ee
0xfffffff0087d86f0: e85b04a9  stp	x8, x22, [sp, #0x40]
0xfffffff0087d86f4: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0087d86f8: a88c8052  mov	w8, #0x465
0xfffffff0087d86fc: c951ffd0  adrp	x9, #0xfffffff007212000
0xfffffff0087d8700: 29b52191  add	x9, x9, #0x86d
0xfffffff0087d8704: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d8708: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d870c: 081d0291  add	x8, x8, #0x87
0xfffffff0087d8710: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d8714: 280a8052  mov	w8, #0x51
0xfffffff0087d8718: c051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087d871c: 00b82491  add	x0, x0, #0x92e
0xfffffff0087d8720: 0a010014  b	#0xfffffff0087d8b48
0xfffffff0087d8724: a26e0394  bl	#0xfffffff0088b41ac
0xfffffff0087d8728: f60300aa  mov	x22, x0
0xfffffff0087d872c: c0008052  mov	w0, #6
0xfffffff0087d8730: 488c0294  bl	#0xfffffff00887b850
0xfffffff0087d8734: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087d8738: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087d873c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087d8740: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8744: 09b52191  add	x9, x8, #0x86d
0xfffffff0087d8748: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d874c: 081d0291  add	x8, x8, #0x87
0xfffffff0087d8750: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d8754: 280a8052  mov	w8, #0x51
0xfffffff0087d8758: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d875c: f60300f9  str	x22, [sp]
0xfffffff0087d8760: 8050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d8764: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d8768: 8191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d876c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d8770: 2353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087d8774: 63d81d91  add	x3, x3, #0x776
0xfffffff0087d8778: 02008052  mov	w2, #0
0xfffffff0087d877c: 6d6aed97  bl	#0xfffffff008333130
0xfffffff0087d8780: d4f4ffb5  cbnz	x20, #0xfffffff0087d8618
0xfffffff0087d8784: 200a8052  mov	w0, #0x51
0xfffffff0087d8788: 81008052  mov	w1, #4
0xfffffff0087d878c: 118c0294  bl	#0xfffffff00887b7d0
0xfffffff0087d8790: 20120034  cbz	w0, #0xfffffff0087d89d4
0xfffffff0087d8794: 200a8052  mov	w0, #0x51
0xfffffff0087d8798: 208c0294  bl	#0xfffffff00887b818
0xfffffff0087d879c: f70300aa  mov	x23, x0
0xfffffff0087d87a0: 836e0394  bl	#0xfffffff0088b41ac
0xfffffff0087d87a4: f60300aa  mov	x22, x0
0xfffffff0087d87a8: 80008052  mov	w0, #4
0xfffffff0087d87ac: 298c0294  bl	#0xfffffff00887b850
0xfffffff0087d87b0: 37060034  cbz	w23, #0xfffffff0087d8874
0xfffffff0087d87b4: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087d87b8: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff0087d87bc: c951ffd0  adrp	x9, #0xfffffff007212000
0xfffffff0087d87c0: 2abd2291  add	x10, x9, #0x8af
0xfffffff0087d87c4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0087d87c8: 88888052  mov	w8, #0x444
0xfffffff0087d87cc: c951ffd0  adrp	x9, #0xfffffff007212000
0xfffffff0087d87d0: 29b52191  add	x9, x9, #0x86d
0xfffffff0087d87d4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087d87d8: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d87dc: 081d0291  add	x8, x8, #0x87
