; Candidate 7480
; ADRP+ADD at VM 0xfffffff00886f8fc (fileoff 0x186b8fc): page=0x1fe9a4000 add_imm=0xe0f

0xfffffff00886f87c: 00008052  mov	w0, #0
0xfffffff00886f880: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00886f884: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00886f888: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00886f88c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00886f890: ff030291  add	sp, sp, #0x80
0xfffffff00886f894: ff0f5fd6  retab	
0xfffffff00886f898: 7f2303d5  pacibsp	
0xfffffff00886f89c: ff8301d1  sub	sp, sp, #0x60
0xfffffff00886f8a0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00886f8a4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00886f8a8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00886f8ac: fd430191  add	x29, sp, #0x50
0xfffffff00886f8b0: f30300aa  mov	x19, x0
0xfffffff00886f8b4: 600b8052  mov	w0, #0x5b
0xfffffff00886f8b8: e1008052  mov	w1, #7
0xfffffff00886f8bc: c52f0094  bl	#0xfffffff00887b7d0
0xfffffff00886f8c0: a0040034  cbz	w0, #0xfffffff00886f954
0xfffffff00886f8c4: 600b8052  mov	w0, #0x5b
0xfffffff00886f8c8: d42f0094  bl	#0xfffffff00887b818
0xfffffff00886f8cc: f50300aa  mov	x21, x0
0xfffffff00886f8d0: 37120194  bl	#0xfffffff0088b41ac
0xfffffff00886f8d4: f40300aa  mov	x20, x0
0xfffffff00886f8d8: e0008052  mov	w0, #7
0xfffffff00886f8dc: dd2f0094  bl	#0xfffffff00887b850
0xfffffff00886f8e0: 75010034  cbz	w21, #0xfffffff00886f90c
0xfffffff00886f8e4: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f8e8: 08b12191  add	x8, x8, #0x86c
0xfffffff00886f8ec: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f8f0: 680b8052  mov	w8, #0x5b
0xfffffff00886f8f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f8f8: f40300f9  str	x20, [sp]
0xfffffff00886f8fc: 204dff90  adrp	x0, #0xfffffff007213000
0xfffffff00886f900: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886f904: d71ed597  bl	#0xfffffff007db7460
0xfffffff00886f908: 13000014  b	#0xfffffff00886f954
0xfffffff00886f90c: 28120194  bl	#0xfffffff0088b41ac
0xfffffff00886f910: f40300aa  mov	x20, x0
0xfffffff00886f914: e0008052  mov	w0, #7
0xfffffff00886f918: ce2f0094  bl	#0xfffffff00887b850
0xfffffff00886f91c: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f920: 08b12191  add	x8, x8, #0x86c
0xfffffff00886f924: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f928: 680b8052  mov	w8, #0x5b
0xfffffff00886f92c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f930: f40300f9  str	x20, [sp]
0xfffffff00886f934: c04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886f938: 00003a91  add	x0, x0, #0xe80
0xfffffff00886f93c: c18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886f940: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886f944: 434fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886f948: 63342c91  add	x3, x3, #0xb0d
0xfffffff00886f94c: 02008052  mov	w2, #0
0xfffffff00886f950: f80deb97  bl	#0xfffffff008333130
0xfffffff00886f954: 94088052  mov	w20, #0x44
0xfffffff00886f958: 1408a072  movk	w20, #0x40, lsl #16
0xfffffff00886f95c: 82121f11  add	w2, w20, #0x7c4
0xfffffff00886f960: e00313aa  mov	x0, x19
0xfffffff00886f964: 21008052  mov	w1, #1
0xfffffff00886f968: 23008052  mov	w3, #1
0xfffffff00886f96c: 01560094  bl	#0xfffffff008885170
0xfffffff00886f970: e00313aa  mov	x0, x19
0xfffffff00886f974: 21008052  mov	w1, #1
0xfffffff00886f978: 82088052  mov	w2, #0x44
