; Candidate 3359
; ADRP+ADD at VM 0xfffffff0087377dc (fileoff 0x17337dc): page=0x1fe9fa000 add_imm=0xd90

0xfffffff00873775c: 0101092a  orr	w1, w8, w9
0xfffffff008737760: 202a8852  mov	w0, #0x4151
0xfffffff008737764: c08eac72  movk	w0, #0x6476, lsl #16
0xfffffff008737768: 64feff97  bl	#0xfffffff0087370f8
0xfffffff00873776c: 611641b9  ldr	w1, [x19, #0x114]
0xfffffff008737770: 700240f9  ldr	x16, [x19]
0xfffffff008737774: f10313aa  mov	x17, x19
0xfffffff008737778: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00873777c: 301ac1da  autda	x16, x17
0xfffffff008737780: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff008737784: e90310aa  mov	x9, x16
0xfffffff008737788: e00313aa  mov	x0, x19
0xfffffff00873778c: f10309aa  mov	x17, x9
0xfffffff008737790: d1cde3f2  movk	x17, #0x1e6e, lsl #48
0xfffffff008737794: 11093fd7  blraa	x8, x17
0xfffffff008737798: 8002c03d  ldr	q0, [x20]
0xfffffff00873779c: 0000803d  str	q0, [x0]
0xfffffff0087377a0: 808641ad  ldp	q0, q1, [x20, #0x30]
0xfffffff0087377a4: 838a40ad  ldp	q3, q2, [x20, #0x10]
0xfffffff0087377a8: 008401ad  stp	q0, q1, [x0, #0x30]
0xfffffff0087377ac: 038800ad  stp	q3, q2, [x0, #0x10]
0xfffffff0087377b0: 681641b9  ldr	w8, [x19, #0x114]
0xfffffff0087377b4: 08050011  add	w8, w8, #1
0xfffffff0087377b8: 09090012  and	w9, w8, #7
0xfffffff0087377bc: 691601b9  str	w9, [x19, #0x114]
0xfffffff0087377c0: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff0087377c4: f450fff0  adrp	x20, #0xfffffff007156000
0xfffffff0087377c8: 94063891  add	x20, x20, #0xe01
0xfffffff0087377cc: 3f01086b  cmp	w9, w8
0xfffffff0087377d0: a1010054  b.ne	#0xfffffff008737804
0xfffffff0087377d4: e8228052  mov	w8, #0x117
0xfffffff0087377d8: f42300a9  stp	x20, x8, [sp]
0xfffffff0087377dc: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087377e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087377e4: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087377e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087377ec: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff0087377f0: 63841191  add	x3, x3, #0x461
0xfffffff0087377f4: 02008052  mov	w2, #0
0xfffffff0087377f8: 4eeeef97  bl	#0xfffffff008333130
0xfffffff0087377fc: 691641b9  ldr	w9, [x19, #0x114]
0xfffffff008737800: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff008737804: 3f01086b  cmp	w9, w8
0xfffffff008737808: 61010054  b.ne	#0xfffffff008737834
0xfffffff00873780c: e8a300a9  stp	x8, x8, [sp, #8]
0xfffffff008737810: f40300f9  str	x20, [sp]
0xfffffff008737814: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008737818: 00403691  add	x0, x0, #0xd90
0xfffffff00873781c: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008737820: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008737824: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff008737828: 63501291  add	x3, x3, #0x494
0xfffffff00873782c: 02008052  mov	w2, #0
0xfffffff008737830: 40eeef97  bl	#0xfffffff008333130
0xfffffff008737834: e00313aa  mov	x0, x19
0xfffffff008737838: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00873783c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008737840: ff030191  add	sp, sp, #0x40
0xfffffff008737844: ff2303d5  autibsp	
0xfffffff008737848: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00873784c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008737854
0xfffffff008737850: 208e38d4  brk	#0xc471
0xfffffff008737854: 01000014  b	#0xfffffff008737858
0xfffffff008737858: 7f2303d5  pacibsp	
