; Candidate 7437
; ADRP+ADD at VM 0xfffffff00886d6a4 (fileoff 0x18696a4): page=0x1fe97c000 add_imm=0xe80

0xfffffff00886d624: 00380091  add	x0, x0, #0xe
0xfffffff00886d628: f72300a9  stp	x23, x8, [sp]
0xfffffff00886d62c: 8d27d597  bl	#0xfffffff007db7460
0xfffffff00886d630: 25000014  b	#0xfffffff00886d6c4
0xfffffff00886d634: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff00886d638: 1f090071  cmp	w8, #2
0xfffffff00886d63c: 00050054  b.eq	#0xfffffff00886d6dc
0xfffffff00886d640: 1f0d0071  cmp	w8, #3
0xfffffff00886d644: 81050054  b.ne	#0xfffffff00886d6f4
0xfffffff00886d648: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff00886d64c: a1d300d1  sub	x1, x29, #0x34
0xfffffff00886d650: fdb10094  bl	#0xfffffff008899e44
0xfffffff00886d654: e00313aa  mov	x0, x19
0xfffffff00886d658: 21008052  mov	w1, #1
0xfffffff00886d65c: 3ecaff97  bl	#0xfffffff00885ff54
0xfffffff00886d660: f60300aa  mov	x22, x0
0xfffffff00886d664: cfffff17  b	#0xfffffff00886d5a0
0xfffffff00886d668: d11a0194  bl	#0xfffffff0088b41ac
0xfffffff00886d66c: f70300aa  mov	x23, x0
0xfffffff00886d670: 00018052  mov	w0, #8
0xfffffff00886d674: 77380094  bl	#0xfffffff00887b850
0xfffffff00886d678: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886d67c: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00886d680: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00886d684: a84dfff0  adrp	x8, #0xfffffff007224000
0xfffffff00886d688: 080d2091  add	x8, x8, #0x803
0xfffffff00886d68c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00886d690: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d694: 08811191  add	x8, x8, #0x460
0xfffffff00886d698: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886d69c: c80b8052  mov	w8, #0x5e
0xfffffff00886d6a0: f72300a9  stp	x23, x8, [sp]
0xfffffff00886d6a4: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886d6a8: 00003a91  add	x0, x0, #0xe80
0xfffffff00886d6ac: c18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886d6b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886d6b4: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886d6b8: 63f40891  add	x3, x3, #0x23d
0xfffffff00886d6bc: 02008052  mov	w2, #0
0xfffffff00886d6c0: 9c16eb97  bl	#0xfffffff008333130
0xfffffff00886d6c4: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00886d6c8: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00886d6cc: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00886d6d0: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00886d6d4: ffc30291  add	sp, sp, #0xb0
0xfffffff00886d6d8: ff0f5fd6  retab	
0xfffffff00886d6dc: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff00886d6e0: a1d300d1  sub	x1, x29, #0x34
0xfffffff00886d6e4: d8b10094  bl	#0xfffffff008899e44
0xfffffff00886d6e8: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff00886d6ec: a1c35cb8  ldur	w1, [x29, #-0x34]
0xfffffff00886d6f0: e4b10094  bl	#0xfffffff008899e80
0xfffffff00886d6f4: c00b8052  mov	w0, #0x5e
0xfffffff00886d6f8: a1008052  mov	w1, #5
0xfffffff00886d6fc: 35380094  bl	#0xfffffff00887b7d0
0xfffffff00886d700: e0f4ff34  cbz	w0, #0xfffffff00886d59c
0xfffffff00886d704: c00b8052  mov	w0, #0x5e
0xfffffff00886d708: 44380094  bl	#0xfffffff00887b818
0xfffffff00886d70c: f70300aa  mov	x23, x0
0xfffffff00886d710: a71a0194  bl	#0xfffffff0088b41ac
0xfffffff00886d714: f60300aa  mov	x22, x0
0xfffffff00886d718: a0008052  mov	w0, #5
0xfffffff00886d71c: 4d380094  bl	#0xfffffff00887b850
0xfffffff00886d720: b7020034  cbz	w23, #0xfffffff00886d774
