; Candidate 3451
; ADRP+ADD at VM 0xfffffff00873f4e0 (fileoff 0x173b4e0): page=0x1fe9f2000 add_imm=0xd90

0xfffffff00873f460: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873f464: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f468: 00403691  add	x0, x0, #0xd90
0xfffffff00873f46c: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f470: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f474: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f478: 63842191  add	x3, x3, #0x861
0xfffffff00873f47c: 02008052  mov	w2, #0
0xfffffff00873f480: 2ccfef97  bl	#0xfffffff008333130
0xfffffff00873f484: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff00873f488: a0f5ffb5  cbnz	x0, #0xfffffff00873f33c
0xfffffff00873f48c: fb0300f9  str	x27, [sp]
0xfffffff00873f490: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f494: 00403691  add	x0, x0, #0xd90
0xfffffff00873f498: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f49c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f4a0: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f4a4: 63282291  add	x3, x3, #0x88a
0xfffffff00873f4a8: 02008052  mov	w2, #0
0xfffffff00873f4ac: 21cfef97  bl	#0xfffffff008333130
0xfffffff00873f4b0: 14008052  mov	w20, #0
0xfffffff00873f4b4: b3feff17  b	#0xfffffff00873ef80
0xfffffff00873f4b8: 607e40f9  ldr	x0, [x19, #0xf8]
0xfffffff00873f4bc: 10000090  adrp	x16, #0xfffffff00873f000
0xfffffff00873f4c0: 10223d91  add	x16, x16, #0xf48
0xfffffff00873f4c4: d13b8cd2  mov	x17, #0x61de
0xfffffff00873f4c8: 3002c1da  pacia	x16, x17
0xfffffff00873f4cc: e20310aa  mov	x2, x16
0xfffffff00873f4d0: e10315aa  mov	x1, x21
0xfffffff00873f4d4: dabf0194  bl	#0xfffffff0087af43c
0xfffffff00873f4d8: 60020034  cbz	w0, #0xfffffff00873f524
0xfffffff00873f4dc: fb0300a9  stp	x27, x0, [sp]
0xfffffff00873f4e0: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f4e4: 00403691  add	x0, x0, #0xd90
0xfffffff00873f4e8: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f4ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f4f0: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f4f4: 630c2b91  add	x3, x3, #0xac3
0xfffffff00873f4f8: 02008052  mov	w2, #0
0xfffffff00873f4fc: 0dcfef97  bl	#0xfffffff008333130
0xfffffff00873f500: 747e40f9  ldr	x20, [x19, #0xf8]
0xfffffff00873f504: f40000b4  cbz	x20, #0xfffffff00873f520
0xfffffff00873f508: e00314aa  mov	x0, x20
0xfffffff00873f50c: 1fbf0194  bl	#0xfffffff0087af188
0xfffffff00873f510: 2096ffb0  adrp	x0, #0xfffffff007a04000
0xfffffff00873f514: 00a01f91  add	x0, x0, #0x7e8
0xfffffff00873f518: e10314aa  mov	x1, x20
0xfffffff00873f51c: 7c5cf097  bl	#0xfffffff00835670c
0xfffffff00873f520: 7f7e00f9  str	xzr, [x19, #0xf8]
0xfffffff00873f524: 34008052  mov	w20, #1
0xfffffff00873f528: 96feff17  b	#0xfffffff00873ef80
0xfffffff00873f52c: 487ad897  bl	#0xfffffff007d5de4c
0xfffffff00873f530: 0c000000  udf	#0xc
0xfffffff00873f534: 78010000  udf	#0x178
0xfffffff00873f538: ac020000  udf	#0x2ac
0xfffffff00873f53c: 64030000  udf	#0x364
0xfffffff00873f540: 0c000000  udf	#0xc
0xfffffff00873f544: 40000000  udf	#0x40
0xfffffff00873f548: 4c000000  udf	#0x4c
0xfffffff00873f54c: b8010000  udf	#0x1b8
0xfffffff00873f550: c4010000  udf	#0x1c4
0xfffffff00873f554: 9c020000  udf	#0x29c
0xfffffff00873f558: c8010000  udf	#0x1c8
0xfffffff00873f55c: 0c000000  udf	#0xc
