; Candidate 15238
; ADRP+ADD at VM 0xfffffff009b428f0 (fileoff 0x2b3e8f0): page=0x1fdae6000 add_imm=0xed0

0xfffffff009b42870: 40000054  b.eq	#0xfffffff009b42878
0xfffffff009b42874: 408e38d4  brk	#0xc472
0xfffffff009b42878: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4287c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b42880: e00313aa  mov	x0, x19
0xfffffff009b42884: 010080d2  mov	x1, #0
0xfffffff009b42888: f10308aa  mov	x17, x8
0xfffffff009b4288c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b42890: 31093fd7  blraa	x9, x17
0xfffffff009b42894: f50300aa  mov	x21, x0
0xfffffff009b42898: 700240f9  ldr	x16, [x19]
0xfffffff009b4289c: f10313aa  mov	x17, x19
0xfffffff009b428a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b428a4: 301ac1da  autda	x16, x17
0xfffffff009b428a8: f10310aa  mov	x17, x16
0xfffffff009b428ac: f147c1da  xpacd	x17
0xfffffff009b428b0: 1f0211eb  cmp	x16, x17
0xfffffff009b428b4: 40000054  b.eq	#0xfffffff009b428bc
0xfffffff009b428b8: 408e38d4  brk	#0xc472
0xfffffff009b428bc: 08620891  add	x8, x16, #0x218
0xfffffff009b428c0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b428c4: e00313aa  mov	x0, x19
0xfffffff009b428c8: 010080d2  mov	x1, #0
0xfffffff009b428cc: f10308aa  mov	x17, x8
0xfffffff009b428d0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b428d4: 31093fd7  blraa	x9, x17
0xfffffff009b428d8: 28d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b428dc: 08552891  add	x8, x8, #0xa15
0xfffffff009b428e0: 29d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b428e4: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b428e8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b428ec: f50300a9  stp	x21, x0, [sp]
0xfffffff009b428f0: 20d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b428f4: 00403b91  add	x0, x0, #0xed0
0xfffffff009b428f8: 43d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b428fc: 63042791  add	x3, x3, #0x9c1
0xfffffff009b42900: e10314aa  mov	x1, x20
0xfffffff009b42904: 02028052  mov	w2, #0x10
0xfffffff009b42908: 0ac29f97  bl	#0xfffffff008333130
0xfffffff009b4290c: 00008052  mov	w0, #0
0xfffffff009b42910: 63010014  b	#0xfffffff009b42e9c
0xfffffff009b42914: 68c641b9  ldr	w8, [x19, #0x1c4]
0xfffffff009b42918: 49008052  mov	w9, #2
0xfffffff009b4291c: 0900a872  movk	w9, #0x4000, lsl #16
0xfffffff009b42920: 3f01286a  bics	wzr, w9, w8
0xfffffff009b42924: 41050054  b.ne	#0xfffffff009b429cc
0xfffffff009b42928: 5d2d8e97  bl	#0xfffffff007ecde9c
0xfffffff009b4292c: 1f040071  cmp	w0, #1
0xfffffff009b42930: e1040054  b.ne	#0xfffffff009b429cc
0xfffffff009b42934: 700240f9  ldr	x16, [x19]
0xfffffff009b42938: f10313aa  mov	x17, x19
0xfffffff009b4293c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b42940: 301ac1da  autda	x16, x17
0xfffffff009b42944: 113d80d2  mov	x17, #0x1e8
0xfffffff009b42948: 1002118b  add	x16, x16, x17
0xfffffff009b4294c: 080240f9  ldr	x8, [x16]
0xfffffff009b42950: e90310aa  mov	x9, x16
0xfffffff009b42954: e00313aa  mov	x0, x19
0xfffffff009b42958: 010080d2  mov	x1, #0
0xfffffff009b4295c: f10309aa  mov	x17, x9
0xfffffff009b42960: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b42964: 11093fd7  blraa	x8, x17
0xfffffff009b42968: f40300aa  mov	x20, x0
0xfffffff009b4296c: 700240f9  ldr	x16, [x19]
