; Candidate 10425
; ADRP+ADD at VM 0xfffffff008d454c8 (fileoff 0x1d414c8): page=0x1fe643000 add_imm=0xd5d

0xfffffff008d45448: e8020000  udf	#0x2e8
0xfffffff008d4544c: 34030000  udf	#0x334
0xfffffff008d45450: 0c000000  udf	#0xc
0xfffffff008d45454: 80030000  udf	#0x380
0xfffffff008d45458: cc030000  udf	#0x3cc
0xfffffff008d4545c: 0c000000  udf	#0xc
0xfffffff008d45460: 0c000000  udf	#0xc
0xfffffff008d45464: 7f2303d5  pacibsp	
0xfffffff008d45468: ff8301d1  sub	sp, sp, #0x60
0xfffffff008d4546c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008d45470: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008d45474: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008d45478: fd430191  add	x29, sp, #0x50
0xfffffff008d4547c: 212200b4  cbz	x1, #0xfffffff008d458c0
0xfffffff008d45480: f40300aa  mov	x20, x0
0xfffffff008d45484: 10040051  sub	w16, w0, #1
0xfffffff008d45488: 1f5a0071  cmp	w16, #0x16
0xfffffff008d4548c: a8140054  b.hi	#0xfffffff008d45720
0xfffffff008d45490: f30301aa  mov	x19, x1
0xfffffff008d45494: 1f5a00f1  cmp	x16, #0x16
0xfffffff008d45498: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008d4549c: 11000090  adrp	x17, #0xfffffff008d45000
0xfffffff008d454a0: 31822491  add	x17, x17, #0x920
0xfffffff008d454a4: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008d454a8: 11000010  adr	x17, #0xfffffff008d454a8
0xfffffff008d454ac: 3002108b  add	x16, x17, x16
0xfffffff008d454b0: 00021fd6  br	x16
0xfffffff008d454b4: 9f2403d5  bti	j
0xfffffff008d454b8: 606cff90  adrp	x0, #0xfffffff007ad1000
0xfffffff008d454bc: 00e02d91  add	x0, x0, #0xb78
0xfffffff008d454c0: 0d44d897  bl	#0xfffffff0083564f4
0xfffffff008d454c4: f50300aa  mov	x21, x0
0xfffffff008d454c8: 0032fff0  adrp	x0, #0xfffffff007388000
0xfffffff008d454cc: 00743591  add	x0, x0, #0xd5d
0xfffffff008d454d0: 0332fff0  adrp	x3, #0xfffffff007388000
0xfffffff008d454d4: 631c1991  add	x3, x3, #0x647
0xfffffff008d454d8: 0532fff0  adrp	x5, #0xfffffff007388000
0xfffffff008d454dc: a5f83591  add	x5, x5, #0xd7e
0xfffffff008d454e0: e10315aa  mov	x1, x21
0xfffffff008d454e4: 02048052  mov	w2, #0x20
0xfffffff008d454e8: 04238052  mov	w4, #0x118
0xfffffff008d454ec: 9ee0ff97  bl	#0xfffffff008d3d764
0xfffffff008d454f0: 08008052  mov	w8, #0
0xfffffff008d454f4: 951f00b4  cbz	x21, #0xfffffff008d458e4
0xfffffff008d454f8: 00008052  mov	w0, #0
0xfffffff008d454fc: 49008052  mov	w9, #2
0xfffffff008d45500: b4260029  stp	w20, w9, [x21]
0xfffffff008d45504: a81e00b9  str	w8, [x21, #0x1c]
0xfffffff008d45508: 08008012  mov	w8, #-1
0xfffffff008d4550c: a80e00b9  str	w8, [x21, #0xc]
0xfffffff008d45510: 750200f9  str	x21, [x19]
0xfffffff008d45514: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008d45518: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008d4551c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008d45520: ff830191  add	sp, sp, #0x60
0xfffffff008d45524: ff0f5fd6  retab	
0xfffffff008d45528: 9f2403d5  bti	j
0xfffffff008d4552c: 606cffb0  adrp	x0, #0xfffffff007ad2000
0xfffffff008d45530: 00a00d91  add	x0, x0, #0x368
0xfffffff008d45534: 01058052  mov	w1, #0x28
0xfffffff008d45538: 2646d897  bl	#0xfffffff008356dd0
0xfffffff008d4553c: f50300aa  mov	x21, x0
0xfffffff008d45540: 0032fff0  adrp	x0, #0xfffffff007388000
0xfffffff008d45544: 00202e91  add	x0, x0, #0xb88
