; Candidate 10924
; ADRP+ADD at VM 0xfffffff008ded0e0 (fileoff 0x1de90e0): page=0x1fe5d7000 add_imm=0xe15

0xfffffff008ded060: 4acd2e91  add	x10, x10, #0xbb3
0xfffffff008ded064: 2b000014  b	#0xfffffff008ded110
0xfffffff008ded068: 483e8152  mov	w8, #0x9f2
0xfffffff008ded06c: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded070: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded074: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded078: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded07c: 08493991  add	x8, x8, #0xe52
0xfffffff008ded080: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded084: 4aad3291  add	x10, x10, #0xcab
0xfffffff008ded088: 22000014  b	#0xfffffff008ded110
0xfffffff008ded08c: 683e8152  mov	w8, #0x9f3
0xfffffff008ded090: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded094: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded098: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded09c: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded0a0: 08493991  add	x8, x8, #0xe52
0xfffffff008ded0a4: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded0a8: 4a713091  add	x10, x10, #0xc1c
0xfffffff008ded0ac: 19000014  b	#0xfffffff008ded110
0xfffffff008ded0b0: f40300aa  mov	x20, x0
0xfffffff008ded0b4: 887e4093  sxtw	x8, w20
0xfffffff008ded0b8: e93e8152  mov	w9, #0x9f7
0xfffffff008ded0bc: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded0c0: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008ded0c4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ded0c8: a92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ded0cc: 29493991  add	x9, x9, #0xe52
0xfffffff008ded0d0: ab2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ded0d4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ded0d8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ded0dc: eb0300f9  str	x11, [sp]
0xfffffff008ded0e0: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded0e4: 00543891  add	x0, x0, #0xe15
0xfffffff008ded0e8: cea7d597  bl	#0xfffffff008357020
0xfffffff008ded0ec: cfffff17  b	#0xfffffff008ded028
0xfffffff008ded0f0: 083f8152  mov	w8, #0x9f8
0xfffffff008ded0f4: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded0f8: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded0fc: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded100: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded104: 08493991  add	x8, x8, #0xe52
0xfffffff008ded108: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded10c: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008ded110: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008ded114: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008ded118: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded11c: 00543891  add	x0, x0, #0xe15
0xfffffff008ded120: c0a7d597  bl	#0xfffffff008357020
0xfffffff008ded124: 54008012  mov	w20, #-3
0xfffffff008ded128: c0ffff17  b	#0xfffffff008ded028
0xfffffff008ded12c: 887e4093  sxtw	x8, w20
0xfffffff008ded130: 09408152  mov	w9, #0xa00
0xfffffff008ded134: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded138: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008ded13c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ded140: a92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ded144: 29493991  add	x9, x9, #0xe52
0xfffffff008ded148: ab2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ded14c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ded150: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ded154: eb0300f9  str	x11, [sp]
0xfffffff008ded158: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded15c: 00543891  add	x0, x0, #0xe15
