; Candidate 16454
; ADRP+ADD at VM 0xfffffff009eaefa8 (fileoff 0x2eaafa8): page=0x1fd987000 add_imm=0xe84

0xfffffff009eaef28: 9502088b  add	x21, x20, x8
0xfffffff009eaef2c: e00315aa  mov	x0, x21
0xfffffff009eaef30: e7f27b97  bl	#0xfffffff007dabacc
0xfffffff009eaef34: 88525eb9  ldr	w8, [x20, #0x1e50]
0xfffffff009eaef38: 09090051  sub	w9, w8, #2
0xfffffff009eaef3c: 3f090071  cmp	w9, #2
0xfffffff009eaef40: c3000054  b.lo	#0xfffffff009eaef58
0xfffffff009eaef44: 28010034  cbz	w8, #0xfffffff009eaef68
0xfffffff009eaef48: 1f150071  cmp	w8, #5
0xfffffff009eaef4c: a10c0054  b.ne	#0xfffffff009eaf0e0
0xfffffff009eaef50: 48008052  mov	w8, #2
0xfffffff009eaef54: 06000014  b	#0xfffffff009eaef6c
0xfffffff009eaef58: e00315aa  mov	x0, x21
0xfffffff009eaef5c: f8f57b97  bl	#0xfffffff007dac73c
0xfffffff009eaef60: 96048052  mov	w22, #0x24
0xfffffff009eaef64: c7ffff17  b	#0xfffffff009eaee80
0xfffffff009eaef68: e8008052  mov	w8, #7
0xfffffff009eaef6c: 88521eb9  str	w8, [x20, #0x1e50]
0xfffffff009eaef70: 972e0ff9  str	x23, [x20, #0x1e58]
0xfffffff009eaef74: e00315aa  mov	x0, x21
0xfffffff009eaef78: f1f57b97  bl	#0xfffffff007dac73c
0xfffffff009eaef7c: e2830091  add	x2, sp, #0x20
0xfffffff009eaef80: e00314aa  mov	x0, x20
0xfffffff009eaef84: e10317aa  mov	x1, x23
0xfffffff009eaef88: 19f3ff97  bl	#0xfffffff009eabbec
0xfffffff009eaef8c: 60030034  cbz	w0, #0xfffffff009eaeff8
0xfffffff009eaef90: f60300aa  mov	x22, x0
0xfffffff009eaef94: 28ccfef0  adrp	x8, #0xfffffff007835000
0xfffffff009eaef98: 08e53991  add	x8, x8, #0xe79
0xfffffff009eaef9c: a9648d52  mov	w9, #0x6b25
0xfffffff009eaefa0: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009eaefa4: e80300f9  str	x8, [sp]
0xfffffff009eaefa8: 20ccfef0  adrp	x0, #0xfffffff007835000
0xfffffff009eaefac: 00103a91  add	x0, x0, #0xe84
0xfffffff009eaefb0: 2c217c97  bl	#0xfffffff007db7460
0xfffffff009eaefb4: e00315aa  mov	x0, x21
0xfffffff009eaefb8: c5f27b97  bl	#0xfffffff007dabacc
0xfffffff009eaefbc: a8008052  mov	w8, #5
0xfffffff009eaefc0: 88521eb9  str	w8, [x20, #0x1e50]
0xfffffff009eaefc4: 812e4ff9  ldr	x1, [x20, #0x1e58]
0xfffffff009eaefc8: 010100b4  cbz	x1, #0xfffffff009eaefe8
0xfffffff009eaefcc: 40f4feb0  adrp	x0, #0xfffffff007d37000
0xfffffff009eaefd0: 00600391  add	x0, x0, #0xd8
0xfffffff009eaefd4: ce9d9297  bl	#0xfffffff00835670c
0xfffffff009eaefd8: 282900d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009eaefdc: 08212a91  add	x8, x8, #0xa88
0xfffffff009eaefe0: e92d8092  mov	x9, #-0x170
0xfffffff009eaefe4: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009eaefe8: 9f2e0ff9  str	xzr, [x20, #0x1e58]
0xfffffff009eaefec: e00315aa  mov	x0, x21
0xfffffff009eaeff0: d3f57b97  bl	#0xfffffff007dac73c
0xfffffff009eaeff4: a3ffff17  b	#0xfffffff009eaee80
0xfffffff009eaeff8: e00315aa  mov	x0, x21
0xfffffff009eaeffc: b4f27b97  bl	#0xfffffff007dabacc
0xfffffff009eaf000: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff009eaf004: 884a0ff9  str	x8, [x20, #0x1e90]
0xfffffff009eaf008: e00315aa  mov	x0, x21
0xfffffff009eaf00c: ccf57b97  bl	#0xfffffff007dac73c
0xfffffff009eaf010: e00314aa  mov	x0, x20
0xfffffff009eaf014: 16f0ff97  bl	#0xfffffff009eab06c
0xfffffff009eaf018: f60300aa  mov	x22, x0
0xfffffff009eaf01c: 20f3ff34  cbz	w0, #0xfffffff009eaee80
0xfffffff009eaf020: 08d28352  mov	w8, #0x1e90
0xfffffff009eaf024: 9702088b  add	x23, x20, x8
