; Candidate 669
; ADRP+ADD at VM 0xfffffff00800f018 (fileoff 0x100b018): page=0x1ff966000 add_imm=0xdf0

0xfffffff00800ef98: 280128b8  ldadd	w8, w8, [x9]
0xfffffff00800ef9c: e9130432  mov	w9, #-0xfffffff
0xfffffff00800efa0: 0801090b  add	w8, w8, w9
0xfffffff00800efa4: 1f01096b  cmp	w8, w9
0xfffffff00800efa8: 890a0054  b.ls	#0xfffffff00800f0f8
0xfffffff00800efac: e10315aa  mov	x1, x21
0xfffffff00800efb0: e20317aa  mov	x2, x23
0xfffffff00800efb4: 77f6f497  bl	#0xfffffff007d4c990
0xfffffff00800efb8: 614240f9  ldr	x1, [x19, #0x80]
0xfffffff00800efbc: a06301d1  sub	x0, x29, #0x58
0xfffffff00800efc0: 02028052  mov	w2, #0x10
0xfffffff00800efc4: 73f6f497  bl	#0xfffffff007d4c990
0xfffffff00800efc8: e00314aa  mov	x0, x20
0xfffffff00800efcc: e10313aa  mov	x1, x19
0xfffffff00800efd0: 42f6ff97  bl	#0xfffffff00800c8d8
0xfffffff00800efd4: c0020034  cbz	w0, #0xfffffff00800f02c
0xfffffff00800efd8: f40300aa  mov	x20, x0
0xfffffff00800efdc: e00316aa  mov	x0, x22
0xfffffff00800efe0: 747af697  bl	#0xfffffff007dad9b0
0xfffffff00800efe4: e00316aa  mov	x0, x22
0xfffffff00800efe8: 907df697  bl	#0xfffffff007dae628
0xfffffff00800efec: 810d0190  adrp	x1, #0xfffffff00a1be000
0xfffffff00800eff0: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800eff4: e00316aa  mov	x0, x22
0xfffffff00800eff8: 8578f697  bl	#0xfffffff007dad20c
0xfffffff00800effc: 614240f9  ldr	x1, [x19, #0x80]
0xfffffff00800f000: 28d440b9  ldr	w8, [x1, #0xd4]
0xfffffff00800f004: 02610391  add	x2, x8, #0xd8
0xfffffff00800f008: 7f4200f9  str	xzr, [x19, #0x80]
0xfffffff00800f00c: 00cbff90  adrp	x0, #0xfffffff00796f000
0xfffffff00800f010: 00201a91  add	x0, x0, #0x688
0xfffffff00800f014: 965ef697  bl	#0xfffffff007da6a6c
0xfffffff00800f018: 20cbffd0  adrp	x0, #0xfffffff007975000
0xfffffff00800f01c: 00c03791  add	x0, x0, #0xdf0
0xfffffff00800f020: e10313aa  mov	x1, x19
0xfffffff00800f024: faeaf797  bl	#0xfffffff007e09c0c
0xfffffff00800f028: 27000014  b	#0xfffffff00800f0c4
0xfffffff00800f02c: e80c01f0  adrp	x8, #0xfffffff00a1ae000
0xfffffff00800f030: 089541b9  ldr	w8, [x8, #0x194]
0xfffffff00800f034: 1f1d0071  cmp	w8, #7
0xfffffff00800f038: c3010054  b.lo	#0xfffffff00800f070
0xfffffff00800f03c: c882fff0  adrp	x8, #0xfffffff00706a000
0xfffffff00800f040: 085d1b91  add	x8, x8, #0x6d7
0xfffffff00800f044: c982fff0  adrp	x9, #0xfffffff00706a000
0xfffffff00800f048: 29111a91  add	x9, x9, #0x684
0xfffffff00800f04c: e92300a9  stp	x9, x8, [sp]
0xfffffff00800f050: e07fffb0  adrp	x0, #0xfffffff00700c000
0xfffffff00800f054: 00000091  add	x0, x0, #0
0xfffffff00800f058: 411001f0  adrp	x1, #0xfffffff00a21a000
0xfffffff00800f05c: 21502f91  add	x1, x1, #0xbd4
0xfffffff00800f060: 4385ff90  adrp	x3, #0xfffffff0070b7000
0xfffffff00800f064: 63642491  add	x3, x3, #0x919
0xfffffff00800f068: 02008052  mov	w2, #0
0xfffffff00800f06c: 31900c94  bl	#0xfffffff008333130
0xfffffff00800f070: 00008052  mov	w0, #0
0xfffffff00800f074: e6a4ff97  bl	#0xfffffff007ff840c
0xfffffff00800f078: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00800f07c: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00800f080: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff00800f084: bfff3ba9  stp	xzr, xzr, [x29, #-0x48]
0xfffffff00800f088: 0880ff90  adrp	x8, #0xfffffff00700f000
0xfffffff00800f08c: 0185c33d  ldr	q1, [x8, #0xe10]
0xfffffff00800f090: e18300ad  stp	q1, q0, [sp, #0x10]
0xfffffff00800f094: 13028052  mov	w19, #0x10
