; Candidate 13200
; ADRP+ADD at VM 0xfffffff00921ef88 (fileoff 0x221af88): page=0x1fe28e000 add_imm=0xd17

0xfffffff00921ef08: f40300a9  stp	x20, x0, [sp]
0xfffffff00921ef0c: 6114ffd0  adrp	x1, #0xfffffff0074ac000
0xfffffff00921ef10: 216c3391  add	x1, x1, #0xcdb
0xfffffff00921ef14: 00008052  mov	w0, #0
0xfffffff00921ef18: fa0c0094  bl	#0xfffffff009222300
0xfffffff00921ef1c: e88700b0  adrp	x8, #0xfffffff00a31b000
0xfffffff00921ef20: 08353891  add	x8, x8, #0xe0d
0xfffffff00921ef24: 08014039  ldrb	w8, [x8]
0xfffffff00921ef28: 485c0035  cbnz	w8, #0xfffffff00921fab0
0xfffffff00921ef2c: 688e40b9  ldr	w8, [x19, #0x8c]
0xfffffff00921ef30: 09050011  add	w9, w8, #1
0xfffffff00921ef34: 698e00b9  str	w9, [x19, #0x8c]
0xfffffff00921ef38: 1f250071  cmp	w8, #9
0xfffffff00921ef3c: a85b0054  b.hi	#0xfffffff00921fab0
0xfffffff00921ef40: 700240f9  ldr	x16, [x19]
0xfffffff00921ef44: f10313aa  mov	x17, x19
0xfffffff00921ef48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921ef4c: 301ac1da  autda	x16, x17
0xfffffff00921ef50: 113d80d2  mov	x17, #0x1e8
0xfffffff00921ef54: 1002118b  add	x16, x16, x17
0xfffffff00921ef58: 080240f9  ldr	x8, [x16]
0xfffffff00921ef5c: e90310aa  mov	x9, x16
0xfffffff00921ef60: e00313aa  mov	x0, x19
0xfffffff00921ef64: 010080d2  mov	x1, #0
0xfffffff00921ef68: f10309aa  mov	x17, x9
0xfffffff00921ef6c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00921ef70: 11093fd7  blraa	x8, x17
0xfffffff00921ef74: 081f8052  mov	w8, #0xf8
0xfffffff00921ef78: 6914ffd0  adrp	x9, #0xfffffff0074ac000
0xfffffff00921ef7c: 29453491  add	x9, x9, #0xd11
0xfffffff00921ef80: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00921ef84: e00300f9  str	x0, [sp]
0xfffffff00921ef88: 6014ffd0  adrp	x0, #0xfffffff0074ac000
0xfffffff00921ef8c: 005c3491  add	x0, x0, #0xd17
0xfffffff00921ef90: 24e0c497  bl	#0xfffffff008357020
0xfffffff00921ef94: c7020014  b	#0xfffffff00921fab0
0xfffffff00921ef98: 010140f9  ldr	x1, [x8]
0xfffffff00921ef9c: 700240f9  ldr	x16, [x19]
0xfffffff00921efa0: f10313aa  mov	x17, x19
0xfffffff00921efa4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921efa8: 301ac1da  autda	x16, x17
0xfffffff00921efac: 112080d2  mov	x17, #0x100
0xfffffff00921efb0: 1002118b  add	x16, x16, x17
0xfffffff00921efb4: 080240f9  ldr	x8, [x16]
0xfffffff00921efb8: e90310aa  mov	x9, x16
0xfffffff00921efbc: e00313aa  mov	x0, x19
0xfffffff00921efc0: f10309aa  mov	x17, x9
0xfffffff00921efc4: 514ce2f2  movk	x17, #0x1262, lsl #48
0xfffffff00921efc8: 11093fd7  blraa	x8, x17
0xfffffff00921efcc: 36008052  mov	w22, #1
0xfffffff00921efd0: 76220339  strb	w22, [x19, #0xc8]
0xfffffff00921efd4: 900240f9  ldr	x16, [x20]
0xfffffff00921efd8: f10314aa  mov	x17, x20
0xfffffff00921efdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921efe0: 301ac1da  autda	x16, x17
0xfffffff00921efe4: 116e80d2  mov	x17, #0x370
0xfffffff00921efe8: 1002118b  add	x16, x16, x17
0xfffffff00921efec: 080240f9  ldr	x8, [x16]
0xfffffff00921eff0: e90310aa  mov	x9, x16
0xfffffff00921eff4: e00314aa  mov	x0, x20
0xfffffff00921eff8: f10309aa  mov	x17, x9
0xfffffff00921effc: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff00921f000: 11093fd7  blraa	x8, x17
0xfffffff00921f004: 100040f9  ldr	x16, [x0]
