; Candidate 12123
; ADRP+ADD at VM 0xfffffff0090115fc (fileoff 0x200d5fc): page=0x12fc000 add_imm=0xd50

0xfffffff00901157c: 080140b9  ldr	w8, [x8]
0xfffffff009011580: 1f791c72  tst	w8, #0xfffffff7
0xfffffff009011584: 20010054  b.eq	#0xfffffff0090115a8
0xfffffff009011588: e303142a  mov	w3, w20
0xfffffff00901158c: e20f40b9  ldr	w2, [sp, #0xc]
0xfffffff009011590: e103132a  mov	w1, w19
0xfffffff009011594: 80108252  mov	w0, #0x1084
0xfffffff009011598: 00ffa472  movk	w0, #0x27f8, lsl #16
0xfffffff00901159c: 040080d2  mov	x4, #0
0xfffffff0090115a0: 050080d2  mov	x5, #0
0xfffffff0090115a4: 58b2c597  bl	#0xfffffff00817df04
0xfffffff0090115a8: 9f020071  cmp	w20, #0
0xfffffff0090115ac: e0179f1a  cset	w0, eq
0xfffffff0090115b0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0090115b4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0090115b8: ffc30091  add	sp, sp, #0x30
0xfffffff0090115bc: ff0f5fd6  retab	
0xfffffff0090115c0: 5f2403d5  bti	c
0xfffffff0090115c4: 4c4ccb17  b	#0xfffffff0082e46f4
0xfffffff0090115c8: 7f2303d5  pacibsp	
0xfffffff0090115cc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0090115d0: fd030091  mov	x29, sp
0xfffffff0090115d4: 2021ff90  adrp	x0, #0xfffffff007435000
0xfffffff0090115d8: 00c01a91  add	x0, x0, #0x6b0
0xfffffff0090115dc: 175fcc97  bl	#0xfffffff008329238
0xfffffff0090115e0: e89700b0  adrp	x8, #0xfffffff00a30e000
0xfffffff0090115e4: 007900f9  str	x0, [x8, #0xf0]
0xfffffff0090115e8: 2021ff90  adrp	x0, #0xfffffff007435000
0xfffffff0090115ec: 005c1b91  add	x0, x0, #0x6d7
0xfffffff0090115f0: 125fcc97  bl	#0xfffffff008329238
0xfffffff0090115f4: e89700b0  adrp	x8, #0xfffffff00a30e000
0xfffffff0090115f8: 007d00f9  str	x0, [x8, #0xf8]
0xfffffff0090115fc: e0970090  adrp	x0, #0xfffffff00a30d000
0xfffffff009011600: 00403591  add	x0, x0, #0xd50
0xfffffff009011604: 8121ff90  adrp	x1, #0xfffffff007441000
0xfffffff009011608: 21ec1391  add	x1, x1, #0x4fb
0xfffffff00901160c: 2259ffb0  adrp	x2, #0xfffffff007b36000
0xfffffff009011610: 42a844f9  ldr	x2, [x2, #0x950]
0xfffffff009011614: 03038052  mov	w3, #0x18
0xfffffff009011618: 4849cb97  bl	#0xfffffff0082e3b38
0xfffffff00901161c: 5059ffd0  adrp	x16, #0xfffffff007b3b000
0xfffffff009011620: 10e21f91  add	x16, x16, #0x7f8
0xfffffff009011624: 10420091  add	x16, x16, #0x10
0xfffffff009011628: f10300aa  mov	x17, x0
0xfffffff00901162c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009011630: 300ac1da  pacda	x16, x17
0xfffffff009011634: 100000f9  str	x16, [x0]
0xfffffff009011638: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00901163c: ff0f5fd6  retab	
0xfffffff009011640: 5f2403d5  bti	c
0xfffffff009011644: e0970090  adrp	x0, #0xfffffff00a30d000
0xfffffff009011648: 00403591  add	x0, x0, #0xd50
0xfffffff00901164c: 2a4ccb17  b	#0xfffffff0082e46f4
0xfffffff009011650: 7f2303d5  pacibsp	
0xfffffff009011654: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009011658: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00901165c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009011660: fd830091  add	x29, sp, #0x20
0xfffffff009011664: 600500b4  cbz	x0, #0xfffffff009011710
0xfffffff009011668: f30301aa  mov	x19, x1
0xfffffff00901166c: f40300aa  mov	x20, x0
0xfffffff009011670: e00301aa  mov	x0, x1
0xfffffff009011674: 6a60cb97  bl	#0xfffffff0082e981c
0xfffffff009011678: e00400b4  cbz	x0, #0xfffffff009011714
