; Candidate 12643
; ADRP+ADD at VM 0xfffffff0090e18dc (fileoff 0x20dd8dc): page=0x1fe38d000 add_imm=0xe49

0xfffffff0090e185c: 60080034  cbz	w0, #0xfffffff0090e1968
0xfffffff0090e1860: f50300aa  mov	x21, x0
0xfffffff0090e1864: 085e8052  mov	w8, #0x2f0
0xfffffff0090e1868: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0090e186c: 1f00086b  cmp	w0, w8
0xfffffff0090e1870: 01040054  b.ne	#0xfffffff0090e18f0
0xfffffff0090e1874: 949100f0  adrp	x20, #0xfffffff00a314000
0xfffffff0090e1878: 94e21691  add	x20, x20, #0x5b8
0xfffffff0090e187c: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1880: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e1884: 551cfff0  adrp	x21, #0xfffffff00746c000
0xfffffff0090e1888: b5522c91  add	x21, x21, #0xb14
0xfffffff0090e188c: 890240f9  ldr	x9, [x20]
0xfffffff0090e1890: 3f0100f1  cmp	x9, #0
0xfffffff0090e1894: b602889a  csel	x22, x21, x8, eq
0xfffffff0090e1898: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e189c: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e18a0: b702889a  csel	x23, x21, x8, eq
0xfffffff0090e18a4: c1340094  bl	#0xfffffff0090eeba8
0xfffffff0090e18a8: 880240f9  ldr	x8, [x20]
0xfffffff0090e18ac: 491cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e18b0: 29852c91  add	x9, x9, #0xb21
0xfffffff0090e18b4: 1f0100f1  cmp	x8, #0
0xfffffff0090e18b8: a802899a  csel	x8, x21, x9, eq
0xfffffff0090e18bc: e8a304a9  stp	x8, x8, [sp, #0x48]
0xfffffff0090e18c0: f78303a9  stp	x23, x0, [sp, #0x38]
0xfffffff0090e18c4: c80c8352  mov	w8, #0x1866
0xfffffff0090e18c8: f5a302a9  stp	x21, x8, [sp, #0x28]
0xfffffff0090e18cc: f5d701a9  stp	x21, x21, [sp, #0x18]
0xfffffff0090e18d0: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e18d4: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090e18d8: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff0090e18dc: 601cffb0  adrp	x0, #0xfffffff00746e000
0xfffffff0090e18e0: 00243991  add	x0, x0, #0xe49
0xfffffff0090e18e4: e80300f9  str	x8, [sp]
0xfffffff0090e18e8: ced5c997  bl	#0xfffffff008357020
0xfffffff0090e18ec: 20000014  b	#0xfffffff0090e196c
0xfffffff0090e18f0: 969100f0  adrp	x22, #0xfffffff00a314000
0xfffffff0090e18f4: d6e21691  add	x22, x22, #0x5b8
0xfffffff0090e18f8: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e18fc: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e1900: 571cfff0  adrp	x23, #0xfffffff00746c000
0xfffffff0090e1904: f7522c91  add	x23, x23, #0xb14
0xfffffff0090e1908: c90240f9  ldr	x9, [x22]
0xfffffff0090e190c: 3f0100f1  cmp	x9, #0
0xfffffff0090e1910: f802889a  csel	x24, x23, x8, eq
0xfffffff0090e1914: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1918: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e191c: f902889a  csel	x25, x23, x8, eq
0xfffffff0090e1920: a2340094  bl	#0xfffffff0090eeba8
0xfffffff0090e1924: c80240f9  ldr	x8, [x22]
0xfffffff0090e1928: 491cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e192c: 29852c91  add	x9, x9, #0xb21
0xfffffff0090e1930: 1f0100f1  cmp	x8, #0
0xfffffff0090e1934: e802899a  csel	x8, x23, x9, eq
0xfffffff0090e1938: f52305a9  stp	x21, x8, [sp, #0x50]
0xfffffff0090e193c: e02304a9  stp	x0, x8, [sp, #0x40]
0xfffffff0090e1940: 480d8352  mov	w8, #0x186a
0xfffffff0090e1944: e86703a9  stp	x8, x25, [sp, #0x30]
0xfffffff0090e1948: f75f02a9  stp	x23, x23, [sp, #0x20]
0xfffffff0090e194c: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1950: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090e1954: f75f01a9  stp	x23, x23, [sp, #0x10]
0xfffffff0090e1958: 601cffb0  adrp	x0, #0xfffffff00746e000
