; Candidate 2990
; ADRP+ADD at VM 0xfffffff0086fe898 (fileoff 0x16fa898): page=0x1fea33000 add_imm=0xd90

0xfffffff0086fe818: 09a140a9  ldp	x9, x8, [x8, #8]
0xfffffff0086fe81c: 340009cb  sub	x20, x1, x9
0xfffffff0086fe820: 0001148b  add	x0, x8, x20
0xfffffff0086fe824: 08fc60d3  lsr	x8, x0, #0x20
0xfffffff0086fe828: c80400b4  cbz	x8, #0xfffffff0086fe8c0
0xfffffff0086fe82c: e88e8052  mov	w8, #0x477
0xfffffff0086fe830: 8952ffd0  adrp	x9, #0xfffffff007150000
0xfffffff0086fe834: 29512f91  add	x9, x9, #0xbd4
0xfffffff0086fe838: e92300a9  stp	x9, x8, [sp]
0xfffffff0086fe83c: 8051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086fe840: 00403691  add	x0, x0, #0xd90
0xfffffff0086fe844: e197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086fe848: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086fe84c: c351ff90  adrp	x3, #0xfffffff007136000
0xfffffff0086fe850: 63f41091  add	x3, x3, #0x43d
0xfffffff0086fe854: 02008052  mov	w2, #0
0xfffffff0086fe858: 36d2f097  bl	#0xfffffff008333130
0xfffffff0086fe85c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0086fe860: 08e55ef9  ldr	x8, [x8, #0x3dc8]
0xfffffff0086fe864: 13410091  add	x19, x8, #0x10
0xfffffff0086fe868: 14000014  b	#0xfffffff0086fe8b8
0xfffffff0086fe86c: 130d42f9  ldr	x19, [x8, #0x418]
0xfffffff0086fe870: 688e41f8  ldr	x8, [x19, #0x18]!
0xfffffff0086fe874: 69825ff8  ldur	x9, [x19, #-8]
0xfffffff0086fe878: 340009cb  sub	x20, x1, x9
0xfffffff0086fe87c: 0001148b  add	x0, x8, x20
0xfffffff0086fe880: 08fc60d3  lsr	x8, x0, #0x20
0xfffffff0086fe884: e80100b4  cbz	x8, #0xfffffff0086fe8c0
0xfffffff0086fe888: 08918052  mov	w8, #0x488
0xfffffff0086fe88c: 8952ffd0  adrp	x9, #0xfffffff007150000
0xfffffff0086fe890: 29512f91  add	x9, x9, #0xbd4
0xfffffff0086fe894: e92300a9  stp	x9, x8, [sp]
0xfffffff0086fe898: 8051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086fe89c: 00403691  add	x0, x0, #0xd90
0xfffffff0086fe8a0: e197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086fe8a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086fe8a8: c351ff90  adrp	x3, #0xfffffff007136000
0xfffffff0086fe8ac: 63c41191  add	x3, x3, #0x471
0xfffffff0086fe8b0: 02008052  mov	w2, #0
0xfffffff0086fe8b4: 1fd2f097  bl	#0xfffffff008333130
0xfffffff0086fe8b8: 680240f9  ldr	x8, [x19]
0xfffffff0086fe8bc: 0001148b  add	x0, x8, x20
0xfffffff0086fe8c0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086fe8c4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086fe8c8: ffc30091  add	sp, sp, #0x30
0xfffffff0086fe8cc: ff0f5fd6  retab	
0xfffffff0086fe8d0: 5f2403d5  bti	c
0xfffffff0086fe8d4: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff0086fe8d8: c9b88752  mov	w9, #0x3dc6
0xfffffff0086fe8dc: 09696938  ldrb	w9, [x8, x9]
0xfffffff0086fe8e0: a9000034  cbz	w9, #0xfffffff0086fe8f4
0xfffffff0086fe8e4: 09e55ef9  ldr	x9, [x8, #0x3dc8]
0xfffffff0086fe8e8: 28210091  add	x8, x9, #8
0xfffffff0086fe8ec: 29410091  add	x9, x9, #0x10
0xfffffff0086fe8f0: 04000014  b	#0xfffffff0086fe900
0xfffffff0086fe8f4: 090d42f9  ldr	x9, [x8, #0x418]
0xfffffff0086fe8f8: 28410091  add	x8, x9, #0x10
0xfffffff0086fe8fc: 29610091  add	x9, x9, #0x18
0xfffffff0086fe900: 080140f9  ldr	x8, [x8]
0xfffffff0086fe904: 280008cb  sub	x8, x1, x8
0xfffffff0086fe908: 290140f9  ldr	x9, [x9]
0xfffffff0086fe90c: 0001098b  add	x0, x8, x9
0xfffffff0086fe910: c0035fd6  ret	
0xfffffff0086fe914: 7f2303d5  pacibsp	
