; Candidate 5823
; ADRP+ADD at VM 0xfffffff008806a60 (fileoff 0x1802a60): page=0x1fe9e3000 add_imm=0xe80

0xfffffff0088069e0: 29168052  mov	w9, #0xb1
0xfffffff0088069e4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088069e8: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff0088069ec: 08690891  add	x8, x8, #0x21a
0xfffffff0088069f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088069f4: 880e8052  mov	w8, #0x74
0xfffffff0088069f8: f42300a9  stp	x20, x8, [sp]
0xfffffff0088069fc: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806a00: 00003a91  add	x0, x0, #0xe80
0xfffffff008806a04: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806a08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008806a0c: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806a10: 630c0891  add	x3, x3, #0x203
0xfffffff008806a14: 02008052  mov	w2, #0
0xfffffff008806a18: c6b1ec97  bl	#0xfffffff008333130
0xfffffff008806a1c: 81feff17  b	#0xfffffff008806420
0xfffffff008806a20: e3b50294  bl	#0xfffffff0088b41ac
0xfffffff008806a24: f40300aa  mov	x20, x0
0xfffffff008806a28: 80008052  mov	w0, #4
0xfffffff008806a2c: 89d30194  bl	#0xfffffff00887b850
0xfffffff008806a30: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008806a34: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff008806a38: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806a3c: 08c90c91  add	x8, x8, #0x332
0xfffffff008806a40: a9148052  mov	w9, #0xa5
0xfffffff008806a44: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008806a48: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806a4c: 08690891  add	x8, x8, #0x21a
0xfffffff008806a50: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008806a54: 880e8052  mov	w8, #0x74
0xfffffff008806a58: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008806a5c: f40300f9  str	x20, [sp]
0xfffffff008806a60: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806a64: 00003a91  add	x0, x0, #0xe80
0xfffffff008806a68: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806a6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008806a70: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806a74: 63f40591  add	x3, x3, #0x17d
0xfffffff008806a78: 02008052  mov	w2, #0
0xfffffff008806a7c: adb1ec97  bl	#0xfffffff008333130
0xfffffff008806a80: 68feff17  b	#0xfffffff008806420
0xfffffff008806a84: cab50294  bl	#0xfffffff0088b41ac
0xfffffff008806a88: f40300aa  mov	x20, x0
0xfffffff008806a8c: 80008052  mov	w0, #4
0xfffffff008806a90: 70d30194  bl	#0xfffffff00887b850
0xfffffff008806a94: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008806a98: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff008806a9c: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806aa0: 08550d91  add	x8, x8, #0x355
0xfffffff008806aa4: 49158052  mov	w9, #0xaa
0xfffffff008806aa8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008806aac: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806ab0: 08690891  add	x8, x8, #0x21a
0xfffffff008806ab4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008806ab8: 880e8052  mov	w8, #0x74
0xfffffff008806abc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008806ac0: f40300f9  str	x20, [sp]
0xfffffff008806ac4: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806ac8: 00003a91  add	x0, x0, #0xe80
0xfffffff008806acc: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806ad0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008806ad4: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806ad8: 63000791  add	x3, x3, #0x1c0
0xfffffff008806adc: 02008052  mov	w2, #0
