; Candidate 12552
; ADRP+ADD at VM 0xfffffff0090ba220 (fileoff 0x20b6220): page=0x1fe3ad000 add_imm=0xe26

0xfffffff0090ba1a0: 1fa10071  cmp	w8, #0x28
0xfffffff0090ba1a4: 48040054  b.hi	#0xfffffff0090ba22c
0xfffffff0090ba1a8: 88324239  ldrb	w8, [x20, #0x8c]
0xfffffff0090ba1ac: 08030034  cbz	w8, #0xfffffff0090ba20c
0xfffffff0090ba1b0: 900240f9  ldr	x16, [x20]
0xfffffff0090ba1b4: f10314aa  mov	x17, x20
0xfffffff0090ba1b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090ba1bc: 301ac1da  autda	x16, x17
0xfffffff0090ba1c0: 113d80d2  mov	x17, #0x1e8
0xfffffff0090ba1c4: 1002118b  add	x16, x16, x17
0xfffffff0090ba1c8: 080240f9  ldr	x8, [x16]
0xfffffff0090ba1cc: e90310aa  mov	x9, x16
0xfffffff0090ba1d0: e00314aa  mov	x0, x20
0xfffffff0090ba1d4: 010080d2  mov	x1, #0
0xfffffff0090ba1d8: f10309aa  mov	x17, x9
0xfffffff0090ba1dc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090ba1e0: 11093fd7  blraa	x8, x17
0xfffffff0090ba1e4: 0c000014  b	#0xfffffff0090ba214
0xfffffff0090ba1e8: 601dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090ba1ec: 008c2991  add	x0, x0, #0xa63
0xfffffff0090ba1f0: 681dffb0  adrp	x8, #0xfffffff007467000
0xfffffff0090ba1f4: 08313891  add	x8, x8, #0xe0c
0xfffffff0090ba1f8: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff0090ba1fc: e00300f9  str	x0, [sp]
0xfffffff0090ba200: 601dffb0  adrp	x0, #0xfffffff007467000
0xfffffff0090ba204: 00743791  add	x0, x0, #0xddd
0xfffffff0090ba208: 08000014  b	#0xfffffff0090ba228
0xfffffff0090ba20c: 601dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090ba210: 008c2991  add	x0, x0, #0xa63
0xfffffff0090ba214: 681dffb0  adrp	x8, #0xfffffff007467000
0xfffffff0090ba218: 08313891  add	x8, x8, #0xe0c
0xfffffff0090ba21c: e02300a9  stp	x0, x8, [sp]
0xfffffff0090ba220: 601dffb0  adrp	x0, #0xfffffff007467000
0xfffffff0090ba224: 00983891  add	x0, x0, #0xe26
0xfffffff0090ba228: 7e73ca97  bl	#0xfffffff008357020
0xfffffff0090ba22c: 00008052  mov	w0, #0
0xfffffff0090ba230: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0090ba234: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0090ba238: ff030191  add	sp, sp, #0x40
0xfffffff0090ba23c: ff0f5fd6  retab	
0xfffffff0090ba240: 5f2403d5  bti	c
0xfffffff0090ba244: 2ca9c817  b	#0xfffffff0082e46f4
0xfffffff0090ba248: 7f2303d5  pacibsp	
0xfffffff0090ba24c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0090ba250: fd030091  mov	x29, sp
0xfffffff0090ba254: a09200f0  adrp	x0, #0xfffffff00a311000
0xfffffff0090ba258: 00a00a91  add	x0, x0, #0x2a8
0xfffffff0090ba25c: e11cfff0  adrp	x1, #0xfffffff007459000
0xfffffff0090ba260: 21783991  add	x1, x1, #0xe5e
0xfffffff0090ba264: 6254fff0  adrp	x2, #0xfffffff007b49000
0xfffffff0090ba268: 429041f9  ldr	x2, [x2, #0x320]
0xfffffff0090ba26c: 03338052  mov	w3, #0x198
0xfffffff0090ba270: 32a6c897  bl	#0xfffffff0082e3b38
0xfffffff0090ba274: 9054ff90  adrp	x16, #0xfffffff007b4a000
0xfffffff0090ba278: 10623991  add	x16, x16, #0xe58
0xfffffff0090ba27c: 10420091  add	x16, x16, #0x10
0xfffffff0090ba280: f10300aa  mov	x17, x0
0xfffffff0090ba284: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090ba288: 300ac1da  pacda	x16, x17
0xfffffff0090ba28c: 100000f9  str	x16, [x0]
0xfffffff0090ba290: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0090ba294: ff0f5fd6  retab	
0xfffffff0090ba298: 5f2403d5  bti	c
0xfffffff0090ba29c: a09200f0  adrp	x0, #0xfffffff00a311000
