; Candidate 830
; ADRP+ADD at VM 0xfffffff0080d69ac (fileoff 0x10d29ac): page=0x1fefa1000 add_imm=0xdb3

0xfffffff0080d692c: c0c4ffb0  adrp	x0, #0xfffffff00796f000
0xfffffff0080d6930: 00201a91  add	x0, x0, #0x688
0xfffffff0080d6934: 01028052  mov	w1, #0x10
0xfffffff0080d6938: 82009052  mov	w2, #0x8004
0xfffffff0080d693c: 030080d2  mov	x3, #0
0xfffffff0080d6940: f03ef397  bl	#0xfffffff007da6500
0xfffffff0080d6944: e80300aa  mov	x8, x0
0xfffffff0080d6948: 00008052  mov	w0, #0
0xfffffff0080d694c: 09428052  mov	w9, #0x210
0xfffffff0080d6950: 09010079  strh	w9, [x8]
0xfffffff0080d6954: 89fe4079  ldrh	w9, [x20, #0x7e]
0xfffffff0080d6958: 09050079  strh	w9, [x8, #2]
0xfffffff0080d695c: 898240b9  ldr	w9, [x20, #0x80]
0xfffffff0080d6960: 090500b9  str	w9, [x8, #4]
0xfffffff0080d6964: 680200f9  str	x8, [x19]
0xfffffff0080d6968: 0d000014  b	#0xfffffff0080d699c
0xfffffff0080d696c: 80fe4079  ldrh	w0, [x20, #0x7e]
0xfffffff0080d6970: 8042c83c  ldur	q0, [x20, #0x84]
0xfffffff0080d6974: e003803d  str	q0, [sp]
0xfffffff0080d6978: 829640b9  ldr	w2, [x20, #0x94]
0xfffffff0080d697c: e1030091  mov	x1, sp
0xfffffff0080d6980: b76b0194  bl	#0xfffffff00813185c
0xfffffff0080d6984: 600200f9  str	x0, [x19]
0xfffffff0080d6988: 1f0000f1  cmp	x0, #0
0xfffffff0080d698c: e8068052  mov	w8, #0x37
0xfffffff0080d6990: 00019f1a  csel	w0, w8, wzr, eq
0xfffffff0080d6994: 02000014  b	#0xfffffff0080d699c
0xfffffff0080d6998: c0028052  mov	w0, #0x16
0xfffffff0080d699c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080d69a0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080d69a4: ffc30091  add	sp, sp, #0x30
0xfffffff0080d69a8: ff0f5fd6  retab	
0xfffffff0080d69ac: 007dffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080d69b0: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080d69b4: 017dffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080d69b8: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080d69bc: e2088052  mov	w2, #0x47
0xfffffff0080d69c0: 95230f94  bl	#0xfffffff00849f814
0xfffffff0080d69c4: 7f2303d5  pacibsp	
0xfffffff0080d69c8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0080d69cc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0080d69d0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0080d69d4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0080d69d8: fd430191  add	x29, sp, #0x50
0xfffffff0080d69dc: f40300aa  mov	x20, x0
0xfffffff0080d69e0: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff0080d69e4: 090140b9  ldr	w9, [x8]
0xfffffff0080d69e8: a9c31db8  stur	w9, [x29, #-0x24]
0xfffffff0080d69ec: 150140b9  ldr	w21, [x8]
0xfffffff0080d69f0: a19300d1  sub	x1, x29, #0x24
0xfffffff0080d69f4: 02008052  mov	w2, #0
0xfffffff0080d69f8: ed110494  bl	#0xfffffff0081db1ac
0xfffffff0080d69fc: f30300aa  mov	x19, x0
0xfffffff0080d6a00: 00010035  cbnz	w0, #0xfffffff0080d6a20
0xfffffff0080d6a04: a8c35db8  ldur	w8, [x29, #-0x24]
0xfffffff0080d6a08: 1f050071  cmp	w8, #1
0xfffffff0080d6a0c: 69000054  b.ls	#0xfffffff0080d6a18
0xfffffff0080d6a10: d3028052  mov	w19, #0x16
0xfffffff0080d6a14: 1e000014  b	#0xfffffff0080d6a8c
0xfffffff0080d6a18: 890e40f9  ldr	x9, [x20, #0x18]
0xfffffff0080d6a1c: 280100b9  str	w8, [x9]
0xfffffff0080d6a20: b7d9f497  bl	#0xfffffff007e0d0fc
0xfffffff0080d6a24: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff0080d6a28: c8c4ffb0  adrp	x8, #0xfffffff00796f000
