; Candidate 4247
; ADRP+ADD at VM 0xfffffff0087998c0 (fileoff 0x17958c0): page=0x1fe998000 add_imm=0xd90

0xfffffff008799840: 19070091  add	x25, x24, #1
0xfffffff008799844: 3f030deb  cmp	x25, x13
0xfffffff008799848: c2000054  b.hs	#0xfffffff008799860
0xfffffff00879984c: f802180b  add	w24, w23, w24
0xfffffff008799850: 1a070011  add	w26, w24, #1
0xfffffff008799854: f80319aa  mov	x24, x25
0xfffffff008799858: 3f021a6b  cmp	w17, w26
0xfffffff00879985c: e8feff54  b.hi	#0xfffffff008799838
0xfffffff008799860: a500190b  add	w5, w5, w25
0xfffffff008799864: bf00116b  cmp	w5, w17
0xfffffff008799868: 43f5ff54  b.lo	#0xfffffff008799710
0xfffffff00879986c: e4ebff37  tbnz	w4, #0x1f, #0xfffffff0087995e8
0xfffffff008799870: 0a0080d2  mov	x10, #0
0xfffffff008799874: 2b744939  ldrb	w11, [x1, #0x25d]
0xfffffff008799878: 2c800a91  add	x12, x1, #0x2a0
0xfffffff00879987c: ed430091  add	x13, sp, #0x10
0xfffffff008799880: 6b000034  cbz	w11, #0xfffffff00879988c
0xfffffff008799884: 8e796ab8  ldr	w14, [x12, x10, lsl #2]
0xfffffff008799888: 02000014  b	#0xfffffff008799890
0xfffffff00879988c: 4e7d4092  and	x14, x10, #0xffffffff
0xfffffff008799890: ae796ef8  ldr	x14, [x13, x14, lsl #3]
0xfffffff008799894: 6e782af8  str	x14, [x3, x10, lsl #3]
0xfffffff008799898: ce0200b4  cbz	x14, #0xfffffff0087998f0
0xfffffff00879989c: 4a050091  add	x10, x10, #1
0xfffffff0087998a0: 1f020aeb  cmp	x16, x10
0xfffffff0087998a4: e1feff54  b.ne	#0xfffffff008799880
0xfffffff0087998a8: 51ffff17  b	#0xfffffff0087995ec
0xfffffff0087998ac: ff01102b  cmn	w15, w16
0xfffffff0087998b0: c1010054  b.ne	#0xfffffff0087998e8
0xfffffff0087998b4: 084effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087998b8: 080d3f91  add	x8, x8, #0xfc3
0xfffffff0087998bc: e80300f9  str	x8, [sp]
0xfffffff0087998c0: c04cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087998c4: 00403691  add	x0, x0, #0xd90
0xfffffff0087998c8: 2193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087998cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087998d0: 834dff90  adrp	x3, #0xfffffff007149000
0xfffffff0087998d4: 63280491  add	x3, x3, #0x10a
0xfffffff0087998d8: 02008052  mov	w2, #0
0xfffffff0087998dc: 1566ee97  bl	#0xfffffff008333130
0xfffffff0087998e0: 20008052  mov	w0, #1
0xfffffff0087998e4: 0f000014  b	#0xfffffff008799920
0xfffffff0087998e8: 00008052  mov	w0, #0
0xfffffff0087998ec: 0d000014  b	#0xfffffff008799920
0xfffffff0087998f0: 084effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087998f4: 080d3f91  add	x8, x8, #0xfc3
0xfffffff0087998f8: e80300f9  str	x8, [sp]
0xfffffff0087998fc: c04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008799900: 00403691  add	x0, x0, #0xd90
0xfffffff008799904: 2193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008799908: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879990c: 834dff90  adrp	x3, #0xfffffff007149000
0xfffffff008799910: 63440391  add	x3, x3, #0xd1
0xfffffff008799914: 02008052  mov	w2, #0
0xfffffff008799918: 0666ee97  bl	#0xfffffff008333130
0xfffffff00879991c: 40338052  mov	w0, #0x19a
0xfffffff008799920: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008799924: 2993ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff008799928: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00879992c: 290140f9  ldr	x9, [x9]
0xfffffff008799930: 3f0108eb  cmp	x9, x8
0xfffffff008799934: 21010054  b.ne	#0xfffffff008799958
0xfffffff008799938: fd7b57a9  ldp	x29, x30, [sp, #0x170]
0xfffffff00879993c: f44f56a9  ldp	x20, x19, [sp, #0x160]
