; Candidate 15748
; ADRP+ADD at VM 0xfffffff009cf6914 (fileoff 0x2cf2914): page=0x1fd96d000 add_imm=0xe7a

0xfffffff009cf6894: 81040054  b.ne	#0xfffffff009cf6924
0xfffffff009cf6898: 700240f9  ldr	x16, [x19]
0xfffffff009cf689c: f10313aa  mov	x17, x19
0xfffffff009cf68a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf68a4: 301ac1da  autda	x16, x17
0xfffffff009cf68a8: 113d80d2  mov	x17, #0x1e8
0xfffffff009cf68ac: 1002118b  add	x16, x16, x17
0xfffffff009cf68b0: 080240f9  ldr	x8, [x16]
0xfffffff009cf68b4: e90310aa  mov	x9, x16
0xfffffff009cf68b8: e00313aa  mov	x0, x19
0xfffffff009cf68bc: 010080d2  mov	x1, #0
0xfffffff009cf68c0: f10309aa  mov	x17, x9
0xfffffff009cf68c4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009cf68c8: 11093fd7  blraa	x8, x17
0xfffffff009cf68cc: f90300aa  mov	x25, x0
0xfffffff009cf68d0: 700240f9  ldr	x16, [x19]
0xfffffff009cf68d4: f10313aa  mov	x17, x19
0xfffffff009cf68d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf68dc: 301ac1da  autda	x16, x17
0xfffffff009cf68e0: 114380d2  mov	x17, #0x218
0xfffffff009cf68e4: 1002118b  add	x16, x16, x17
0xfffffff009cf68e8: 080240f9  ldr	x8, [x16]
0xfffffff009cf68ec: e90310aa  mov	x9, x16
0xfffffff009cf68f0: e00313aa  mov	x0, x19
0xfffffff009cf68f4: 010080d2  mov	x1, #0
0xfffffff009cf68f8: f10309aa  mov	x17, x9
0xfffffff009cf68fc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009cf6900: 11093fd7  blraa	x8, x17
0xfffffff009cf6904: 68cbfeb0  adrp	x8, #0xfffffff007663000
0xfffffff009cf6908: 087d3491  add	x8, x8, #0xd1f
0xfffffff009cf690c: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009cf6910: f90300a9  stp	x25, x0, [sp]
0xfffffff009cf6914: 60cbfeb0  adrp	x0, #0xfffffff007663000
0xfffffff009cf6918: 00e83991  add	x0, x0, #0xe7a
0xfffffff009cf691c: c1819997  bl	#0xfffffff008357020
0xfffffff009cf6920: 4a000014  b	#0xfffffff009cf6a48
0xfffffff009cf6924: 28030012  and	w8, w25, #1
0xfffffff009cf6928: 08791f53  lsl	w8, w8, #1
0xfffffff009cf692c: 19011f52  eor	w25, w8, #2
0xfffffff009cf6930: 700240f9  ldr	x16, [x19]
0xfffffff009cf6934: f10313aa  mov	x17, x19
0xfffffff009cf6938: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf693c: 301ac1da  autda	x16, x17
0xfffffff009cf6940: 113d80d2  mov	x17, #0x1e8
0xfffffff009cf6944: 1002118b  add	x16, x16, x17
0xfffffff009cf6948: 080240f9  ldr	x8, [x16]
0xfffffff009cf694c: e90310aa  mov	x9, x16
0xfffffff009cf6950: e00313aa  mov	x0, x19
0xfffffff009cf6954: 010080d2  mov	x1, #0
0xfffffff009cf6958: f10309aa  mov	x17, x9
0xfffffff009cf695c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009cf6960: 11093fd7  blraa	x8, x17
0xfffffff009cf6964: 700240f9  ldr	x16, [x19]
0xfffffff009cf6968: f10313aa  mov	x17, x19
0xfffffff009cf696c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf6970: 301ac1da  autda	x16, x17
0xfffffff009cf6974: 114380d2  mov	x17, #0x218
0xfffffff009cf6978: 1002118b  add	x16, x16, x17
0xfffffff009cf697c: 080240f9  ldr	x8, [x16]
0xfffffff009cf6980: e90310aa  mov	x9, x16
0xfffffff009cf6984: e00313aa  mov	x0, x19
0xfffffff009cf6988: 010080d2  mov	x1, #0
0xfffffff009cf698c: f10309aa  mov	x17, x9
0xfffffff009cf6990: 11a8e6f2  movk	x17, #0x3540, lsl #48
