; Candidate 7570
; ADRP+ADD at VM 0xfffffff008873138 (fileoff 0x186f138): page=0x1fe9a0000 add_imm=0xe0f

0xfffffff0088730b8: e00314aa  mov	x0, x20
0xfffffff0088730bc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088730c0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088730c4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088730c8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088730cc: ff030291  add	sp, sp, #0x80
0xfffffff0088730d0: ff0f5fd6  retab	
0xfffffff0088730d4: 7f2303d5  pacibsp	
0xfffffff0088730d8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088730dc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088730e0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088730e4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088730e8: fd430191  add	x29, sp, #0x50
0xfffffff0088730ec: f30300aa  mov	x19, x0
0xfffffff0088730f0: 600b8052  mov	w0, #0x5b
0xfffffff0088730f4: 01018052  mov	w1, #8
0xfffffff0088730f8: b6210094  bl	#0xfffffff00887b7d0
0xfffffff0088730fc: a0040034  cbz	w0, #0xfffffff008873190
0xfffffff008873100: 600b8052  mov	w0, #0x5b
0xfffffff008873104: c5210094  bl	#0xfffffff00887b818
0xfffffff008873108: f50300aa  mov	x21, x0
0xfffffff00887310c: 28040194  bl	#0xfffffff0088b41ac
0xfffffff008873110: f40300aa  mov	x20, x0
0xfffffff008873114: 00018052  mov	w0, #8
0xfffffff008873118: ce210094  bl	#0xfffffff00887b850
0xfffffff00887311c: 75010034  cbz	w21, #0xfffffff008873148
0xfffffff008873120: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff008873124: 08392c91  add	x8, x8, #0xb0e
0xfffffff008873128: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887312c: 680b8052  mov	w8, #0x5b
0xfffffff008873130: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008873134: f40300f9  str	x20, [sp]
0xfffffff008873138: 004dff90  adrp	x0, #0xfffffff007213000
0xfffffff00887313c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008873140: c810d597  bl	#0xfffffff007db7460
0xfffffff008873144: 13000014  b	#0xfffffff008873190
0xfffffff008873148: 19040194  bl	#0xfffffff0088b41ac
0xfffffff00887314c: f40300aa  mov	x20, x0
0xfffffff008873150: 00018052  mov	w0, #8
0xfffffff008873154: bf210094  bl	#0xfffffff00887b850
0xfffffff008873158: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00887315c: 08392c91  add	x8, x8, #0xb0e
0xfffffff008873160: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008873164: 680b8052  mov	w8, #0x5b
0xfffffff008873168: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887316c: f40300f9  str	x20, [sp]
0xfffffff008873170: a04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008873174: 00003a91  add	x0, x0, #0xe80
0xfffffff008873178: a18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887317c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008873180: 234fffd0  adrp	x3, #0xfffffff007259000
0xfffffff008873184: 63380e91  add	x3, x3, #0x38e
0xfffffff008873188: 02008052  mov	w2, #0
0xfffffff00887318c: e9ffea97  bl	#0xfffffff008333130
0xfffffff008873190: e00313aa  mov	x0, x19
0xfffffff008873194: 01009052  mov	w1, #0x8000
0xfffffff008873198: e106a072  movk	w1, #0x37, lsl #16
0xfffffff00887319c: 02048052  mov	w2, #0x20
0xfffffff0088731a0: c206a072  movk	w2, #0x36, lsl #16
0xfffffff0088731a4: 23008052  mov	w3, #1
0xfffffff0088731a8: 2e0a0094  bl	#0xfffffff008875a60
0xfffffff0088731ac: f40300aa  mov	x20, x0
0xfffffff0088731b0: 600b8052  mov	w0, #0x5b
0xfffffff0088731b4: 01018052  mov	w1, #8
