; Candidate 8840
; ADRP+ADD at VM 0xfffffff0088d95e0 (fileoff 0x18d55e0): page=0x1fe991000 add_imm=0xea3

0xfffffff0088d9560: e20314aa  mov	x2, x20
0xfffffff0088d9564: f10308aa  mov	x17, x8
0xfffffff0088d9568: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff0088d956c: 31093fd7  blraa	x9, x17
0xfffffff0088d9570: 900240f9  ldr	x16, [x20]
0xfffffff0088d9574: f10314aa  mov	x17, x20
0xfffffff0088d9578: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d957c: 301ac1da  autda	x16, x17
0xfffffff0088d9580: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0088d9584: e90310aa  mov	x9, x16
0xfffffff0088d9588: e00314aa  mov	x0, x20
0xfffffff0088d958c: f10309aa  mov	x17, x9
0xfffffff0088d9590: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088d9594: 11093fd7  blraa	x8, x17
0xfffffff0088d9598: 14008052  mov	w20, #0
0xfffffff0088d959c: e00314aa  mov	x0, x20
0xfffffff0088d95a0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088d95a4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088d95a8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088d95ac: ff830291  add	sp, sp, #0xa0
0xfffffff0088d95b0: ff0f5fd6  retab	
0xfffffff0088d95b4: 09a10791  add	x9, x8, #0x1e8
0xfffffff0088d95b8: 08f540f9  ldr	x8, [x8, #0x1e8]
0xfffffff0088d95bc: e00313aa  mov	x0, x19
0xfffffff0088d95c0: 010080d2  mov	x1, #0
0xfffffff0088d95c4: f10309aa  mov	x17, x9
0xfffffff0088d95c8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d95cc: 11093fd7  blraa	x8, x17
0xfffffff0088d95d0: 884cffb0  adrp	x8, #0xfffffff00726a000
0xfffffff0088d95d4: 08753991  add	x8, x8, #0xe5d
0xfffffff0088d95d8: e8ff00a9  stp	x8, xzr, [sp, #8]
0xfffffff0088d95dc: e00300f9  str	x0, [sp]
0xfffffff0088d95e0: 804cffb0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d95e4: 008c3a91  add	x0, x0, #0xea3
0xfffffff0088d95e8: 68ffff17  b	#0xfffffff0088d9388
0xfffffff0088d95ec: 700240f9  ldr	x16, [x19]
0xfffffff0088d95f0: f10313aa  mov	x17, x19
0xfffffff0088d95f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d95f8: 301ac1da  autda	x16, x17
0xfffffff0088d95fc: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d9600: 1002118b  add	x16, x16, x17
0xfffffff0088d9604: 080240f9  ldr	x8, [x16]
0xfffffff0088d9608: e90310aa  mov	x9, x16
0xfffffff0088d960c: e00313aa  mov	x0, x19
0xfffffff0088d9610: 010080d2  mov	x1, #0
0xfffffff0088d9614: f10309aa  mov	x17, x9
0xfffffff0088d9618: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d961c: 11093fd7  blraa	x8, x17
0xfffffff0088d9620: f50300aa  mov	x21, x0
0xfffffff0088d9624: 700240f9  ldr	x16, [x19]
0xfffffff0088d9628: f10313aa  mov	x17, x19
0xfffffff0088d962c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d9630: 301ac1da  autda	x16, x17
0xfffffff0088d9634: 118e80d2  mov	x17, #0x470
0xfffffff0088d9638: 1002118b  add	x16, x16, x17
0xfffffff0088d963c: 080240f9  ldr	x8, [x16]
0xfffffff0088d9640: e90310aa  mov	x9, x16
0xfffffff0088d9644: e00313aa  mov	x0, x19
0xfffffff0088d9648: e10314aa  mov	x1, x20
0xfffffff0088d964c: f10309aa  mov	x17, x9
0xfffffff0088d9650: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0088d9654: 11093fd7  blraa	x8, x17
0xfffffff0088d9658: f50300a9  stp	x21, x0, [sp]
0xfffffff0088d965c: 804cffb0  adrp	x0, #0xfffffff00726a000
