; Candidate 1047
; ADRP+ADD at VM 0xfffffff0081bd5c8 (fileoff 0x11b95c8): page=0x1feec6000 add_imm=0xeb8

0xfffffff0081bd548: 9dffff17  b	#0xfffffff0081bd3bc
0xfffffff0081bd54c: 800201f0  adrp	x0, #0xfffffff00a210000
0xfffffff0081bd550: 00803191  add	x0, x0, #0xc60
0xfffffff0081bd554: e10313aa  mov	x1, x19
0xfffffff0081bd558: 83bcef97  bl	#0xfffffff007dac764
0xfffffff0081bd55c: efffff17  b	#0xfffffff0081bd518
0xfffffff0081bd560: e00315aa  mov	x0, x21
0xfffffff0081bd564: e10313aa  mov	x1, x19
0xfffffff0081bd568: 7fbcef97  bl	#0xfffffff007dac764
0xfffffff0081bd56c: e6ffff17  b	#0xfffffff0081bd504
0xfffffff0081bd570: e00314aa  mov	x0, x20
0xfffffff0081bd574: 268b0b94  bl	#0xfffffff0084a020c
0xfffffff0081bd578: c8338052  mov	w8, #0x19e
0xfffffff0081bd57c: 2976ffd0  adrp	x9, #0xfffffff007083000
0xfffffff0081bd580: 29a53a91  add	x9, x9, #0xea9
0xfffffff0081bd584: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0081bd588: f42300a9  stp	x20, x8, [sp]
0xfffffff0081bd58c: a076ffb0  adrp	x0, #0xfffffff007092000
0xfffffff0081bd590: 00243391  add	x0, x0, #0xcc9
0xfffffff0081bd594: de5b0b94  bl	#0xfffffff00849450c
0xfffffff0081bd598: c8338052  mov	w8, #0x19e
0xfffffff0081bd59c: 2976ffd0  adrp	x9, #0xfffffff007083000
0xfffffff0081bd5a0: 29a53a91  add	x9, x9, #0xea9
0xfffffff0081bd5a4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0081bd5a8: f42300a9  stp	x20, x8, [sp]
0xfffffff0081bd5ac: a076ffb0  adrp	x0, #0xfffffff007092000
0xfffffff0081bd5b0: 00703291  add	x0, x0, #0xc9c
0xfffffff0081bd5b4: d65b0b94  bl	#0xfffffff00849450c
0xfffffff0081bd5b8: 2876ffd0  adrp	x8, #0xfffffff007083000
0xfffffff0081bd5bc: 08a53a91  add	x8, x8, #0xea9
0xfffffff0081bd5c0: 09348052  mov	w9, #0x1a0
0xfffffff0081bd5c4: e82700a9  stp	x8, x9, [sp]
0xfffffff0081bd5c8: 2076ffd0  adrp	x0, #0xfffffff007083000
0xfffffff0081bd5cc: 00e03a91  add	x0, x0, #0xeb8
0xfffffff0081bd5d0: cf5b0b94  bl	#0xfffffff00849450c
0xfffffff0081bd5d4: 5f2403d5  bti	c
0xfffffff0081bd5d8: e40302aa  mov	x4, x2
0xfffffff0081bd5dc: e30301aa  mov	x3, x1
0xfffffff0081bd5e0: e20300aa  mov	x2, x0
0xfffffff0081bd5e4: 000080d2  mov	x0, #0
0xfffffff0081bd5e8: 01008012  mov	w1, #-1
0xfffffff0081bd5ec: 01000014  b	#0xfffffff0081bd5f0
0xfffffff0081bd5f0: 7f2303d5  pacibsp	
0xfffffff0081bd5f4: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff0081bd5f8: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0081bd5fc: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0081bd600: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0081bd604: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0081bd608: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0081bd60c: fd430191  add	x29, sp, #0x50
0xfffffff0081bd610: f30304aa  mov	x19, x4
0xfffffff0081bd614: f40303aa  mov	x20, x3
0xfffffff0081bd618: f50302aa  mov	x21, x2
0xfffffff0081bd61c: f60301aa  mov	x22, x1
0xfffffff0081bd620: f70300aa  mov	x23, x0
0xfffffff0081bd624: 1f0000f1  cmp	x0, #0
0xfffffff0081bd628: e8079f1a  cset	w8, ne
0xfffffff0081bd62c: 29008052  mov	w9, #1
0xfffffff0081bd630: 2905891a  cinc	w9, w9, ne
0xfffffff0081bd634: 3f040031  cmn	w1, #1
0xfffffff0081bd638: 1b01891a  csel	w27, w8, w9, eq
0xfffffff0081bd63c: 48040051  sub	w8, w2, #1
0xfffffff0081bd640: 1f1d0071  cmp	w8, #7
0xfffffff0081bd644: 68000054  b.hi	#0xfffffff0081bd650
