; Candidate 14400
; ADRP+ADD at VM 0xfffffff0097706cc (fileoff 0x276c6cc): page=0xc1b000 add_imm=0xea8

0xfffffff00977064c: c00100b5  cbnz	x0, #0xfffffff009770684
0xfffffff009770650: 700240f9  ldr	x16, [x19]
0xfffffff009770654: f10313aa  mov	x17, x19
0xfffffff009770658: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00977065c: 301ac1da  autda	x16, x17
0xfffffff009770660: 113d80d2  mov	x17, #0x1e8
0xfffffff009770664: 1002118b  add	x16, x16, x17
0xfffffff009770668: 080240f9  ldr	x8, [x16]
0xfffffff00977066c: e90310aa  mov	x9, x16
0xfffffff009770670: e00313aa  mov	x0, x19
0xfffffff009770674: 010080d2  mov	x1, #0
0xfffffff009770678: f10309aa  mov	x17, x9
0xfffffff00977067c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009770680: 11093fd7  blraa	x8, x17
0xfffffff009770684: e00313aa  mov	x0, x19
0xfffffff009770688: f5e0fc97  bl	#0xfffffff0096a8a5c
0xfffffff00977068c: e00313aa  mov	x0, x19
0xfffffff009770690: f3e0fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770694: c00100b5  cbnz	x0, #0xfffffff0097706cc
0xfffffff009770698: 700240f9  ldr	x16, [x19]
0xfffffff00977069c: f10313aa  mov	x17, x19
0xfffffff0097706a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097706a4: 301ac1da  autda	x16, x17
0xfffffff0097706a8: 114380d2  mov	x17, #0x218
0xfffffff0097706ac: 1002118b  add	x16, x16, x17
0xfffffff0097706b0: 080240f9  ldr	x8, [x16]
0xfffffff0097706b4: e90310aa  mov	x9, x16
0xfffffff0097706b8: e00313aa  mov	x0, x19
0xfffffff0097706bc: 010080d2  mov	x1, #0
0xfffffff0097706c0: f10309aa  mov	x17, x9
0xfffffff0097706c4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0097706c8: 11093fd7  blraa	x8, x17
0xfffffff0097706cc: c06000f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097706d0: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097706d4: a1d0ad97  bl	#0xfffffff0082e4958
0xfffffff0097706d8: f40300aa  mov	x20, x0
0xfffffff0097706dc: e00313aa  mov	x0, x19
0xfffffff0097706e0: dfe0fc97  bl	#0xfffffff0096a8a5c
0xfffffff0097706e4: f50300aa  mov	x21, x0
0xfffffff0097706e8: e00100b5  cbnz	x0, #0xfffffff009770724
0xfffffff0097706ec: 700240f9  ldr	x16, [x19]
0xfffffff0097706f0: f10313aa  mov	x17, x19
0xfffffff0097706f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097706f8: 301ac1da  autda	x16, x17
0xfffffff0097706fc: 113d80d2  mov	x17, #0x1e8
0xfffffff009770700: 1002118b  add	x16, x16, x17
0xfffffff009770704: 080240f9  ldr	x8, [x16]
0xfffffff009770708: e90310aa  mov	x9, x16
0xfffffff00977070c: e00313aa  mov	x0, x19
0xfffffff009770710: 010080d2  mov	x1, #0
0xfffffff009770714: f10309aa  mov	x17, x9
0xfffffff009770718: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00977071c: 11093fd7  blraa	x8, x17
0xfffffff009770720: f50300aa  mov	x21, x0
0xfffffff009770724: e00313aa  mov	x0, x19
0xfffffff009770728: cde0fc97  bl	#0xfffffff0096a8a5c
0xfffffff00977072c: f6f0feb0  adrp	x22, #0xfffffff00758d000
0xfffffff009770730: d6c63491  add	x22, x22, #0xd31
0xfffffff009770734: e8f0feb0  adrp	x8, #0xfffffff00758d000
0xfffffff009770738: 08c93491  add	x8, x8, #0xd32
0xfffffff00977073c: 1f0000f1  cmp	x0, #0
0xfffffff009770740: 1701969a  csel	x23, x8, x22, eq
0xfffffff009770744: e00313aa  mov	x0, x19
0xfffffff009770748: c5e0fc97  bl	#0xfffffff0096a8a5c
