; Candidate 4476
; ADRP+ADD at VM 0xfffffff0087b4138 (fileoff 0x17b0138): page=0x1fe97d000 add_imm=0xd90

0xfffffff0087b40b8: 884b8052  mov	w8, #0x25c
0xfffffff0087b40bc: ea274ca9  ldp	x10, x9, [sp, #0xc0]
0xfffffff0087b40c0: 5825089b  madd	x24, x10, x8, x9
0xfffffff0087b40c4: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b40c8: 100040f9  ldr	x16, [x0]
0xfffffff0087b40cc: f10300aa  mov	x17, x0
0xfffffff0087b40d0: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b40d4: 301ac1da  autda	x16, x17
0xfffffff0087b40d8: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0087b40dc: e90310aa  mov	x9, x16
0xfffffff0087b40e0: 010080d2  mov	x1, #0
0xfffffff0087b40e4: f10309aa  mov	x17, x9
0xfffffff0087b40e8: 3173e4f2  movk	x17, #0x2399, lsl #48
0xfffffff0087b40ec: 11093fd7  blraa	x8, x17
0xfffffff0087b40f0: 7f4a1fb9  str	wzr, [x19, #0x1f48]
0xfffffff0087b40f4: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b40f8: 100040f9  ldr	x16, [x0]
0xfffffff0087b40fc: f10300aa  mov	x17, x0
0xfffffff0087b4100: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b4104: 301ac1da  autda	x16, x17
0xfffffff0087b4108: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff0087b410c: e90310aa  mov	x9, x16
0xfffffff0087b4110: e17340f9  ldr	x1, [sp, #0xe0]
0xfffffff0087b4114: e20318aa  mov	x2, x24
0xfffffff0087b4118: 030080d2  mov	x3, #0
0xfffffff0087b411c: f10309aa  mov	x17, x9
0xfffffff0087b4120: f1cbe0f2  movk	x17, #0x65f, lsl #48
0xfffffff0087b4124: 11093fd7  blraa	x8, x17
0xfffffff0087b4128: e0010034  cbz	w0, #0xfffffff0087b4164
0xfffffff0087b412c: 484dffd0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b4130: 08951c91  add	x8, x8, #0x725
0xfffffff0087b4134: e80300f9  str	x8, [sp]
0xfffffff0087b4138: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b413c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b4140: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4144: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4148: 02008052  mov	w2, #0
0xfffffff0087b414c: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4150: 63401491  add	x3, x3, #0x510
0xfffffff0087b4154: f7fbed97  bl	#0xfffffff008333130
0xfffffff0087b4158: 28008052  mov	w8, #1
0xfffffff0087b415c: 88beff34  cbz	w8, #0xfffffff0087b392c
0xfffffff0087b4160: 0c000014  b	#0xfffffff0087b4190
0xfffffff0087b4164: 28008052  mov	w8, #1
0xfffffff0087b4168: 684a1fb9  str	w8, [x19, #0x1f48]
0xfffffff0087b416c: e87b40f9  ldr	x8, [sp, #0xf0]
0xfffffff0087b4170: 08050011  add	w8, w8, #1
0xfffffff0087b4174: e87b00f9  str	x8, [sp, #0xf0]
0xfffffff0087b4178: 9f2403d5  bti	j
0xfffffff0087b417c: 08008052  mov	w8, #0
0xfffffff0087b4180: e97f40f9  ldr	x9, [sp, #0xf8]
0xfffffff0087b4184: 3941368b  add	x25, x9, w22, uxtw
0xfffffff0087b4188: 9502150b  add	w21, w20, w21
0xfffffff0087b418c: 08bdff34  cbz	w8, #0xfffffff0087b392c
0xfffffff0087b4190: 1f090071  cmp	w8, #2
0xfffffff0087b4194: e10a0054  b.ne	#0xfffffff0087b42f0
0xfffffff0087b4198: e87f40b9  ldr	w8, [sp, #0x7c]
0xfffffff0087b419c: a8aeff35  cbnz	w8, #0xfffffff0087b3770
0xfffffff0087b41a0: 00008052  mov	w0, #0
0xfffffff0087b41a4: 57020014  b	#0xfffffff0087b4b00
0xfffffff0087b41a8: f47b40f9  ldr	x20, [sp, #0xf0]
0xfffffff0087b41ac: 9f060071  cmp	w20, #1
0xfffffff0087b41b0: 4b0a0054  b.lt	#0xfffffff0087b42f8
0xfffffff0087b41b4: 68be46f9  ldr	x8, [x19, #0xd78]
