; Candidate 2614
; ADRP+ADD at VM 0xfffffff0086d510c (fileoff 0x16d110c): page=0x1fea5b000 add_imm=0xe87

0xfffffff0086d508c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0086d5090: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0086d5094: fdc30091  add	x29, sp, #0x30
0xfffffff0086d5098: f30301aa  mov	x19, x1
0xfffffff0086d509c: 100040f9  ldr	x16, [x0]
0xfffffff0086d50a0: f10300aa  mov	x17, x0
0xfffffff0086d50a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086d50a8: 301ac1da  autda	x16, x17
0xfffffff0086d50ac: 113d80d2  mov	x17, #0x1e8
0xfffffff0086d50b0: 1002118b  add	x16, x16, x17
0xfffffff0086d50b4: 080240f9  ldr	x8, [x16]
0xfffffff0086d50b8: e90310aa  mov	x9, x16
0xfffffff0086d50bc: 010080d2  mov	x1, #0
0xfffffff0086d50c0: f10309aa  mov	x17, x9
0xfffffff0086d50c4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086d50c8: 11093fd7  blraa	x8, x17
0xfffffff0086d50cc: a8188052  mov	w8, #0xc5
0xfffffff0086d50d0: c952fff0  adrp	x9, #0xfffffff007130000
0xfffffff0086d50d4: 295d3991  add	x9, x9, #0xe57
0xfffffff0086d50d8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086d50dc: e04f00a9  stp	x0, x19, [sp]
0xfffffff0086d50e0: c052fff0  adrp	x0, #0xfffffff007130000
0xfffffff0086d50e4: 00583b91  add	x0, x0, #0xed6
0xfffffff0086d50e8: 09fdf697  bl	#0xfffffff00849450c
0xfffffff0086d50ec: 7f2303d5  pacibsp	
0xfffffff0086d50f0: ff8300d1  sub	sp, sp, #0x20
0xfffffff0086d50f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086d50f8: fd430091  add	x29, sp, #0x10
0xfffffff0086d50fc: c852fff0  adrp	x8, #0xfffffff007130000
0xfffffff0086d5100: 085d3991  add	x8, x8, #0xe57
0xfffffff0086d5104: 49178052  mov	w9, #0xba
0xfffffff0086d5108: e82700a9  stp	x8, x9, [sp]
0xfffffff0086d510c: c052fff0  adrp	x0, #0xfffffff007130000
0xfffffff0086d5110: 001c3a91  add	x0, x0, #0xe87
0xfffffff0086d5114: fefcf697  bl	#0xfffffff00849450c
0xfffffff0086d5118: 7f2303d5  pacibsp	
0xfffffff0086d511c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0086d5120: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086d5124: fd430091  add	x29, sp, #0x10
0xfffffff0086d5128: c852fff0  adrp	x8, #0xfffffff007130000
0xfffffff0086d512c: 085d3991  add	x8, x8, #0xe57
0xfffffff0086d5130: e9848052  mov	w9, #0x427
0xfffffff0086d5134: e82700a9  stp	x8, x9, [sp]
0xfffffff0086d5138: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d513c: 00341991  add	x0, x0, #0x64d
0xfffffff0086d5140: f3fcf697  bl	#0xfffffff00849450c
0xfffffff0086d5144: 7f2303d5  pacibsp	
0xfffffff0086d5148: ff8300d1  sub	sp, sp, #0x20
0xfffffff0086d514c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086d5150: fd430091  add	x29, sp, #0x10
0xfffffff0086d5154: e80300aa  mov	x8, x0
0xfffffff0086d5158: 20008052  mov	w0, #1
0xfffffff0086d515c: b17481d2  mov	x17, #0xba5
0xfffffff0086d5160: 11093fd7  blraa	x8, x17
0xfffffff0086d5164: c852fff0  adrp	x8, #0xfffffff007130000
0xfffffff0086d5168: 085d3991  add	x8, x8, #0xe57
0xfffffff0086d516c: a9848052  mov	w9, #0x425
0xfffffff0086d5170: e82700a9  stp	x8, x9, [sp]
0xfffffff0086d5174: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d5178: 00401891  add	x0, x0, #0x610
0xfffffff0086d517c: e4fcf697  bl	#0xfffffff00849450c
0xfffffff0086d5180: 7f2303d5  pacibsp	
0xfffffff0086d5184: ff8300d1  sub	sp, sp, #0x20
0xfffffff0086d5188: fd7b01a9  stp	x29, x30, [sp, #0x10]
