; Candidate 3852
; ADRP+ADD at VM 0xfffffff00876ae64 (fileoff 0x1766e64): page=0x1fe9c7000 add_imm=0xd90

0xfffffff00876ade4: e3010054  b.lo	#0xfffffff00876ae20
0xfffffff00876ade8: 59588052  mov	w25, #0x2c2
0xfffffff00876adec: 1900bc72  movk	w25, #0xe000, lsl #16
0xfffffff00876adf0: 684ffff0  adrp	x8, #0xfffffff007159000
0xfffffff00876adf4: 085d3e91  add	x8, x8, #0xf97
0xfffffff00876adf8: e86700a9  stp	x8, x25, [sp]
0xfffffff00876adfc: 204efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876ae00: 00403691  add	x0, x0, #0xd90
0xfffffff00876ae04: 8194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876ae08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876ae0c: c34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876ae10: 63f83691  add	x3, x3, #0xdbe
0xfffffff00876ae14: 02008052  mov	w2, #0
0xfffffff00876ae18: c620ef97  bl	#0xfffffff008333130
0xfffffff00876ae1c: af000014  b	#0xfffffff00876b0d8
0xfffffff00876ae20: dc7e181b  mul	w28, w22, w24
0xfffffff00876ae24: fb03172a  mov	w27, w23
0xfffffff00876ae28: 080b8052  mov	w8, #0x58
0xfffffff00876ae2c: f64ea89b  umaddl	x22, w23, w8, x19
0xfffffff00876ae30: c88e4139  ldrb	w8, [x22, #0x63]
0xfffffff00876ae34: a8000034  cbz	w8, #0xfffffff00876ae48
0xfffffff00876ae38: 68c25679  ldrh	w8, [x19, #0xb60]
0xfffffff00876ae3c: 08050011  add	w8, w8, #1
0xfffffff00876ae40: 68c21679  strh	w8, [x19, #0xb60]
0xfffffff00876ae44: 75660bb9  str	w21, [x19, #0xb64]
0xfffffff00876ae48: f44f00b9  str	w20, [sp, #0x4c]
0xfffffff00876ae4c: 88071051  sub	w8, w28, #0x401
0xfffffff00876ae50: 1f051031  cmn	w8, #0x401
0xfffffff00876ae54: a8010054  b.hi	#0xfffffff00876ae88
0xfffffff00876ae58: 684ffff0  adrp	x8, #0xfffffff007159000
0xfffffff00876ae5c: 085d3e91  add	x8, x8, #0xf97
0xfffffff00876ae60: e87300a9  stp	x8, x28, [sp]
0xfffffff00876ae64: 204efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876ae68: 00403691  add	x0, x0, #0xd90
0xfffffff00876ae6c: 8194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876ae70: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876ae74: c34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876ae78: 63d03791  add	x3, x3, #0xdf4
0xfffffff00876ae7c: 02008052  mov	w2, #0
0xfffffff00876ae80: ac20ef97  bl	#0xfffffff008333130
0xfffffff00876ae84: dc038052  mov	w28, #0x1e
0xfffffff00876ae88: 080b8052  mov	w8, #0x58
0xfffffff00876ae8c: 744f089b  madd	x20, x27, x8, x19
0xfffffff00876ae90: 882e4638  ldrb	w8, [x20, #0x62]!
0xfffffff00876ae94: 88010035  cbnz	w8, #0xfffffff00876aec4
0xfffffff00876ae98: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff00876ae9c: e0430191  add	x0, sp, #0x50
0xfffffff00876aea0: 5c8ed897  bl	#0xfffffff007d8e810
0xfffffff00876aea4: e02b40f9  ldr	x0, [sp, #0x50]
0xfffffff00876aea8: e1630191  add	x1, sp, #0x58
0xfffffff00876aeac: 65a6dd97  bl	#0xfffffff007ed4840
0xfffffff00876aeb0: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff00876aeb4: 090b8052  mov	w9, #0x58
0xfffffff00876aeb8: 694f099b  madd	x9, x27, x9, x19
0xfffffff00876aebc: 284500f9  str	x8, [x9, #0x88]
0xfffffff00876aec0: 3f9100b9  str	wzr, [x9, #0x90]
0xfffffff00876aec4: d8820191  add	x24, x22, #0x60
0xfffffff00876aec8: 080b8052  mov	w8, #0x58
0xfffffff00876aecc: 764f089b  madd	x22, x27, x8, x19
0xfffffff00876aed0: c80e47f8  ldr	x8, [x22, #0x70]!
0xfffffff00876aed4: c9825ff8  ldur	x9, [x22, #-8]
0xfffffff00876aed8: ea031c2a  mov	w10, w28
0xfffffff00876aedc: ea2300f9  str	x10, [sp, #0x40]
0xfffffff00876aee0: 3a7d0a9b  mul	x26, x9, x10
