; Candidate 4982
; ADRP+ADD at VM 0xfffffff0087d0454 (fileoff 0x17cc454): page=0x1fea40000 add_imm=0xd90

0xfffffff0087d03d4: 02008052  mov	w2, #0
0xfffffff0087d03d8: 568bed97  bl	#0xfffffff008333130
0xfffffff0087d03dc: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0087d03e0: e10313aa  mov	x1, x19
0xfffffff0087d03e4: e20315aa  mov	x2, x21
0xfffffff0087d03e8: bbae0194  bl	#0xfffffff00883bed4
0xfffffff0087d03ec: a0030034  cbz	w0, #0xfffffff0087d0460
0xfffffff0087d03f0: f60300aa  mov	x22, x0
0xfffffff0087d03f4: 000a8052  mov	w0, #0x50
0xfffffff0087d03f8: 81008052  mov	w1, #4
0xfffffff0087d03fc: f5ac0294  bl	#0xfffffff00887b7d0
0xfffffff0087d0400: e0290034  cbz	w0, #0xfffffff0087d093c
0xfffffff0087d0404: 000a8052  mov	w0, #0x50
0xfffffff0087d0408: 04ad0294  bl	#0xfffffff00887b818
0xfffffff0087d040c: f70300aa  mov	x23, x0
0xfffffff0087d0410: 678f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0414: f50300aa  mov	x21, x0
0xfffffff0087d0418: 80008052  mov	w0, #4
0xfffffff0087d041c: 0dad0294  bl	#0xfffffff00887b850
0xfffffff0087d0420: b7080034  cbz	w23, #0xfffffff0087d0534
0xfffffff0087d0424: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0428: 08553791  add	x8, x8, #0xdd5
0xfffffff0087d042c: f45b04a9  stp	x20, x22, [sp, #0x40]
0xfffffff0087d0430: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d0434: e8188052  mov	w8, #0xc7
0xfffffff0087d0438: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d043c: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d0440: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d0444: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0448: 08712591  add	x8, x8, #0x95c
0xfffffff0087d044c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d0450: 080a8052  mov	w8, #0x50
0xfffffff0087d0454: 0052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d0458: 00403691  add	x0, x0, #0xd90
0xfffffff0087d045c: 36010014  b	#0xfffffff0087d0934
0xfffffff0087d0460: 000a8052  mov	w0, #0x50
0xfffffff0087d0464: 01018052  mov	w1, #8
0xfffffff0087d0468: daac0294  bl	#0xfffffff00887b7d0
0xfffffff0087d046c: 80220034  cbz	w0, #0xfffffff0087d08bc
0xfffffff0087d0470: 000a8052  mov	w0, #0x50
0xfffffff0087d0474: e9ac0294  bl	#0xfffffff00887b818
0xfffffff0087d0478: f70300aa  mov	x23, x0
0xfffffff0087d047c: 4c8f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0480: f60300aa  mov	x22, x0
0xfffffff0087d0484: 00018052  mov	w0, #8
0xfffffff0087d0488: f2ac0294  bl	#0xfffffff00887b850
0xfffffff0087d048c: b71e0034  cbz	w23, #0xfffffff0087d0860
0xfffffff0087d0490: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d0494: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087d0498: 48198052  mov	w8, #0xca
0xfffffff0087d049c: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d04a0: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d04a4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d04a8: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d04ac: 08712591  add	x8, x8, #0x95c
0xfffffff0087d04b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d04b4: 080a8052  mov	w8, #0x50
0xfffffff0087d04b8: 0052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d04bc: 00783791  add	x0, x0, #0xdde
0xfffffff0087d04c0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d04c4: e79bd797  bl	#0xfffffff007db7460
0xfffffff0087d04c8: fd000014  b	#0xfffffff0087d08bc
0xfffffff0087d04cc: 388f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d04d0: f50300aa  mov	x21, x0
