; Candidate 9777
; ADRP+ADD at VM 0xfffffff008b0fe08 (fileoff 0x1b0be08): page=0x1fe7dc000 add_imm=0xe0c

0xfffffff008b0fd88: 21003891  add	x1, x1, #0xe00
0xfffffff008b0fd8c: c23efff0  adrp	x2, #0xfffffff0072ea000
0xfffffff008b0fd90: 425c0291  add	x2, x2, #0x97
0xfffffff008b0fd94: e00313aa  mov	x0, x19
0xfffffff008b0fd98: f10309aa  mov	x17, x9
0xfffffff008b0fd9c: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff008b0fda0: 11093fd7  blraa	x8, x17
0xfffffff008b0fda4: 684641f9  ldr	x8, [x19, #0x288]
0xfffffff008b0fda8: 08314d39  ldrb	w8, [x8, #0x34c]
0xfffffff008b0fdac: 88020034  cbz	w8, #0xfffffff008b0fdfc
0xfffffff008b0fdb0: 60c640f9  ldr	x0, [x19, #0x188]
0xfffffff008b0fdb4: 100040f9  ldr	x16, [x0]
0xfffffff008b0fdb8: f10300aa  mov	x17, x0
0xfffffff008b0fdbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b0fdc0: 301ac1da  autda	x16, x17
0xfffffff008b0fdc4: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008b0fdc8: e90310aa  mov	x9, x16
0xfffffff008b0fdcc: b00000f0  adrp	x16, #0xfffffff008b26000
0xfffffff008b0fdd0: 10520b91  add	x16, x16, #0x2d4
0xfffffff008b0fdd4: 31a897d2  mov	x17, #0xbd41
0xfffffff008b0fdd8: 3002c1da  pacia	x16, x17
0xfffffff008b0fddc: e10310aa  mov	x1, x16
0xfffffff008b0fde0: 42008052  mov	w2, #2
0xfffffff008b0fde4: 030080d2  mov	x3, #0
0xfffffff008b0fde8: 040080d2  mov	x4, #0
0xfffffff008b0fdec: 050080d2  mov	x5, #0
0xfffffff008b0fdf0: f10309aa  mov	x17, x9
0xfffffff008b0fdf4: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff008b0fdf8: 11093fd7  blraa	x8, x17
0xfffffff008b0fdfc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008b0fe00: 089d8252  mov	w8, #0x14e8
0xfffffff008b0fe04: 606aa83c  str	q0, [x19, x8]
0xfffffff008b0fe08: e03eff90  adrp	x0, #0xfffffff0072eb000
0xfffffff008b0fe0c: 00303891  add	x0, x0, #0xe0c
0xfffffff008b0fe10: 010080d2  mov	x1, #0
0xfffffff008b0fe14: 9fe8e197  bl	#0xfffffff00838a090
0xfffffff008b0fe18: e10300aa  mov	x1, x0
0xfffffff008b0fe1c: 687bfff0  adrp	x8, #0xfffffff007a7e000
0xfffffff008b0fe20: 081d46f9  ldr	x8, [x8, #0xc38]
0xfffffff008b0fe24: 000140f9  ldr	x0, [x8]
0xfffffff008b0fe28: 300000b0  adrp	x16, #0xfffffff008b14000
0xfffffff008b0fe2c: 10121891  add	x16, x16, #0x604
0xfffffff008b0fe30: d13b8cd2  mov	x17, #0x61de
0xfffffff008b0fe34: 3002c1da  pacia	x16, x17
0xfffffff008b0fe38: e20310aa  mov	x2, x16
0xfffffff008b0fe3c: e13f00f9  str	x1, [sp, #0x78]
0xfffffff008b0fe40: e30313aa  mov	x3, x19
0xfffffff008b0fe44: 040080d2  mov	x4, #0
0xfffffff008b0fe48: 05008052  mov	w5, #0
0xfffffff008b0fe4c: 42e7e197  bl	#0xfffffff008389b54
0xfffffff008b0fe50: 68364239  ldrb	w8, [x19, #0x8d]
0xfffffff008b0fe54: 88010034  cbz	w8, #0xfffffff008b0fe84
0xfffffff008b0fe58: 7f1e0339  strb	wzr, [x19, #0xc7]
0xfffffff008b0fe5c: f90300f9  str	x25, [sp]
0xfffffff008b0fe60: a03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b0fe64: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0fe68: 617bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0fe6c: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b0fe70: 433fffd0  adrp	x3, #0xfffffff0072f9000
0xfffffff008b0fe74: 63643a91  add	x3, x3, #0xe99
0xfffffff008b0fe78: 02008052  mov	w2, #0
0xfffffff008b0fe7c: ad8ce097  bl	#0xfffffff008333130
0xfffffff008b0fe80: 17000014  b	#0xfffffff008b0fedc
0xfffffff008b0fe84: 28008052  mov	w8, #1
